Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0463200896111665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09236391626242546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13813394414271557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1836326082213439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.22886231467980298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2738254413359529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.31852433806072483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.3629613271875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4071387039143135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.45105873669902913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.49472366764762826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5381357128957529,7.771561172376096e-16,1.2212453270876722e-15,1.887379141862766e-15,3.6637359812630166e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,0.0,0.0,1.27585345510646e-15
0.013,0.5812970629836381,1.887379141862766e-15,2.55351295663786e-15,3.3306690738754696e-15,5.88418203051333e-15,3.552713678800501e-15,3.3306690738754696e-15,3.219646771412954e-15,3.552713678800501e-15,3.4416913763379853e-15,3.219646771412954e-15,2.886579864025407e-15,2.4424906541753444e-15,9.992007221626409e-16,7.771561172376096e-16,5.551115123125783e-16,0.0,2.5493060022558167e-15
0.014,0.6242098832245682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6668763140669856,3.3306690738754696e-16,4.440892098500626e-16,1.5543122344752192e-15,3.552713678800501e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.1102230246251565e-15,1.1102230246251565e-16,0.0,0.0,0.0,1.0409480172886622e-15
0.016,0.7092984714503817,2.220446049250313e-15,2.6645352591003757e-15,3.6637359812630166e-15,6.994405055138486e-15,3.885780586188048e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.1086244689504383e-15,2.55351295663786e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,1.1102230246251565e-16,2.773536784983471e-15
0.017,0.7514784471550904,1.5543122344752192e-15,1.887379141862766e-15,3.219646771412954e-15,5.662137425588298e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.886579864025407e-15,2.4424906541753444e-15,1.9984014443252818e-15,8.881784197001252e-16,5.551115123125783e-16,4.440892098500626e-16,0.0,2.2861671648194214e-15
0.018,0.79341830914611,1.7763568394002505e-15,2.55351295663786e-15,3.4416913763379853e-15,6.994405055138486e-15,3.774758283725532e-15,3.3306690738754696e-15,3.219646771412954e-15,3.552713678800501e-15,3.4416913763379853e-15,3.219646771412954e-15,2.7755575615628914e-15,2.4424906541753444e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,1.1102230246251565e-16,2.6187098838276138e-15
0.019,0.8351201019110691,1.6653345369377348e-15,1.9984014443252818e-15,3.4416913763379853e-15,6.8833827526759706e-15,3.774758283725532e-15,2.9976021664879227e-15,3.219646771412954e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,2.1094237467877974e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,1.1102230246251565e-16,2.490807543496522e-15
0.02,0.8765858467924529,6.328271240363392e-15,9.325873406851315e-15,1.509903313490213e-14,2.731148640577885e-14,1.5432100042289676e-14,1.3322676295501878e-14,1.2434497875801753e-14,1.3433698597964394e-14,1.3322676295501878e-14,1.2989609388114332e-14,1.1879386363489175e-14,7.993605777301127e-15,4.218847493575595e-15,3.4416913763379853e-15,2.6645352591003757e-15,1.887379141862766e-15,1.0465715679473014e-14
0.021,0.9178175423142051,4.884981308350689e-15,6.661338147750939e-15,1.0880185641326534e-14,2.142730437526552e-14,1.199040866595169e-14,1.0103029524088925e-14,9.769962616701378e-15,9.992007221626409e-15,9.992007221626409e-15,9.992007221626409e-15,9.325873406851315e-15,6.217248937900877e-15,3.1086244689504383e-15,2.1094237467877974e-15,1.887379141862766e-15,1.3322676295501878e-15,7.935516490223071e-15
0.022,0.9588171645028142,1.6542323066914832e-14,2.3647750424515834e-14,3.952393967665557e-14,7.716050021144838e-14,4.107825191113079e-14,3.4638958368304884e-14,3.2862601528904634e-14,3.441691376337985e-14,3.552713678800501e-14,3.3861802251067274e-14,3.108624468950438e-14,2.1538326677728037e-14,1.1102230246251565e-14,8.326672684688674e-15,6.328271240363392e-15,4.9960036108132044e-15,2.7662965313101438e-14
0.023,0.9995866672029935,0.0005447558275974984,0.0007783520108329833,0.0013369932887907776,0.0026599337223244257,0.0013878663945371406,0.0011668592101202746,0.0010985189575611898,0.0011533480564546172,0.0011858119019295676,0.001144013265800492,0.001048604414839338,0.0007116587887586734,0.00036720959736824543,0.00027094889878997996,0.0002167566567532475,0.00015943024241626969,0.000930027296833079
0.024,1.0401279823880596,0.027657372517904788,0.03922985348022212,0.06492251399987714,0.12161490121442575,0.06728737975733146,0.057669035346812,0.05460968151949064,0.05712228683218201,0.0584357578313669,0.05618826877495586,0.05179784759985884,0.035579673771377385,0.018579775915573693,0.01379382415056396,0.010991742809581484,0.008063869790107314,0.04548619495415811
0.025,1.0804430204651163,0.05630209955992649,0.079257387432213,0.1267837467945686,0.22508036363914996,0.1311843175908901,0.11431816251219862,0.10881883730433539,0.11345262816718149,0.11557259530702657,0.11086484305877642,0.10273636682305964,0.07142196737813333,0.037757082700948796,0.0281961906767777,0.022402580041993803,0.01639934168108581,0.08948803922056753
0.026,1.1205336705751392,0.08510603993908405,0.11890191596808275,0.18454785799079032,0.31270706840748297,0.19063490613452516,0.1684753232385081,0.16109766472142717,0.16748230069352288,0.17002418139127673,0.16284686534716275,0.1516082838061955,0.1066239558999661,0.05705346025877189,0.042840210133743395,0.033967407802384275,0.02482046276962857,0.13120750076501464
0.027,1.1604018008880665,0.11368506153343205,0.15764114219548642,0.23816611850939107,0.38744116193018585,0.24561591030778906,0.2196777705214914,0.21089019483149407,0.21870599957356474,0.22139496772119716,0.21185341211575504,0.19805376945840947,0.14084477436162102,0.07626695254443427,0.057562944716954556,0.045577349869181716,0.03325442311913551,0.1705198950615897
0.028,1.200049258892989,0.1417788941412017,0.19514369804525422,0.28776442791116674,0.45161926868775426,0.29628850169959375,0.2677362775108292,0.2579222687057997,0.26689684631687327,0.26954138404970107,0.25780720846856986,0.2419196607078985,0.1738829663945748,0.09526073897826481,0.07225024182160444,0.05715689284529224,0.041651413025845185,0.2074252889890003
0.029,1.2394778716835326,0.1692161579443393,0.2312124195522678,0.33356062971677614,0.507091888087672,0.342908860726876,0.31263336379788165,0.30210291521131827,0.3120058675944364,0.31447629304019975,0.3007547949418101,0.2831835137109403,0.20563133126461652,0.11394402673538895,0.08682293200139768,0.06865415583668588,0.049977772974587276,0.2419974283622356
0.03,1.278689446238532,0.19588814188278714,0.265742492178753,0.3758143345633188,0.5553300157544497,0.3857739981181608,0.3544544337144292,0.34345578904656004,0.3540930536144635,0.35630494931862833,0.34081395294184513,0.32190230563861055,0.23604502386932935,0.1322580825964731,0.10122658835097809,0.08003379335834493,0.05821105262869075,0.2743504456193954
0.031,1.3176857696980788,0.22172998965699875,0.29869180250061744,0.4147975886877623,0.597510432324684,0.4251903390533589,0.39334296616046416,0.38207338518940215,0.39328188719233925,0.3951836389717416,0.37814026295923797,0.35817895797262755,0.26511978327293484,0.1501664037554855,0.11542423472335661,0.09127200749045716,0.06633656722278058,0.3046179694287709
0.032,1.3564686096350367,0.24670743789410365,0.3300602980775793,0.4507783477441343,0.634581672214938,0.46145631814876664,0.4294720403195428,0.41808713751514737,0.4297300256986383,0.4312935789777871,0.41290630797197836,0.39214091111401994,0.2928772935387749,0.16764789963853388,0.12939123313551937,0.1023530886380758,0.07434502571455781,0.3329403691708107
0.033,1.3950397143221112,0.2708075147774853,0.35987570952361336,0.4840116446452537,0.6673143699199051,0.4948533664990642,0.46302658332119495,0.451648185089915,0.4636107133951872,0.46482476504321746,0.445289004081306,0.42392660717090236,0.3193553966277456,0.18469217517871717,0.14311170924382022,0.11326702015661883,0.08223089828910879,0.35945718084493117
0.034,1.4334008129945555,0.2940320083993072,0.38818368766655287,0.5147353134097756,0.6963395664036094,0.5256418266336532,0.49419253748685543,0.48291517705177156,0.4951012025438739,0.4959662057837543,0.47546208437267645,0.4536770930974535,0.34460156225203076,0.20129625795432793,0.15657604440806683,0.12400781251372628,0.0899912873761054,0.38430278273153595
0.035,1.4715536161085976,0.31639286131219735,0.41504098916617616,0.543168371017718,0.7221779265049062,0.5540597006030907,0.52315045265049,0.512046682728168,0.5243757137569587,0.5249002221199535,0.5035918255634518,0.4815309197905865,0.3686685370966296,0.21746231429330898,0.16977910445884048,0.1345723365715248,0.09762514117900734,0.40760408865541664
