Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.049096812652043874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09790080137176939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14641457806739344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19464072367588933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.24258178862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2902402932612967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.33761872833496576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.38471955539062497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.43154520721518985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.47809808825242717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5243805750145208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5703950164864865,1.1102230246251565e-15,1.6653345369377348e-15,2.1094237467877974e-15,3.774758283725532e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,0.0,0.0,0.0,1.4876800679616936e-15
0.013,0.6161437345235804,2.3314683517128287e-15,3.1086244689504383e-15,4.107825191113079e-15,6.328271240363392e-15,4.107825191113079e-15,3.552713678800501e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.4416913763379853e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.3322676295501878e-15,9.992007221626409e-16,6.661338147750939e-16,2.220446049250313e-16,2.9574553262060798e-15
0.014,0.6616290242418427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.7068531544019138,6.661338147750939e-16,1.4432899320127035e-15,2.1094237467877974e-15,3.6637359812630166e-15,1.887379141862766e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.3332177186499652e-15
