Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.056595513708873384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11285347962226641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1687769085728444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2243687756916996,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.887379141862766e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,4.167953354545043e-16
0.005,0.2796320209359606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.33456954960707275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.38918423285994125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.44347890820312497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4974563799902629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5511194199029126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6044707674249757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6575131303088803,1.3322676295501878e-15,2.220446049250313e-15,3.9968028886505635e-15,4.773959005888173e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.887379141862766e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,5.551115123125783e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.000147604125666e-15
0.013,0.7102491850336863,3.219646771412954e-15,5.329070518200751e-15,8.659739592076221e-15,1.1546319456101628e-14,5.662137425588298e-15,4.440892098500626e-15,3.9968028886505635e-15,4.107825191113079e-15,4.218847493575595e-15,3.774758283725532e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.4432899320127035e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,4.538893431128476e-15
0.014,0.7626815772552783,9.992007221626409e-16,1.5543122344752192e-15,2.55351295663786e-15,4.218847493575595e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,1.4914965446776106e-15
