Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06302053399800599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1256652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18793735064420217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.24984029881422926,1.5543122344752192e-15,2.7755575615628914e-15,2.7755575615628914e-15,2.4424906541753444e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,9.992007221626409e-16,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.9389504306920385e-15
0.005,0.311377318226601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.37255164400785856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.43336647326150834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.493824965625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5539302438169424,4.440892098500626e-16,1.887379141862766e-15,1.887379141862766e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,7.462226469639706e-16
0.01,0.6136853941747573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6730934671829623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7321574779922779,1.887379141862766e-15,4.884981308350689e-15,4.773959005888173e-15,4.107825191113079e-15,2.4424906541753444e-15,2.55351295663786e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.220446049250313e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.5543122344752192e-15,8.881784197001252e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.000707709484377e-15
0.013,0.7908804069297402,6.106226635438361e-15,1.3988810110276972e-14,1.2434497875801753e-14,9.2148511043888e-15,6.328271240363392e-15,6.661338147750939e-15,7.549516567451064e-15,7.216449660063518e-15,6.106226635438361e-15,4.884981308350689e-15,4.440892098500626e-15,3.6637359812630166e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.6653345369377348e-15,8.881784197001252e-16,8.127203816503028e-15
0.014,0.8492651999999999,1.887379141862766e-15,4.884981308350689e-15,4.773959005888173e-15,4.107825191113079e-15,2.4424906541753444e-15,2.55351295663786e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.220446049250313e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.5543122344752192e-15,8.881784197001252e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.000707709484377e-15
0.015,0.9073147693779903,3.885780586188048e-15,9.547918011776346e-15,9.43689570931383e-15,6.661338147750939e-15,4.440892098500626e-15,4.6629367034256575e-15,4.884981308350689e-15,4.884981308350689e-15,4.107825191113079e-15,2.9976021664879227e-15,2.7755575615628914e-15,2.4424906541753444e-15,1.5543122344752192e-15,1.6653345369377348e-15,9.992007221626409e-16,6.661338147750939e-16,5.631597810736926e-15
0.016,0.9650319938931298,3.630429290524262e-14,8.948397578478762e-14,8.471001677889944e-14,5.828670879282072e-14,3.8746783559417963e-14,3.952393967665557e-14,4.529709940470639e-14,4.3853809472693683e-14,3.7414515929867775e-14,2.8976820942716586e-14,2.6645352591003757e-14,2.1649348980190553e-14,1.609823385706477e-14,1.3877787807814457e-14,1.0880185641326534e-14,7.438494264988549e-15,5.1154200515721366e-14
0.017,1.0224197195052331,0.022181201924378557,0.05435910021081114,0.051608532863167134,0.035564101842224805,0.02368985247915134,0.024353194705828973,0.027750861501315338,0.026815836402578674,0.02306808430388152,0.017942307055880846,0.01636773796373503,0.013320501438380705,0.009962110264932322,0.008636386007070729,0.006751313862140451,0.004691542863479281,0.0312446325825708
0.018,1.079480759772296,0.07697683630302177,0.17665661687584,0.1688337298571405,0.1216103374804689,0.08333745313174257,0.08535885700270462,0.09598245672574801,0.09267525436705526,0.08014413436893553,0.06303464457310404,0.05772179251154941,0.046863289215039794,0.03515854580701372,0.030283069916210326,0.023722457897877525,0.016546956333587826,0.10557426284644762
0.019,1.1362178963103122,0.12895483727574675,0.2790433493589791,0.2680328324090778,0.20038197877318153,0.14097327887497602,0.14402178028232093,0.1601219749896704,0.15453331403304993,0.13431491991479017,0.10672606725945843,0.09808548693166774,0.07953626127954483,0.05987109922591394,0.05129333261505753,0.04026148940581198,0.028182459672346782,0.17266578495276896
0.02,1.192633879245283,0.1780497913483039,0.36545625270012605,0.352423846281414,0.2718894282297818,0.19595886072252378,0.19983280835730333,0.22002771039792124,0.21230989972325032,0.1854312660491767,0.1487373301038697,0.13716614954367135,0.11119235686932605,0.08399281830499727,0.07164425432488786,0.056345309752341755,0.03957244119028136,0.23329604712014923
0.021,1.248731427657573,0.2242694194459538,0.43891982657984885,0.4246169283508665,0.33646387048157245,0.2479287161191186,0.2525029119835147,0.27570812711244175,0.2660520134114729,0.23345987415771396,0.18890249218637556,0.17477351166627575,0.14173803512531957,0.1074507556434342,0.09132803125540101,0.07196377862836179,0.05070172985480059,0.2881627274639826
0.022,1.3045132300187616,0.26767640214234245,0.5017876884061169,0.48671721136267143,0.3946046894312705,0.29671801880596305,0.3019100458792151,0.3272780607776459,0.31589433188177285,0.27844967630410256,0.2271413395653974,0.21079733205628504,0.17112225914873103,0.13019963305349858,0.11034828288435428,0.08711626462450395,0.0615629279433334,0.3378910329873835
0.023,1.3599819446211412,0.3083716626644909,0.5559120938681388,0.5404217176958217,0.4468806900211688,0.3423019668103231,0.348051904144013,0.3749219349511246,0.36202713612612236,0.3205044505384669,0.26343574584886376,0.24518732340365035,0.19932615677396703,0.1522156319403285,0.1287168222512335,0.10180882972131944,0.07215424304781604,0.38303889941077496
0.024,1.4151402,0.3464806458459091,0.6027655338654049,0.5871019561364599,0.4938704318610153,0.3847488637496689,0.39100773189170934,0.418865372552397,0.4046721244626572,0.359761983352602,0.29781086293336,0.2779366160205068,0.22635430391527633,0.17349101737260608,0.14645105880545084,0.1160520615068461,0.08247781544826638,0.4241022063643882
0.025,1.469990595348837,0.3821427785468965,0.6435294362539516,0.6278710972189918,0.536128733865948,0.4241855940210827,0.43090920219181106,0.45935450198693817,0.44406510898700824,0.3963789224767844,0.3303208210787324,0.3090688018323159,0.2522277958054563,0.19402977432406399,0.1635720096364407,0.12985946341573218,0.09253846819730271,0.4615202630322846
0.026,1.5245357009276437,0.4155037392359293,0.6791597773825915,0.6636373532016439,0.5741697346300737,0.460773104152167,0.4679190860040804,0.49664154316915354,0.48044416867253514,0.4305201514742518,0.3610381849862665,0.3386281068900657,0.276978936296127,0.2138441978666431,0.18010282495357877,0.1432462883107849,0.10234279206606323,0.49568140619541246
0.027,1.5787780584643847,0.44671000033920116,0.7104362045905455,0.6951459316067794,0.6084599637506605,0.49468948078133057,0.5022161197222994,0.5309751949356111,0.5140418906584636,0.46235157626149825,0.3900463551898309,0.3666721049697602,0.3006472672336853,0.23295229356250302,0.19606772113880422,0.15622870909975572,0.11189848518624512,0.5269284843647959
0.028,1.6327201815498156,0.47590511825819914,0.7379992153570418,0.723011872770222,0.6394171976141496,0.5261185820295261,0.5339845767315605,0.5625945404344632,0.5450805606921909,0.49203540114556976,0.41743419775987867,0.3932664103702995,0.3232766552010806,0.25137582961127725,0.21149122510505802,0.16882323899403284,0.1212138819183517,0.5555640483357278
0.029,1.686364556025759,0.5032273227326924,0.7623785784696014,0.7477457510283915,0.6674124669444892,0.5552426262688885,0.5634072999094051,0.5917254502223785,0.5737694204762288,0.5197271779025975,0.4432923215174208,0.41848087250290933,0.3449131884864629,0.2691388969536854,0.22639765095689957,0.18104633367300393,0.13029762034450565,0.5818551371536296
0.03,1.7397136403669724,0.5288080482463211,0.7840152617077216,0.769773839101882,0.6927736234606983,0.5822375476878952,0.5906612229644326,0.618578712061691,0.6003033371797484,0.5455740929430729,0.46771055411360163,0.4423868904340337,0.36560368323528336,0.2862668575201257,0.24081074724662088,0.19291412452610024,0.13915841043495925,0.6060376073994788
0.031,1.7927698660567246,0.5527711340293997,0.8032784960772763,0.7894539903853387,0.7157895299929569,0.6072702552752277,0.6159146484225441,0.6433493235783276,0.6248624127677295,0.5697141031166135,0.49077628006676155,0.4650555524449632,0.3853946416556766,0.30278558525783317,0.25475346799447784,0.20444224554599155,0.1478048749077725,0.6283199957495581
0.032,1.8455356379562047,0.5752324888380441,0.8204791630938344,0.8070882085384223,0.73671434406295,0.6304971807508444,0.6393257441991016,0.6662165449779036,0.6476121993429803,0.5922756415625612,0.5125733922168103,0.4865563776412337,0.4043315423957452,0.3187209260337983,0.2682478325592229,0.21564572662730064,0.156245442352701,0.648886931480009
0.033,1.89801333466788,0.5963000713949338,0.835880377623513,0.8229326480349668,0.7557716106991502,0.6520636839197687,0.6610418701691191,0.6873444293294961,0.668704288535602,0.613377696942317,0.5331816753857788,0.5069564933687087,0.42245837301578204,0.3340983200797265,0.281314848631397,0.22653893357739197,0.16448827778525965,0.6679021307237837
0.034,1.950205308892922,0.6160740789656644,0.8497059139997223,0.8372056148367892,0.7731580263129156,0.6721040155598801,0.6811994578021947,0.7068826355306828,0.6882771162340778,0.633130128780607,0.5526764911979445,0.5263201256233336,0.43981733754694674,0.34894254448225126,0.2939744795429431,0.2371355406706933,0.17254123989095782,0.685511011477962
0.035,2.002113887782806,0.6346472674944601,0.8621469605440468,0.8500940030904154,0.7890468202208165,0.6907416313663608,0.6999242477003262,0.7249673917203752,0.7064568758515943,0.6516341241375971,0.5711286698715816,0.5447083123049415,0.45644868962721163,0.3632775438730118,0.3062456422284534,0.24744852558734864,0.180411857195226,0.7018429704560435
0.036,2.0537413732851983,0.652105349421171,0.8733675688943693,0.8617585025190843,0.803590747933561,0.7080897161344367,0.7173317489534909,0.7417225211108542,0.723358469656316,0.6689827309549946,0.5886045416367283,0.5621787734555652,0.4723906548139357,0.37712632555831527,0.31814622595937503,0.25749017947302255,0.1881073175498309,0.7170133619184555
0.037,2.1050900424842487,0.6685274317714424,0.8835090770727598,0.8723378344128803,0.8169247155463831,0.7242518231924286,0.7335278264878298,0.7572604730507476,0.7390864528766481,0.6852614246141009,0.6051660598692099,0.5787858905565597,0.4876794154142168,0.3905109014124648,0.32969312474449397,0.2672721269433961,0.19563446688583652,0.7311252159654337
