Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05663534536390828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11293290536779325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16889569296333004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2245266853754941,1.1102230246251565e-16,1.2212453270876722e-15,1.5543122344752192e-15,1.9984014443252818e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,4.677574726726802e-16
0.005,0.27982882463054193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.33480501807465624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.38945813888344766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.4437910265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.49780648743914313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5515072951456311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6048961910939012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.657975884942085,9.992007221626409e-16,2.1094237467877974e-15,3.885780586188048e-15,4.773959005888173e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.842124529721938e-15
0.013,0.7107490550529356,2.55351295663786e-15,5.551115123125783e-15,8.548717289613705e-15,1.1657341758564144e-14,5.995204332975845e-15,4.551914400963142e-15,4.107825191113079e-15,3.774758283725532e-15,3.9968028886505635e-15,3.552713678800501e-15,3.3306690738754696e-15,2.220446049250313e-15,1.4432899320127035e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,4.328894180014046e-15
0.014,0.7632183489443379,7.771561172376096e-16,1.7763568394002505e-15,2.4424906541753444e-15,4.3298697960381105e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.1102230246251565e-15,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,1.4661380831559632e-15
0.015,0.8153863837320574,7.771561172376096e-16,1.9984014443252818e-15,3.774758283725532e-15,4.773959005888173e-15,2.4424906541753444e-15,1.887379141862766e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.7529058831137295e-15
0.016,0.8672557465648856,4.3298697960381105e-15,1.021405182655144e-14,1.765254609153999e-14,2.6201263381153694e-14,1.2545520178264269e-14,9.769962616701378e-15,8.326672684688674e-15,7.549516567451064e-15,7.882583474838611e-15,7.327471962526033e-15,6.661338147750939e-15,4.551914400963142e-15,2.4424906541753444e-15,1.887379141862766e-15,1.3322676295501878e-15,1.3322676295501878e-15,8.915120039757174e-15
0.017,0.9188289950523312,3.552713678800501e-15,8.215650382226158e-15,1.4876988529977098e-14,2.1649348980190553e-14,1.021405182655144e-14,7.549516567451064e-15,6.5503158452884236e-15,6.106226635438361e-15,6.328271240363392e-15,5.995204332975845e-15,5.10702591327572e-15,3.4416913763379853e-15,1.9984014443252818e-15,1.2212453270876722e-15,1.2212453270876722e-15,8.881784197001252e-16,7.200429035880974e-15
0.018,0.9701086576850095,1.1324274851176597e-14,2.6867397195928788e-14,5.029310301551959e-14,7.427392034742297e-14,3.3861802251067274e-14,2.4424906541753444e-14,2.0872192862952943e-14,2.0095036745715333e-14,2.0761170560490427e-14,1.942890293094024e-14,1.6986412276764895e-14,1.1546319456101628e-14,5.995204332975845e-15,4.551914400963142e-15,3.774758283725532e-15,3.3306690738754696e-15,2.3889418372840923e-14
0.019,1.0210972342478715,0.009086881277480474,0.021357228220182045,0.04047076236377056,0.059502689687273236,0.02756192533155677,0.01993016646717083,0.016979554606295744,0.016329591835878232,0.016973984031696143,0.015900851310366892,0.014034849098273905,0.00944282379716499,0.005071111777772974,0.0037420004121816453,0.003090146313273534,0.0027099528165859255,0.01934302707678418
0.02,1.0717971962264152,0.032097687252312546,0.07408356513135439,0.13263281187522036,0.18607413141933038,0.09249376499219009,0.06890951029233361,0.059196521324174745,0.056703484783975244,0.058496787383786275,0.05458250685691268,0.04853666168438775,0.03298365783249835,0.017847906320738294,0.01321356875649049,0.010836437076980121,0.00944116237688919,0.06497011748557292
0.021,1.1222109872060209,0.05627054600754189,0.12731285183474217,0.2165110313636497,0.29221455168814114,0.15469344907508942,0.1183335501207794,0.10241225087556849,0.0977996876980729,0.10025009285858799,0.09327906887468718,0.08349915891859372,0.0572897441589435,0.031237689327726414,0.02319171603132475,0.018910851677001572,0.016380706674570478,0.1088801238464919
0.022,1.1723410232645404,0.08117907459096985,0.17984828893261495,0.29206310659111834,0.38165831332846845,0.21368263049627811,0.1673189811487451,0.1457905633937241,0.13891088696245568,0.14162803070798646,0.13152888439014565,0.1184405031326573,0.0820157747776119,0.04506334057398631,0.0335398517548251,0.027220390584881127,0.023458519366930886,0.1508459467122663
0.023,1.222189693358279,0.10645605088365884,0.2308148814802884,0.35969189512956834,0.4574133672179218,0.2691665518594418,0.21516403384452687,0.18865461768737912,0.17946877682219375,0.18215551043562417,0.1689663127912846,0.15296849824826875,0.1068673667345239,0.059168538425525496,0.04413921218411987,0.03568511665413776,0.030616179473129113,0.19072510884691649
0.024,1.2717593597014927,0.13179980144091952,0.2796221455400001,0.420024810722872,0.5219018741740049,0.3210123940198183,0.26135153441682835,0.2304891664149824,0.21904267964164237,0.22148219804479918,0.20531954470268132,0.18678098668390442,0.1316052353620243,0.0734212325689042,0.054890343554758414,0.04423869844052997,0.03780647367748857,0.22845080849688446
0.025,1.321052358139535,0.15697205490607846,0.32591068573796633,0.4737742897302206,0.5770763353196662,0.3692163721912596,0.305530631875666,0.2709255242590227,0.2573251811309053,0.2593667544202717,0.24040011124432137,0.21965752763757296,0.15604270086153582,0.08771364870290121,0.06571237965759058,0.052827609974602785,0.04499221934772535,0.2640177989803717
0.026,1.37007099851577,0.18179101747885384,0.36949724954970387,0.521656461335948,0.6245139680115899,0.41386902775560663,0.3474885605320547,0.3097183315804698,0.29411190976528023,0.29565722865053945,0.27408872988292765,0.2514468874368119,0.18003951784553396,0.10196021737112881,0.07654108186525144,0.06140961164489356,0.05214476674908897,0.29746714403360963
0.027,1.4188175650323773,0.20612254016692377,0.4103260300665209,0.5643478554082653,0.6654926680009707,0.4551242892601811,0.3871204712809987,0.3467205219779509,0.32928039092911066,0.3302715425518865,0.3063207324391629,0.2820535964081009,0.20349431914375316,0.11609455248331213,0.08732638171789153,0.06995197913264173,0.059242468230851,0.3288722887967353
0.028,1.4672943166051662,0.2298711862440912,0.44842912897360965,0.6024654083188119,0.7010517015988277,0.4931745637566465,0.42440184269202097,0.38186015350893643,0.3627707349300807,0.36318016042534196,0.3370728773063758,0.31142545699764257,0.22633710666500362,0.13006622347613106,0.09802989745876356,0.07842977050760591,0.06626927812278438,0.35832753580423543
0.029,1.5155034872125117,0.25297214171144367,0.483896270884399,0.6365599611717033,0.7320399217863223,0.5282320547283827,0.45936537322175897,0.4151207120613931,0.3945693243734888,0.3943917280661805,0.36635228304141065,0.3395428461101825,0.24852252185265689,0.14383773310231418,0.10862267373872925,0.08682427856358244,0.07321355389278972,0.38593913444834804
0.03,1.5634472862385322,0.27538433804338314,0.5168525562063475,0.6671171042306308,0.7591539255301809,0.5605155094926098,0.49208269044103725,0.4465252427931823,0.4246957063306125,0.4239417028283283,0.39418758372605034,0.36641001070322265,0.2700241676895321,0.15738188338471937,0.11908324440905338,0.0951217212416704,0.08006707140977709,0.4118187347561728
0.031,1.6111278988106132,0.2970848310333475,0.5474426475778569,0.6945616826346583,0.7829681920537187,0.5902412832148904,0.5226504367735888,0.4761240253974054,0.4531924129299998,0.4518836345240915,0.42062209261825434,0.39204822247176485,0.29082999616036187,0.17067957647038223,0.12939603242419473,0.10331217016404193,0.08682423738840472,0.43607878293881475
0.032,1.6585474861313874,0.31806432221065484,0.5758198489071472,0.7192638402277813,0.8039588827593334,0.6176176381675877,0.5511800013065884,0.5039852535369813,0.4801172492903456,0.47828263626477796,0.44570864552612344,0.41649052147956656,0.3109386531810574,0.18371802741258547,0.13955005865293535,0.11138869246398042,0.09348147023166353,0.4588294190540188
0.033,1.7057081858052778,0.3383236509489793,0.6021387793981156,0.7415454306529107,0.8225226599482962,0.6428413676744433,0.5777901348982291,0.5301881323256383,0.505537562380056,0.5032105883689968,0.4695057853381761,0.4397777507078864,0.3303566304070922,0.19648933648330658,0.149537915225613,0.1193466726146486,0.10003671848703832,0.4801764900400838
0.034,1.75261211215971,0.35787107880763014,0.6265506242922172,0.7616861879028585,0.8389916033106826,0.6660960348934595,0.6026017686421605,0.5548178586405668,0.529526051925014,0.526742675901316,0.49207498599366806,0.4619556066533115,0.349096071575166,0.20898936113226585,0.15935495668184696,0.12718328089783582,0.10648908877301166,0.5002203658415091
0.035,1.7992613565610864,0.37672020456429434,0.6492001967244783,0.7799293720842517,0.8536450725962279,0.6875512989019343,0.6257344759341927,0.5779620349794589,0.5521577570260026,0.5489549329891499,0.5134786660916812,0.4830724732103975,0.3671730973141283,0.22121683084072852,0.16899866620362325,0.13489705879494185,0.11283855935758558,0.5190553190240883
0.036,1.8456579877256318,0.39488837345619776,0.6702242508748277,0.7964867862634772,0.866719178832854,0.7073629486530666,0.6473041383024425,0.5997081574070648,0.5735079261057534,0.5699225367390927,0.5337787939545164,0.5031778509612204,0.3846065344525825,0.2331726555212944,0.1784681605459919,0.14248759639052355,0.11908576008809524,0.5367692900765854
0.037,1.8918040520252029,0.4123954697772524,0.6897506448522999,0.8115431562659597,0.8784143791348601,0.7256733785251496,0.6674214794911205,0.62014189845956,0.5936505432343538,0.5897186533250693,0.553035931016465,0.5223212345804725,0.40141695782968667,0.24485938652556904,0.18776380387570313,0.14995528162809202,0.12523180343216855,0.5534439095274547
0.038,1.9377015737881509,0.429263004925984,0.7078980693052392,0.8252599129775294,0.888901594942447,0.7426123224072001,0.6861912169479237,0.6393459724281181,0.6126573378148139,0.6084136871133837,0.5713085972228218,0.5405513249931455,0.41762597201608853,0.25628079722986374,0.19688690670186226,0.15730110544124465,0.13127815478258376,0.5691546851425278
0.039,1.9833525555953448,0.4455134322257829,0.7247761431516899,0.8377784372545833,0.8983271641689509,0.7582977229344974,0.7037116458254069,0.6573994232512581,0.630597147306329,0.6260748213876286,0.5886528710815464,0.5579154900687775,0.43325567646186414,0.26744155699655114,0.20583949113049937,0.1645265102577208,0.13722653290070075,0.5839712899012638
