Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04210735046859422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0839635636580517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1255708796432111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1669315119367589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2080476478817734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.24892144903732813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.28955505155729677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.3299505665625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3701100805063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4100356555339806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4497293298354308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.489193117992278,7.771561172376096e-16,1.2212453270876722e-15,1.887379141862766e-15,2.220446049250313e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.1102230246251565e-15,1.2212453270876722e-15,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,1.032879770368152e-15
0.013,0.5284290113185756,1.4432899320127035e-15,2.4424906541753444e-15,3.3306690738754696e-15,4.107825191113079e-15,2.6645352591003757e-15,2.886579864025407e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.5543122344752192e-15,1.2212453270876722e-15,7.771561172376096e-16,1.2212453270876722e-15,7.771561172376096e-16,2.138891075139855e-15
0.014,0.5674389781957774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6062249644019139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6447888934351145,1.9984014443252818e-15,2.4424906541753444e-15,3.6637359812630166e-15,5.218048215738236e-15,2.9976021664879227e-15,3.219646771412954e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.886579864025407e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.4432899320127035e-15,9.992007221626409e-16,1.3322676295501878e-15,8.881784197001252e-16,2.403828362105177e-15
0.017,0.683132666831589,8.881784197001252e-16,1.4432899320127035e-15,2.886579864025407e-15,3.3306690738754696e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.2579016402308178e-15
0.018,0.7212581644781784,8.881784197001252e-16,1.4432899320127035e-15,2.886579864025407e-15,3.3306690738754696e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.2643615005981883e-15
0.019,0.7591672449195838,8.881784197001252e-16,1.4432899320127035e-15,2.886579864025407e-15,3.3306690738754696e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.2643615005981883e-15
0.02,0.7968617456603774,3.885780586188048e-15,5.773159728050814e-15,1.0103029524088925e-14,1.3433698597964394e-14,7.771561172376096e-15,7.882583474838611e-15,7.993605777301127e-15,7.438494264988549e-15,6.994405055138486e-15,5.995204332975845e-15,5.773159728050814e-15,4.218847493575595e-15,2.886579864025407e-15,2.220446049250313e-15,2.4424906541753444e-15,2.1094237467877974e-15,5.761977070571491e-15
0.021,0.8343434834619003,1.6653345369377348e-15,2.55351295663786e-15,4.6629367034256575e-15,6.439293542825908e-15,3.219646771412954e-15,3.3306690738754696e-15,3.4416913763379853e-15,3.219646771412954e-15,2.886579864025407e-15,2.7755575615628914e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.1102230246251565e-15,1.3322676295501878e-15,8.881784197001252e-16,2.5617035285714722e-15
0.022,0.8716142546341463,5.440092820663267e-15,7.438494264988549e-15,1.4210854715202004e-14,1.9317880628477724e-14,1.0658141036401503e-14,1.1102230246251565e-14,1.0880185641326534e-14,9.992007221626409e-15,9.547918011776346e-15,8.104628079763643e-15,7.66053886991358e-15,5.662137425588298e-15,3.9968028886505635e-15,3.219646771412954e-15,3.6637359812630166e-15,2.886579864025407e-15,7.941245448852e-15
0.023,0.9086758353227316,6.661338147750939e-16,1.3322676295501878e-15,2.886579864025407e-15,3.219646771412954e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.222677674241584e-15
0.024,0.9455299817910447,1.3322676295501878e-14,1.9095836023552692e-14,3.785860513971784e-14,5.1181281435219717e-14,2.6978419498391304e-14,2.7977620220553945e-14,2.7755575615628914e-14,2.6201263381153694e-14,2.4868995751603507e-14,2.142730437526552e-14,2.0095036745715333e-14,1.454392162258955e-14,9.43689570931383e-15,7.549516567451064e-15,8.770761894538737e-15,7.216449660063518e-15,2.0418551152526087e-14
0.025,0.9821784306976744,2.1864587917974632e-10,3.1648483833635055e-10,6.476486014150851e-10,8.970471032654359e-10,4.611102610851958e-10,4.661524499738334e-10,4.5653292257696876e-10,4.3782721892426935e-10,4.169610212656494e-10,3.6049918605840503e-10,3.372426782277671e-10,2.406078669636713e-10,1.549197437000771e-10,1.254983894583006e-10,1.4546608362309144e-10,1.2197864940333147e-10,3.438195306835456e-10
0.026,1.0186228993692021,0.014670874488254437,0.021112706433437545,0.04220540782672155,0.057521834165007446,0.03043255035260628,0.030916769542469358,0.030317276692433226,0.02905183907138731,0.027633945043821218,0.023907096586963106,0.022407804969085565,0.01606756903960127,0.010397066242830766,0.008440039325451676,0.009756209436525776,0.008160877829093471,0.022712731757732623
0.027,1.054865086068455,0.04351722566098337,0.06194824036591018,0.11870427822453122,0.1573558023880911,0.08757151943949293,0.08967002486312547,0.08812807499980346,0.0843625800432054,0.08010741702344659,0.06942363999653034,0.06529456891258723,0.047268740299100886,0.030878918502807662,0.02516288126929711,0.028948806358881418,0.02411383945229373,0.06551526015725226
0.028,1.0909066702583026,0.07226745146699143,0.10182536582654866,0.18778743033388023,0.24311536798465871,0.14140277036698112,0.1456735157435649,0.14345000152620624,0.1372552597788258,0.13019572616993336,0.11308139657465255,0.10668640094245374,0.07794569469807255,0.05138946388721366,0.04202750419961998,0.048151894697413766,0.039969164618169684,0.1061081028883947
0.029,1.1267493128610857,0.10063803619435918,0.14043103418712255,0.25014442883738663,0.3173005618163661,0.19184603498449604,0.19856391247804084,0.1958737453458882,0.18740338380269728,0.17766891929208206,0.154706475028637,0.14636986618237935,0.10788590857334324,0.07176464443030217,0.05889102657257039,0.06722910769543011,0.05564036318125465,0.14445881754931372
