Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04755476356929213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09482590031809146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14181594011892962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1885273828458498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.234962698817734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.28112432923379177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.32701468660137123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.37263615515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.41799109127555983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4630818238834951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5079106548499516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5524798593822393,8.881784197001252e-16,1.1102230246251565e-15,1.6653345369377348e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.2803567886542153e-15
0.013,0.5967916864100096,1.887379141862766e-15,2.3314683517128287e-15,3.3306690738754696e-15,5.773159728050814e-15,3.774758283725532e-15,3.885780586188048e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.1102230246251565e-15,8.881784197001252e-16,4.440892098500626e-16,2.7855492729155548e-15
0.014,0.6408483589635317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6846520745454544,4.440892098500626e-16,5.551115123125783e-16,1.4432899320127035e-15,1.887379141862766e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,2.220446049250313e-16,0.0,0.0,0.0,9.431870447149155e-16
0.016,0.7282050054961832,2.6645352591003757e-15,3.4416913763379853e-15,4.884981308350689e-15,7.771561172376096e-15,5.440092820663267e-15,5.329070518200751e-15,5.10702591327572e-15,4.884981308350689e-15,4.551914400963142e-15,4.3298697960381105e-15,3.885780586188048e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.1102230246251565e-15,7.771561172376096e-16,3.909383352262528e-15
0.017,0.7715092993529972,1.6653345369377348e-15,1.7763568394002505e-15,3.219646771412954e-15,5.440092820663267e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.219646771412954e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,1.4432899320127035e-15,9.992007221626409e-16,9.992007221626409e-16,6.661338147750939e-16,3.3306690738754696e-16,2.588275034019404e-15
0.018,0.814567079203036,1.7763568394002505e-15,1.887379141862766e-15,3.219646771412954e-15,5.662137425588298e-15,3.774758283725532e-15,3.774758283725532e-15,3.552713678800501e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.886579864025407e-15,2.6645352591003757e-15,1.5543122344752192e-15,1.1102230246251565e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,2.679616367627572e-15
0.019,0.8573804440302744,1.7763568394002505e-15,1.887379141862766e-15,3.4416913763379853e-15,6.772360450213455e-15,3.9968028886505635e-15,3.774758283725532e-15,3.552713678800501e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.5543122344752192e-15,1.1102230246251565e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,2.7979015314875235e-15
0.02,0.8999514690566037,9.325873406851315e-15,1.199040866595169e-14,1.887379141862766e-14,3.11972669919669e-14,2.142730437526552e-14,2.1316282072803006e-14,1.9095836023552692e-14,1.8096635301390052e-14,1.7541523789077473e-14,1.509903313490213e-14,1.4210854715202004e-14,9.325873406851315e-15,5.662137425588298e-15,4.773959005888173e-15,4.218847493575595e-15,2.886579864025407e-15,1.4784284214654546e-14
