Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04598032313060818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0916864097415507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13712070594648165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18228562885375496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.22718356699507392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2718168807465619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.31618790274240943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.36029893828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4041522657254138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.44775013689320387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4910947774443369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5341883872586872,6.661338147750939e-16,1.5543122344752192e-15,1.6653345369377348e-15,2.220446049250313e-15,1.5543122344752192e-15,1.887379141862766e-15,1.887379141862766e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.1102230246251565e-15,1.4432899320127035e-15,1.2212453270876722e-15,6.661338147750939e-16,5.551115123125783e-16,2.220446049250313e-16,0.0,1.2435093017749172e-15
0.013,0.5770331408084697,1.2212453270876722e-15,3.1086244689504383e-15,3.1086244689504383e-15,5.329070518200751e-15,3.4416913763379853e-15,3.6637359812630166e-15,3.774758283725532e-15,4.218847493575595e-15,3.219646771412954e-15,2.6645352591003757e-15,2.55351295663786e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.3322676295501878e-15,7.771561172376096e-16,4.440892098500626e-16,2.585194026714312e-15
0.014,0.6196311875239924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.66198465215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.7040956351145038,2.3314683517128287e-15,3.885780586188048e-15,4.6629367034256575e-15,7.216449660063518e-15,5.10702591327572e-15,5.440092820663267e-15,5.329070518200751e-15,5.551115123125783e-15,4.6629367034256575e-15,3.552713678800501e-15,3.774758283725532e-15,2.55351295663786e-15,2.220446049250313e-15,2.1094237467877974e-15,1.2212453270876722e-15,8.881784197001252e-16,3.664868428816249e-15
0.017,0.7459662128449096,6.661338147750939e-16,1.5543122344752192e-15,1.7763568394002505e-15,3.3306690738754696e-15,1.6653345369377348e-15,1.7763568394002505e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.887379141862766e-15,1.2212453270876722e-15,1.5543122344752192e-15,1.2212453270876722e-15,6.661338147750939e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,1.3333990956006607e-15
0.018,0.7875984381404174,9.992007221626409e-16,3.1086244689504383e-15,3.1086244689504383e-15,4.9960036108132044e-15,3.1086244689504383e-15,3.219646771412954e-15,3.4416913763379853e-15,3.774758283725532e-15,2.7755575615628914e-15,2.220446049250313e-15,2.1094237467877974e-15,1.887379141862766e-15,1.4432899320127035e-15,1.1102230246251565e-15,6.661338147750939e-16,2.220446049250313e-16,2.2961165749605196e-15
0.019,0.8289943404919584,9.992007221626409e-16,3.1086244689504383e-15,3.1086244689504383e-15,4.9960036108132044e-15,3.1086244689504383e-15,3.219646771412954e-15,3.4416913763379853e-15,3.774758283725532e-15,2.7755575615628914e-15,2.220446049250313e-15,2.1094237467877974e-15,1.887379141862766e-15,1.3322676295501878e-15,9.992007221626409e-16,5.551115123125783e-16,2.220446049250313e-16,2.2766008803233874e-15
0.02,0.8701559264150943,5.88418203051333e-15,1.199040866595169e-14,1.354472090042691e-14,2.1316282072803006e-14,1.432187701766452e-14,1.532107773982716e-14,1.5654144647214707e-14,1.6986412276764895e-14,1.3877787807814457e-14,1.1213252548714081e-14,1.0769163338864018e-14,8.104628079763643e-15,5.88418203051333e-15,4.884981308350689e-15,3.3306690738754696e-15,2.6645352591003757e-15,1.0697707654628374e-14
0.021,0.911085179774224,3.4416913763379853e-15,7.993605777301127e-15,8.43769498715119e-15,1.3877787807814457e-14,9.880984919163893e-15,9.880984919163893e-15,9.880984919163893e-15,1.0103029524088925e-14,8.770761894538737e-15,6.994405055138486e-15,6.661338147750939e-15,4.9960036108132044e-15,3.6637359812630166e-15,2.886579864025407e-15,1.9984014443252818e-15,1.4432899320127035e-15,6.7154823962485455e-15
0.022,0.9517840621013133,1.27675647831893e-14,2.6978419498391304e-14,3.0753177782116836e-14,5.0182080713057076e-14,3.3861802251067274e-14,3.452793606584237e-14,3.47499806707674e-14,3.752553823233029e-14,3.11972669919669e-14,2.5091040356528538e-14,2.3869795029440866e-14,1.7763568394002505e-14,1.2878587085651816e-14,1.0547118733938987e-14,7.549516567451064e-15,5.329070518200751e-15,2.399723631301049e-14
0.023,0.992254512909261,2.378809184855335e-06,5.019851332055403e-06,5.8089754376711156e-06,9.694256300263326e-06,6.441819321190145e-06,6.580582774029509e-06,6.588578701172132e-06,7.073870719298547e-06,5.9025520479094595e-06,4.768038246560913e-06,4.535309546693789e-06,3.3788154317759833e-06,2.3622855725990988e-06,1.9300040788872153e-06,1.353928476555133e-06,1.032494805985884e-06,4.540853056998213e-06
0.024,1.03249845,0.023613547333710683,0.049279812024443204,0.05626177894565487,0.09066544014833411,0.06210694835594166,0.06367925548970477,0.06384717947566743,0.06834161915035142,0.05729920471288408,0.04647651523708529,0.04432509963999043,0.03328454095609057,0.023454541682382923,0.019232856788871322,0.0135101364501371,0.010289052252419495,0.04406703908703253
0.025,1.0725177697674417,0.05201411255892985,0.10703400254925344,0.12050409862235933,0.1870274266923927,0.13229528286610925,0.13609295830481216,0.13663941996217277,0.1457505599274932,0.12294358719369758,0.10025819124173396,0.09589848893151509,0.07268907088858212,0.051698320537782116,0.042574143368395045,0.0299684079592204,0.02279523100558556,0.09460118351161453
0.026,1.1123143474953618,0.07941187730286403,0.16110291737469318,0.17927813662087932,0.2693264669993082,0.1957961368325547,0.20187812171075592,0.20290225458076006,0.21574001222833672,0.1830875111340402,0.15012809421647644,0.1439783797858576,0.11010925854791132,0.07900536555182425,0.06532390729443815,0.046092866829692936,0.035028753223994236,0.14105293758263238
0.027,1.1518900376503236,0.10577404200595486,0.21154253960304015,0.23309896805260777,0.3403125864661105,0.25333125913887966,0.26160724580978956,0.2631472919978659,0.2789680057537871,0.2381629247316024,0.19637134456892313,0.1887763141271236,0.14559981761889518,0.10535261898516768,0.08744152009163642,0.06186143858770732,0.04698193755621549,0.18380161883952548
0.028,1.1912466741697418,0.13110505531392713,0.25850230461961543,0.2824459851768326,0.4020472666051502,0.305560511122818,0.3158634924380146,0.3179203618132147,0.3361048371102956,0.2886168818008791,0.23928038724147038,0.2305251335483619,0.1792454084573346,0.13074606562292457,0.10891335696615978,0.07726644085874335,0.05865516703580409,0.22320689628338192
0.029,1.2303860707451701,0.15542966403034553,0.302177320066786,0.32775572653727336,0.45611332545123695,0.35307257665498515,0.36520067797269673,0.3677529208151741,0.3877864642373826,0.33487954226035554,0.27913647762878546,0.26945755135877336,0.21114332696069238,0.15520742036068003,0.12974125528557456,0.09230836995605429,0.07005321467790171,0.2595982864650461
0.03,1.2693100211009174,0.17878339170010038,0.34278144262368837,0.36942136084456256,0.5037503679654705,0.3963866309261178,0.4101272458021462,0.4131406361761668,0.4345957787551541,0.3773505135307965,0.3162018381524936,0.30579604074455735,0.24139437889037307,0.17876672283622796,0.14993596639661577,0.10699240829506262,0.08118321423390207,0.29327258582516874
0.031,1.3080202992680696,0.20120704912270937,0.3805319514824005,0.40779501273704843,0.5459454228453027,0.4359582126841458,0.45110174130394354,0.45453542386073753,0.47705732143792934,0.4163941711348168,0.35071699642998855,0.33974841210751094,0.27009804185524866,0.20145810153318455,0.16951331613597964,0.12132639278850255,0.09205350188685424,0.3244948299171885
0.032,1.3465186598540149,0.22274351899210532,0.4156408918661756,0.443191196595371,0.5834955130176721,0.4721863393710619,0.4885337348090163,0.49234415203221393,0.5156383929521282,0.4523393744430092,0.3829006475852684,0.37150630344617097,0.2973499510991703,0.2233173075330388,0.18849189724310944,0.1353196024375175,0.10267294001014726,0.3535007211566524
0.033,1.3848068383075525,0.2434358636772096,0.44831034876044484,0.4758905477106885,0.6170520244395361,0.5054205817851802,0.5227871826519785,0.5269305547578765,0.5507530363435771,0.4854812648142649,0.41295071112592685,0.4012451616722309,0.32324067538370926,0.2443802687300679,0.2068916586641495,0.14898202204375466,0.11305051766023044,0.38049954806587
0.034,1.4228865511796736,0.2633262217990281,0.47873007118213995,0.5061434718635859,0.6471529038084021,0.5359675766181917,0.554184714020282,0.5586185690378667,0.5827671119936614,0.5160839583904988,0.44104590332286064,0.42912496588723015,0.34785521890480486,0.264682247667795,0.22473303510589804,0.16232389089878363,0.1231951146543494,0.40567713519870563
0.035,1.4607594963800907,0.282455183616911,0.5070765098034349,0.5341735442477819,0.6742464966870534,0.5640968045899253,0.5830120891358848,0.5876961678192139,0.612003573474084,0.5443835215057691,0.4673474760645141,0.4552912911979067,0.37127293243847237,0.28425736333958695,0.2420364095731602,0.17535542612345512,0.133115364572838,0.4291986157637517
0.036,1.4984273534296029,0.300861460526302,0.5335126996560486,0.5601805930963304,0.6987095074170133,0.5900456198114366,0.6095224652458457,0.6144192148635765,0.6387475131240599,0.5705909184738771,0.4920009450909256,0.4798764966601182,0.3935676517975123,0.3031383353311813,0.2588217848752593,0.18808665503194888,0.14281957858177907,0.45121094434968073
0.037,1.535891783708371,0.31858173617312757,0.5581886379127945,0.584343455546847,0.720860739305822,0.6140235833421317,0.633940310440792,0.6390151097011403,0.6632507870413525,0.5948947821824597,0.5151377216801132,0.5030009217648805,0.4148079575031607,0.32135636469443296,0.27510858804565563,0.20052731647821076,0.15231570703584074,0.4718451290641109
