Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0568189740777667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11329906759443341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1694433032705649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22525466798418972,3.3306690738754696e-16,1.4432899320127035e-15,1.887379141862766e-15,1.887379141862766e-15,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.66891530776621e-16
0.005,0.2807361133004926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.33589055599214146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.39072087855044074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.44522992968749997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4994205248296007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5532954466019417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.606857445304937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6601092393822393,1.5543122344752192e-15,3.3306690738754696e-15,4.218847493575595e-15,4.551914400963142e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.3322676295501878e-15,7.771561172376096e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.2415063603718484e-15
0.013,0.7130535158806545,3.1086244689504383e-15,5.995204332975845e-15,8.548717289613705e-15,9.325873406851315e-15,5.440092820663267e-15,4.107825191113079e-15,3.9968028886505635e-15,3.9968028886505635e-15,3.774758283725532e-15,3.4416913763379853e-15,2.9976021664879227e-15,2.1094237467877974e-15,1.3322676295501878e-15,9.992007221626409e-16,5.551115123125783e-16,3.3306690738754696e-16,4.523563563784097e-15
0.014,0.7656929309021113,1.3322676295501878e-15,2.3314683517128287e-15,4.218847493575595e-15,4.551914400963142e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,6.661338147750939e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.1133412931678582e-15
0.015,0.8180301100478468,1.3322676295501878e-15,2.3314683517128287e-15,4.218847493575595e-15,4.551914400963142e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.3322676295501878e-15,7.771561172376096e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.1323151534949926e-15
0.016,0.8700676488549618,6.8833827526759706e-15,1.3211653993039363e-14,1.965094753586527e-14,2.398081733190338e-14,1.27675647831893e-14,1.0103029524088925e-14,9.547918011776346e-15,9.769962616701378e-15,9.658940314238862e-15,7.882583474838611e-15,6.8833827526759706e-15,5.329070518200751e-15,3.219646771412954e-15,2.3314683517128287e-15,1.887379141862766e-15,1.6653345369377348e-15,1.0815740103063636e-14
0.017,0.9218081132254995,5.551115123125783e-15,1.0880185641326534e-14,1.7208456881689926e-14,2.1094237467877974e-14,1.0547118733938987e-14,8.215650382226158e-15,7.771561172376096e-15,8.104628079763643e-15,8.104628079763643e-15,6.661338147750939e-15,5.551115123125783e-15,4.3298697960381105e-15,2.886579864025407e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.5543122344752192e-15,9.110020760199288e-15
0.018,0.9732540398481972,4.4075854077618715e-14,8.93729534823251e-14,1.412203687323199e-13,1.695310558602614e-13,8.415490526658687e-14,6.461498003318411e-14,6.061817714453355e-14,6.339373470609644e-14,6.228351168147128e-14,5.295763827461997e-14,4.5075054799781356e-14,3.3639757646142243e-14,2.0317081350640365e-14,1.4654943925052066e-14,1.27675647831893e-14,1.1435297153639112e-14,7.283655391185269e-14
0.019,1.0244079366130558,0.017706720644765972,0.035581786130791104,0.05476946306280006,0.06525936509406627,0.033437049743960556,0.025730088623607372,0.024157083385543787,0.025218446667167438,0.024802440944713844,0.02097041313252901,0.01798951538774074,0.013492553756874637,0.00824638275466505,0.005804493331637572,0.005169976445849156,0.004460937580478386,0.028692539576911303
0.02,1.075272283018868,0.05510119892223264,0.10765239127950099,0.15844100438173725,0.18485246780578535,0.10038432693740029,0.07908402065447051,0.07448964956836812,0.07735718481473774,0.07578891351680661,0.06419446879555646,0.05545374053238428,0.04194229513754488,0.025807562333476364,0.01817272178314988,0.016112881588895345,0.01384725990121316,0.08570925864625106
0.021,1.1258495305738476,0.09246301527712886,0.17568905940848423,0.24871470791077654,0.28530355708458033,0.16313219274939572,0.13118676907977633,0.12390550738729911,0.1280997774341186,0.1251284686870403,0.1062409547927321,0.09236072537129458,0.07040708787376782,0.04361129722056567,0.030725570068478758,0.027141779915063502,0.023246315132354645,0.13874057286538732
0.022,1.1761421031894932,0.12932283671304223,0.23915820738307858,0.3273273596281816,0.3702990287180903,0.22165080607708532,0.18149378323300736,0.1718362044307481,0.17697075489958924,0.17247101994558112,0.14685244368536965,0.12841448154073853,0.09861519811886177,0.06148625788765849,0.043349471624912206,0.03817707299425632,0.032604422451470216,0.1879643931419828
0.023,1.2261523975678204,0.16533872694268836,0.297882664770717,0.3958996105926885,0.44269925081165107,0.2760088386915255,0.22963380698828417,0.21789297491951487,0.22366287070775226,0.21760152386910814,0.18585878230972486,0.16340185072439717,0.12635918858005324,0.0792967627978104,0.05595627888442656,0.04915789134557902,0.04188157983079577,0.23359244243240457
0.024,1.2758827835820894,0.20027310619729743,0.3519170642614796,0.4558687251719715,0.5047501197741726,0.32635096944570163,0.2753802591758814,0.26183256715145187,0.26800138281738684,0.26041012352081205,0.2231612494879075,0.1971792005467774,0.15348695066795637,0.09693830124758662,0.06847894338468274,0.06003865701896838,0.051048629743060236,0.2758555427711055
0.025,1.3253356046511626,0.2339706548681053,0.4014571904523476,0.5084759719789858,0.5582327564031033,0.37287415530987056,0.3186202578463536,0.3035242447712696,0.3099114796082363,0.300865460499941,0.25871676888112627,0.22965864492621202,0.17989188939826906,0.11433246309605538,0.08086747958439089,0.0707859957710194,0.06008488217956853,0.3149917229168923
0.026,1.3745131781076065,0.26633897024997666,0.44677715202392987,0.5547783989733535,0.6045721532068891,0.41580690844439516,0.3593260530888571,0.3429209462673739,0.3493908161342929,0.33899243666853074,0.2925238492270428,0.26079540467093687,0.20550361931411698,0.13142202708048067,0.09308542136649456,0.08137609305784832,0.06897616461137401,0.35123733168067556
0.027,1.4234177955596667,0.29733259724207417,0.4881876210071062,0.5956698938654055,0.6449175230950748,0.4553929954890481,0.39753092814082447,0.3800356493135981,0.38648758673885597,0.37485460176344476,0.32461090928448766,0.2905770372847769,0.23027983734533453,0.14816659626573836,0.10510685211296744,0.0917925165178618,0.07771326092038355,0.3848208936431375
0.028,1.4720517232472325,0.3269403472367177,0.5260091638925568,0.6319042608466998,0.6802025650812671,0.49187951230650095,0.4333099930689829,0.4149228343370479,0.4212836891437939,0.40854071745465814,0.35502702523251783,0.3190146879534247,0.25419957495867584,0.1645389171788053,0.11691399439980776,0.10202447230011535,0.08629068638249482,0.4159592101832773
0.029,1.5204172023919043,0.35517549242591917,0.5605559596685963,0.6641170470494985,0.711191174217136,0.5255086771905607,0.46676547417425696,0.44766440310276157,0.45388217464538505,0.4401548010177686,0.38383483708886557,0.3461362108572046,0.2772577781333154,0.1805218768020811,0.12849529595159348,0.11206543551657577,0.09470574027280487,0.44485516495869115
0.03,1.5685164495412844,0.38206832533664103,0.5921264491873737,0.6928448558477226,0.73851243780681,0.5565125322619435,0.49801578369198585,0.4783592430213557,0.48439811695666235,0.4698089257208393,0.4111052463650614,0.37198088661159556,0.29946105062725814,0.19610610494798653,0.13984393146156227,0.12191208837468837,0.10295778055232019,0.4716967510552321
