Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05869069112662014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11703133836978132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17502506402378593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2326749533596838,3.3306690738754696e-16,1.6653345369377348e-15,2.1094237467877974e-15,1.887379141862766e-15,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,7.019190279682039e-16
0.005,0.2899840551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.34695538231827117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.40359191224289914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.45989658749999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5158723162609542,2.220446049250313e-16,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,3.3306690738754696e-16,1.1102230246251565e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.388163644165367e-16
0.01,0.571521972815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6268483980638916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6818544,1.4432899320127035e-15,3.885780586188048e-15,4.884981308350689e-15,4.6629367034256575e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.3509779391915325e-15
0.013,0.736542754186718,3.4416913763379853e-15,8.43769498715119e-15,1.176836406102666e-14,1.1435297153639112e-14,5.440092820663267e-15,4.3298697960381105e-15,4.3298697960381105e-15,4.440892098500626e-15,4.3298697960381105e-15,3.774758283725532e-15,3.1086244689504383e-15,2.6645352591003757e-15,1.6653345369377348e-15,1.1102230246251565e-15,6.661338147750939e-16,4.440892098500626e-16,5.403033369715624e-15
0.014,0.7909162042226487,1.4432899320127035e-15,3.885780586188048e-15,4.551914400963142e-15,4.6629367034256575e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.3222181982207945e-15
0.015,0.8449774622009568,1.4432899320127035e-15,4.3298697960381105e-15,6.661338147750939e-15,6.439293542825908e-15,2.7755575615628914e-15,2.1094237467877974e-15,2.220446049250313e-15,2.3314683517128287e-15,2.220446049250313e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.5543122344752192e-15,7.771561172376096e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.8304184554151777e-15
0.016,0.8987292091603053,7.216449660063518e-15,1.9761969838327786e-14,2.8754776337791554e-14,2.6978419498391304e-14,1.2323475573339238e-14,9.992007221626409e-15,9.992007221626409e-15,1.0547118733938987e-14,1.0325074129013956e-14,8.659739592076221e-15,7.882583474838611e-15,5.995204332975845e-15,3.6637359812630166e-15,2.6645352591003757e-15,2.220446049250313e-15,1.7763568394002505e-15,1.27005909723493e-14
0.017,0.9521740955280685,8.43769498715119e-15,2.375877272697835e-14,3.519406988061746e-14,3.319566843629218e-14,1.4765966227514582e-14,1.199040866595169e-14,1.199040866595169e-14,1.2323475573339238e-14,1.2434497875801753e-14,1.0658141036401503e-14,9.2148511043888e-15,6.994405055138486e-15,4.551914400963142e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.5326962655596188e-14
0.018,1.005314741555977,0.0032082990686937984,0.009088376740981396,0.013663083793062691,0.012893490360724624,0.005519056549462054,0.0043140147252855865,0.004454566061927845,0.004736032028637482,0.004667459567454069,0.00392779121484077,0.0034980582148634864,0.002689875226602134,0.0017074750325795085,0.0011643328230328542,0.0009997866618469686,0.0007981031479616929,0.0058353193125692876
0.019,1.0581537377483443,0.035254577933325204,0.09556799968005425,0.13694852291223902,0.13041662910650564,0.059498518112199306,0.04742908236032495,0.048748329936704304,0.051512158194776836,0.050585535442978946,0.0427419443220759,0.03829403146521837,0.029647940216195545,0.018919696094873983,0.012849033858433168,0.010990312098363653,0.008738426977436986,0.061432381062986034
0.02,1.110693645283019,0.06747973788665595,0.17521688350131392,0.24108108042180776,0.23133705604591293,0.11186154575001206,0.09075602491753354,0.09289640393197629,0.09763389320883176,0.09560267720008653,0.08111373649584086,0.07307794757079644,0.05694488224898542,0.03653377948177783,0.024730857034767073,0.02108375886374647,0.016707326346016127,0.11315553065174772
0.021,1.1629369964252116,0.09955898002485608,0.24796575006574972,0.3295648134630138,0.3182741965625082,0.1622730710751603,0.13375771547560933,0.13641331867796225,0.1426877890449132,0.13940089428662805,0.11876899697964816,0.10755630048377463,0.0843289615337105,0.05439486078299616,0.036729178547705854,0.03122616573346315,0.02467417797699034,0.16128139248840523
0.022,1.2148862949343338,0.13124065241739313,0.3140550887704794,0.405210078601729,0.39344374156852024,0.21050861052333147,0.17600654562619733,0.17892599321446667,0.186369746867579,0.18175180080382602,0.1554997482210243,0.1414948928878047,0.11159371828906905,0.07237356799374184,0.04877862608888639,0.04137475699037996,0.032615348962761415,0.206078199878035
0.023,1.266544016463985,0.1623262304105112,0.3738833387787558,0.47024735469296863,0.45867613225439985,0.2564204723938809,0.21716330276634277,0.22014769990638072,0.22845557290529295,0.22248941495665264,0.19114396331844696,0.17470274314642853,0.1385658253265284,0.09035843487838102,0.06082338485698191,0.05149303004222283,0.040510441435677946,0.24778813473113662
0.024,1.3179126089552238,0.19266435948425098,0.42792938137762204,0.5264608094211207,0.5154870896453543,0.2999286175956368,0.2569718341909427,0.25986983321608736,0.26879178663360215,0.26150346655918766,0.22558245928084586,0.20703055453781538,0.16510418632777402,0.10825564569075419,0.07281675302601687,0.06155048000246166,0.04834228568347898,0.2866340584263697
0.025,1.3689944930232558,0.22214421859744438,0.476700378220847,0.5752880957448661,0.5651355171870773,0.341009783387036,0.2952500780133609,0.2979514208980719,0.30728494354126246,0.2987313216634667,0.25873419188730173,0.23836720899954145,0.19109756404422973,0.12598797734662404,0.08472038708093566,0.07152212079694875,0.056096777338021875,0.3228233595411045
0.026,1.4197920623376623,0.25068892601040993,0.520698853905817,0.6178957067112876,0.6086703913318867,0.3796861695921303,0.3318793183487446,0.33430793417860416,0.3438907704135781,0.3341495626219477,0.29055076076954056,0.26863514076592443,0.21646135358531216,0.14349325712719874,0.09650339401583463,0.08138790005420526,0.06376261720692955,0.3565500554211405
