Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06663280079760718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13286818926441354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19870971020812686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2641608664031621,3.3306690738754696e-16,1.3322676295501878e-15,1.9984014443252818e-15,2.55351295663786e-15,6.661338147750939e-16,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,8.193244061163286e-16
0.005,0.3292251192118227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3939058891944991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.45820655670910876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5221304625000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5856809082765336,0.0,1.1102230246251565e-16,1.6653345369377348e-15,1.9984014443252818e-15,5.551115123125783e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,4.815810709514435e-16
0.01,0.6488611572815535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7116744348499516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.774123928957529,1.4432899320127035e-15,2.55351295663786e-15,4.9960036108132044e-15,1.0658141036401503e-14,4.551914400963142e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.1102230246251565e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.077282906117124e-15
0.013,0.8362127907603466,3.6637359812630166e-15,6.772360450213455e-15,1.4099832412739488e-14,2.609024107869118e-14,1.021405182655144e-14,5.88418203051333e-15,4.6629367034256575e-15,4.884981308350689e-15,5.10702591327572e-15,4.551914400963142e-15,4.107825191113079e-15,2.55351295663786e-15,1.5543122344752192e-15,1.1102230246251565e-15,6.661338147750939e-16,7.771561172376096e-16,7.75351865144922e-15
0.014,0.8979441351247601,1.6653345369377348e-15,3.885780586188048e-15,7.327471962526033e-15,1.509903313490213e-14,5.551115123125783e-15,2.9976021664879227e-15,1.9984014443252818e-15,2.4424906541753444e-15,2.6645352591003757e-15,2.55351295663786e-15,2.220446049250313e-15,1.4432899320127035e-15,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,4.159642322928359e-15
0.015,0.9593210411483253,4.9960036108132044e-15,9.658940314238862e-15,2.1871393585115584e-14,4.518607710224387e-14,1.6764367671839864e-14,9.103828801926284e-15,6.661338147750939e-15,7.216449660063518e-15,7.882583474838611e-15,7.438494264988549e-15,6.439293542825908e-15,3.885780586188048e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.4432899320127035e-15,1.2271769667764147e-14
0.016,1.020346552671756,0.005822332372290018,0.011114816590946597,0.025134696016407276,0.0521567885660964,0.019572725104570088,0.010440032500919183,0.007626921335617376,0.008453070269972107,0.009102641442850556,0.008553674918871046,0.00732089507424849,0.004674260539620501,0.002814164894562432,0.00208097985592115,0.0016796098329162623,0.0017953314988933267,0.014179951520537686
0.017,1.0810236787821124,0.02452628448297134,0.04665148697476651,0.09999815571731319,0.19032608195582468,0.0771483797929694,0.04284202263744841,0.03181716827278347,0.034987744150773326,0.03727097083076936,0.03473985289307746,0.030019422503197668,0.019362590387804413,0.01174750790831669,0.00873892382371777,0.0069964853762704005,0.007434773712555298,0.05587204743455872
0.018,1.1413553943074004,0.044960686148456164,0.08496133925578031,0.17294446511699357,0.3054677546418131,0.13296301625224283,0.07667434200444412,0.05779136584529232,0.06309560510620893,0.06656583657125281,0.061626285064147024,0.05372619438723847,0.03499654534060692,0.021392217440659667,0.015991968851940985,0.012712447608772881,0.013435014186402583,0.09640396667667843
0.019,1.2013446403027437,0.06685070183505526,0.12519100679948014,0.2425807496553659,0.4017862785810845,0.18673189005861002,0.11152622395770839,0.08518470103898701,0.09239602160382665,0.0966436851792788,0.08897866483678596,0.07820694555778973,0.05142951197991796,0.03166546522312652,0.023767588754910807,0.01877636100047342,0.01974305182238134,0.13568680768618263
0.02,1.260994324528302,0.08989747410634352,0.16650505803730908,0.30797458262669375,0.4826826256978156,0.23821683525811044,0.14697859278146053,0.11361779663790428,0.12250369980660147,0.12716658092040667,0.11656417114509765,0.10322257024188597,0.06850356958393578,0.04247395951807009,0.031986926798265314,0.025133734617205694,0.02630418644428112,0.17361285535122725
0.021,1.320307321919097,0.1138029441234727,0.20815168066399947,0.3686168655692932,0.5509097809863635,0.28723924600775563,0.18263327547986574,0.1427249878068405,0.15305638955204715,0.15782483488776233,0.14416722393295556,0.1285457182831823,0.08606191029067145,0.05372207009257457,0.04057140302704376,0.0317311726691516,0.03306621908707208,0.21008662642775028
0.022,1.3792864750469043,0.13828630998221403,0.2494958792708889,0.42433229781391957,0.6086959517333617,0.3336826767549469,0.21813171959259203,0.17217189463724936,0.18373050256099577,0.1883482830978377,0.17159759222056792,0.1539702709401939,0.1039567104448943,0.06531721478974029,0.04944670859633127,0.0385188839287115,0.03998158637979354,0.24503783267317947
0.023,1.4379345945743687,0.1630937704485539,0.2900292579820737,0.47518165970785,0.6578457459942668,0.3774893445624675,0.2531652346781049,0.20166481189216112,0.21424815399009978,0.21851013156998278,0.19869356427148732,0.17931592582410616,0.12205365515660849,0.07717316560401466,0.05854495413494121,0.04545189574150388,0.047008196165208904,0.27842454210149375
0.024,1.4962544597014926,0.18800334458175771,0.3293651338620659,0.5213775415956168,0.6998232356144973,0.41865320226081904,0.2874788315484602,0.2309543355294651,0.24437862411513311,0.24812636056439963,0.22532212694244858,0.2044296162229352,0.14023414922882893,0.08921188097590249,0.067805628502291,0.05249048542140111,0.054109538310732286,0.3102315922687477
