Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0655594926221336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13072797435387676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19550893290386523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.25990581462450596,1.1102230246251565e-16,1.2212453270876722e-15,2.1094237467877974e-15,2.220446049250313e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,6.108643328355304e-16
0.005,0.32392202512315277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.38756092986247553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4508258547502449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.51372008671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5762468742940604,1.1102230246251565e-16,4.440892098500626e-16,2.1094237467877974e-15,2.220446049250313e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.439305417680347e-16
0.01,0.6384094281553399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7002109216844143,1.1102230246251565e-16,4.440892098500626e-16,2.1094237467877974e-15,2.220446049250313e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.439305417680347e-16
0.012,0.7616544915057916,1.3322676295501878e-15,2.55351295663786e-15,7.216449660063518e-15,7.771561172376096e-15,2.7755575615628914e-15,1.887379141862766e-15,1.887379141862766e-15,2.1094237467877974e-15,2.220446049250313e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.5543122344752192e-15,7.771561172376096e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.730492336480639e-15
0.013,0.8227432380173244,3.774758283725532e-15,6.772360450213455e-15,1.765254609153999e-14,1.9872992140790302e-14,7.105427357601002e-15,4.440892098500626e-15,4.6629367034256575e-15,4.9960036108132044e-15,5.329070518200751e-15,4.440892098500626e-15,3.774758283725532e-15,2.7755575615628914e-15,1.887379141862766e-15,1.3322676295501878e-15,9.992007221626409e-16,7.771561172376096e-16,6.859165691508574e-15
0.014,0.8834802259117084,1.6653345369377348e-15,3.885780586188048e-15,9.658940314238862e-15,1.0325074129013956e-14,4.107825191113079e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.6645352591003757e-15,2.886579864025407e-15,2.1094237467877974e-15,1.887379141862766e-15,1.7763568394002505e-15,9.992007221626409e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.666860038020763e-15
0.015,0.9438684846889952,3.1086244689504383e-15,6.328271240363392e-15,1.687538997430238e-14,1.9539925233402755e-14,6.8833827526759706e-15,3.9968028886505635e-15,4.218847493575595e-15,4.6629367034256575e-15,4.884981308350689e-15,3.774758283725532e-15,3.3306690738754696e-15,2.4424906541753444e-15,1.4432899320127035e-15,1.2212453270876722e-15,9.992007221626409e-16,6.661338147750939e-16,6.4298250556925046e-15
0.016,1.0039110091603054,0.0015397702439978733,0.0031036991494377553,0.008680907762943169,0.009898927134386892,0.0034183454073206665,0.0020320719697721756,0.002024471824039975,0.00239347583531635,0.00248582691709498,0.0020231736803039135,0.0017243623487406268,0.0013087300823331205,0.0008229752193461559,0.0006159181895728505,0.0005573115507239157,0.0004754323142028838,0.003265600007913238
0.017,1.0636107599429117,0.02525462131597933,0.04966007924728377,0.12908346797680592,0.14458190895368572,0.05387055251477102,0.03308592823049783,0.03299705458855928,0.03863113508010241,0.039843295673503865,0.03246581609777921,0.027898070995932556,0.021341818813279345,0.013487903816131186,0.010063896929636829,0.009047515139403939,0.007680971381343937,0.05040565132803534
0.018,1.122970663946869,0.050112299992415066,0.09612389093102036,0.23325373225000967,0.25758065301451627,0.10299711770118758,0.06521066240520912,0.06507269504076452,0.07548984994432473,0.07737313047782379,0.06315806087911424,0.054689226822480896,0.042154769915366264,0.02677683796035646,0.019921411096851638,0.017805065287676447,0.015047984670993553,0.09464817475692124
0.019,1.1819936148533587,0.07590857555893282,0.14207479253549482,0.32335132875723716,0.3529957298923476,0.15070061709736138,0.0981497741301568,0.09796943457908291,0.11269015830471085,0.11485882495319966,0.09396723278419439,0.08195186314078295,0.06362838602617771,0.04062463909433767,0.030144096618838656,0.026800561490155417,0.022557253196174964,0.13636255259710062
