Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04557979716849452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09088774664015906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1359262732210109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18069777296442688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.22520461359605912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.26944913493123773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3134336492850147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.357160441875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4006317712171373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4438498695145631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4868169430396902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5295351725096525,6.661338147750939e-16,9.992007221626409e-16,1.887379141862766e-15,2.220446049250313e-15,1.7763568394002505e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.2212453270876722e-15,9.992007221626409e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,0.0,1.1127595165192718e-15
0.013,0.5720067134552455,1.5543122344752192e-15,2.220446049250313e-15,3.3306690738754696e-15,4.107825191113079e-15,3.885780586188048e-15,3.6637359812630166e-15,3.219646771412954e-15,3.219646771412954e-15,3.219646771412954e-15,2.886579864025407e-15,2.55351295663786e-15,2.1094237467877974e-15,1.4432899320127035e-15,8.881784197001252e-16,1.4432899320127035e-15,7.771561172376096e-16,2.4557145645639703e-15
0.014,0.6142336965834932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6562182281339712,0.0,1.1102230246251565e-16,1.2212453270876722e-15,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.0375352645697715e-16
0.016,0.6979623902290076,2.220446049250313e-15,2.7755575615628914e-15,4.9960036108132044e-15,5.662137425588298e-15,4.9960036108132044e-15,4.6629367034256575e-15,3.6637359812630166e-15,3.774758283725532e-15,3.552713678800501e-15,3.219646771412954e-15,3.1086244689504383e-15,2.55351295663786e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.6653345369377348e-15,7.771561172376096e-16,3.027380871267418e-15
0.017,0.7394682412178878,5.551115123125783e-16,1.1102230246251565e-15,2.886579864025407e-15,3.3306690738754696e-15,2.1094237467877974e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.3322676295501878e-15,6.661338147750939e-16,2.220446049250313e-16,6.661338147750939e-16,2.220446049250313e-16,1.4151767113771465e-15
0.018,0.7807378160151802,1.5543122344752192e-15,1.887379141862766e-15,3.4416913763379853e-15,4.9960036108132044e-15,4.107825191113079e-15,3.552713678800501e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.3306690738754696e-15,2.886579864025407e-15,2.55351295663786e-15,1.9984014443252818e-15,1.3322676295501878e-15,7.771561172376096e-16,1.3322676295501878e-15,7.771561172376096e-16,2.4601106504190034e-15
0.019,0.8217731264333018,1.2212453270876722e-15,1.5543122344752192e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.886579864025407e-15,2.7755575615628914e-15,2.886579864025407e-15,2.220446049250313e-15,1.9984014443252818e-15,1.7763568394002505e-15,9.992007221626409e-16,5.551115123125783e-16,8.881784197001252e-16,4.440892098500626e-16,2.0352276924598132e-15
0.02,0.862576161509434,5.88418203051333e-15,8.548717289613705e-15,1.554312234475219e-14,2.1094237467877974e-14,1.7208456881689926e-14,1.5765166949677223e-14,1.2545520178264269e-14,1.2989609388114332e-14,1.354472090042691e-14,1.1324274851176597e-14,1.1102230246251565e-14,7.882583474838611e-15,4.773959005888173e-15,3.774758283725532e-15,4.3298697960381105e-15,2.886579864025407e-15,1.0186172498552495e-14
0.021,0.9031488878269051,4.773959005888173e-15,6.661338147750939e-15,1.176836406102666e-14,1.5987211554602254e-14,1.2656542480726785e-14,1.176836406102666e-14,9.547918011776346e-15,9.992007221626409e-15,1.021405182655144e-14,8.43769498715119e-15,8.215650382226158e-15,6.217248937900877e-15,3.552713678800501e-15,2.55351295663786e-15,2.9976021664879227e-15,2.4424906541753444e-15,7.708168935004301e-15
0.022,0.9434932498311445,1.2545520178264269e-14,1.7208456881689926e-14,3.197442310920451e-14,4.440892098500626e-14,3.430589146091734e-14,3.086420008457935e-14,2.5091040356528538e-14,2.5868196473766147e-14,2.7200464103316335e-14,2.2537527399890678e-14,2.1649348980190553e-14,1.587618925213974e-14,9.2148511043888e-15,6.994405055138486e-15,8.548717289613705e-15,5.88418203051333e-15,2.0458840432693317e-14
