Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08469656739780658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1688879862823062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2525787624380575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.3357733482213439,1.5543122344752192e-15,3.552713678800501e-15,4.218847493575595e-15,2.9976021664879227e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.220446049250313e-15,2.1094237467877974e-15,2.220446049250313e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.4752907956604804e-15
0.005,0.41847614334975375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.5006914956777997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.582423701958864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.66367700859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.7444556123661149,2.1094237467877974e-15,5.995204332975845e-15,7.105427357601002e-15,3.6637359812630166e-15,2.3314683517128287e-15,2.4424906541753444e-15,2.55351295663786e-15,2.55351295663786e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.6653345369377348e-15,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,3.450826114028654e-15
