Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04194519149551346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08364021286282307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12508729555004955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16628864454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2072464387684729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.24796283145383108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.28843995052889326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.328679898984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.36868475523855887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.40845657349514564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4479973840948693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.48730919386100385,8.881784197001252e-16,1.2212453270876722e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.7763568394002505e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.5543122344752192e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.2773478056780805e-15
0.013,0.5263939864388836,1.4432899320127035e-15,2.4424906541753444e-15,2.886579864025407e-15,3.219646771412954e-15,2.3314683517128287e-15,3.219646771412954e-15,3.1086244689504383e-15,3.219646771412954e-15,3.4416913763379853e-15,3.219646771412954e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.2212453270876722e-15,4.440892098500626e-16,2.220446049250313e-16,2.5565653910107013e-15
0.014,0.5652537226295585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6038903407177033,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.2212453270876722e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,6.661338147750939e-16,0.0,0.0,0.0,0.0,7.890261702146412e-16
0.016,0.6423057567938931,1.4432899320127035e-15,2.4424906541753444e-15,2.886579864025407e-15,3.219646771412954e-15,2.3314683517128287e-15,3.219646771412954e-15,3.1086244689504383e-15,3.219646771412954e-15,3.4416913763379853e-15,3.219646771412954e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.2212453270876722e-15,4.440892098500626e-16,2.220446049250313e-16,2.5565653910107013e-15
0.017,0.6805018650713606,8.881784197001252e-16,1.2212453270876722e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.7763568394002505e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.5543122344752192e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.2773478056780805e-15
0.018,0.7184805381973434,1.2212453270876722e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.9976021664879227e-15,1.887379141862766e-15,2.9976021664879227e-15,2.886579864025407e-15,3.1086244689504383e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.886579864025407e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,2.3005520922800387e-15
0.019,0.7562436275591295,1.2212453270876722e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.886579864025407e-15,1.887379141862766e-15,2.9976021664879227e-15,2.886579864025407e-15,3.1086244689504383e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.886579864025407e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,2.291111698535225e-15
0.02,0.7937929635849056,4.107825191113079e-15,5.662137425588298e-15,7.327471962526033e-15,7.549516567451064e-15,5.995204332975845e-15,8.326672684688674e-15,7.882583474838611e-15,8.104628079763643e-15,9.103828801926284e-15,8.104628079763643e-15,7.993605777301127e-15,4.440892098500626e-15,2.3314683517128287e-15,2.220446049250313e-15,1.887379141862766e-15,1.5543122344752192e-15,6.4500374137866284e-15
0.021,0.8311303560395108,2.4424906541753444e-15,3.219646771412954e-15,4.3298697960381105e-15,4.3298697960381105e-15,3.4416913763379853e-15,4.884981308350689e-15,4.773959005888173e-15,4.6629367034256575e-15,5.218048215738236e-15,4.773959005888173e-15,4.6629367034256575e-15,2.886579864025407e-15,1.4432899320127035e-15,1.4432899320127035e-15,6.661338147750939e-16,5.551115123125783e-16,3.7680276101878304e-15
0.022,0.8682575943151969,6.217248937900877e-15,7.771561172376096e-15,1.0547118733938987e-14,1.099120794378905e-14,8.770761894538737e-15,1.2878587085651816e-14,1.2323475573339238e-14,1.2212453270876722e-14,1.3322676295501878e-14,1.2434497875801753e-14,1.2656542480726785e-14,7.216449660063518e-15,4.107825191113079e-15,3.3306690738754696e-15,2.4424906541753444e-15,2.1094237467877974e-15,9.661280659347975e-15
0.023,0.905176447717493,1.2212453270876722e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.886579864025407e-15,1.887379141862766e-15,2.9976021664879227e-15,2.886579864025407e-15,2.9976021664879227e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.886579864025407e-15,1.4432899320127035e-15,6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,2.220446049250313e-16,2.2529958967149407e-15
0.024,0.9418886657462686,1.5654144647214707e-14,1.965094753586527e-14,2.631228568361621e-14,2.7644553313166398e-14,2.19824158875781e-14,3.2862601528904634e-14,3.11972669919669e-14,3.11972669919669e-14,3.452793606584237e-14,3.141931159689193e-14,3.141931159689193e-14,1.7541523789077473e-14,9.880984919163893e-15,7.882583474838611e-15,5.88418203051333e-15,4.884981308350689e-15,2.4352860704479324e-14
