Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04267996809571286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08510538369781312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12727851734390486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16920161264822134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.21087688669950738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2523065304518664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.29349270910871694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.3344375625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.375143205452775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4156117281553398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4558451965150048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.49584565250965246,8.881784197001252e-16,1.1102230246251565e-15,1.5543122344752192e-15,1.887379141862766e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.0320947331539632e-15
0.013,0.535615114533205,2.220446049250313e-15,2.7755575615628914e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.219646771412954e-15,3.3306690738754696e-15,3.219646771412954e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,2.55351295663786e-15,1.5543122344752192e-15,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,2.220446049250313e-16,2.2622460480246745e-15
0.014,0.5751555777351247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6144690143540669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6535573740458015,2.220446049250313e-15,2.7755575615628914e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.219646771412954e-15,3.3306690738754696e-15,3.219646771412954e-15,3.552713678800501e-15,3.3306690738754696e-15,2.886579864025407e-15,2.55351295663786e-15,1.5543122344752192e-15,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,2.220446049250313e-16,2.2690372650230193e-15
0.017,0.6924225842055185,8.881784197001252e-16,1.1102230246251565e-15,1.5543122344752192e-15,1.887379141862766e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.0320947331539632e-15
0.018,0.7310665502846299,1.7763568394002505e-15,2.6645352591003757e-15,2.9976021664879227e-15,3.6637359812630166e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.219646771412954e-15,2.7755575615628914e-15,2.55351295663786e-15,1.4432899320127035e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.1418374291769047e-15
0.019,0.7694911561021759,1.4432899320127035e-15,1.887379141862766e-15,2.886579864025407e-15,3.219646771412954e-15,2.886579864025407e-15,2.886579864025407e-15,2.7755575615628914e-15,2.9976021664879227e-15,2.886579864025407e-15,2.220446049250313e-15,1.9984014443252818e-15,1.1102230246251565e-15,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.8148127840999467e-15
0.02,0.8076982641509434,5.662137425588298e-15,7.327471962526033e-15,9.325873406851315e-15,1.176836406102666e-14,9.2148511043888e-15,9.325873406851315e-15,9.2148511043888e-15,9.992007221626409e-15,9.880984919163893e-15,8.215650382226158e-15,6.8833827526759706e-15,4.3298697960381105e-15,2.7755575615628914e-15,2.220446049250313e-15,1.9984014443252818e-15,1.5543122344752192e-15,6.6326270810119874e-15
