Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04823356695912264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09617945856858849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14384024081268584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19121844924901188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.23831658945812811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.28513713748526526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.331682540274241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.37795521609375005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.42395755495618304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.46969191902912627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5151606430396902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5603660346718147,6.661338147750939e-16,1.3322676295501878e-15,1.887379141862766e-15,3.6637359812630166e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.4432899320127035e-15,9.992007221626409e-16,0.0,5.551115123125783e-16,2.220446049250313e-16,1.4932153341247092e-15
0.013,0.6053103749566892,1.7763568394002505e-15,2.886579864025407e-15,3.552713678800501e-15,6.106226635438361e-15,3.885780586188048e-15,3.774758283725532e-15,3.4416913763379853e-15,3.774758283725532e-15,3.4416913763379853e-15,3.1086244689504383e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.4432899320127035e-15,7.771561172376096e-16,1.3322676295501878e-15,8.881784197001252e-16,2.8882538124429575e-15
0.014,0.64999591865643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6944248946411483,4.440892098500626e-16,1.3322676295501878e-15,1.887379141862766e-15,3.6637359812630166e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.3322676295501878e-15,7.771561172376096e-16,0.0,3.3306690738754696e-16,2.220446049250313e-16,1.3976482349539363e-15
0.016,0.7385995062595421,2.1094237467877974e-15,3.552713678800501e-15,5.551115123125783e-15,9.880984919163893e-15,6.106226635438361e-15,5.551115123125783e-15,4.884981308350689e-15,4.884981308350689e-15,5.10702591327572e-15,4.6629367034256575e-15,4.884981308350689e-15,3.6637359812630166e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.3322676295501878e-15,4.277582676418406e-15
0.017,0.78252193170314,1.6653345369377348e-15,2.886579864025407e-15,3.4416913763379853e-15,6.106226635438361e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.219646771412954e-15,3.552713678800501e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.886579864025407e-15,2.220446049250313e-15,1.4432899320127035e-15,6.661338147750939e-16,1.2212453270876722e-15,8.881784197001252e-16,2.7775085089885146e-15
0.018,0.8261943243643264,1.6653345369377348e-15,2.886579864025407e-15,3.774758283725532e-15,7.216449660063518e-15,4.107825191113079e-15,3.774758283725532e-15,3.3306690738754696e-15,3.774758283725532e-15,3.4416913763379853e-15,3.1086244689504383e-15,2.9976021664879227e-15,2.4424906541753444e-15,1.5543122344752192e-15,7.771561172376096e-16,1.3322676295501878e-15,9.992007221626409e-16,2.980823311467698e-15
0.019,0.8696188131882687,1.6653345369377348e-15,2.886579864025407e-15,3.6637359812630166e-15,7.216449660063518e-15,3.9968028886505635e-15,3.774758283725532e-15,3.3306690738754696e-15,3.774758283725532e-15,3.4416913763379853e-15,3.1086244689504383e-15,2.9976021664879227e-15,2.3314683517128287e-15,1.5543122344752192e-15,7.771561172376096e-16,1.3322676295501878e-15,9.992007221626409e-16,2.9601060811271262e-15
0.02,0.912797503018868,8.215650382226158e-15,1.432187701766452e-14,2.1094237467877974e-14,4.0967229608668276e-14,2.4980018054066022e-14,2.120525977034049e-14,1.8207657603852567e-14,1.8984813721090177e-14,1.9317880628477724e-14,1.7541523789077473e-14,1.8207657603852567e-14,1.354472090042691e-14,8.770761894538737e-15,4.218847493575595e-15,7.216449660063518e-15,5.88418203051333e-15,1.6542965347666205e-14
0.021,0.9557324749388524,8.215650382226158e-15,1.432187701766452e-14,2.1094237467877974e-14,4.196643033083092e-14,2.5091040356528538e-14,2.1094237467877974e-14,1.8096635301390052e-14,1.865174681370263e-14,1.9206858326015208e-14,1.7430501486614958e-14,1.787459069646502e-14,1.3433698597964394e-14,8.548717289613705e-15,3.9968028886505635e-15,6.994405055138486e-15,5.551115123125783e-15,1.647011418761425e-14
0.022,0.9984257866041276,0.00024861422937516586,0.00043073174887442445,0.0006597858152014302,0.0013447699842673577,0.0007772975360502699,0.0006502124644125473,0.0005596260529627806,0.0005738926288268997,0.0005918868926209075,0.0005456516717146087,0.00055351490375255,0.00041426392797305756,0.00025894198163067816,0.00012575089628552583,0.00020691787897764158,0.00017264844139885938,0.000510831501301549
0.023,1.0408794725724977,0.02520021242131798,0.04346752091862849,0.06426354791422173,0.12272641478680857,0.07499955884031229,0.06402061345316257,0.055626849598991,0.056889613006212425,0.058373212594180934,0.053692040462224755,0.054627792057176605,0.041292631624745835,0.02606511516292742,0.01278822825381376,0.02084469228140262,0.017321791872924153,0.04992449721629023
0.024,1.0830955446268657,0.05191449241642021,0.08902315099927804,0.12743726139357603,0.22951279360514676,0.14734974740704465,0.12803980659025882,0.11226060636930535,0.11454667344253078,0.11702326523502316,0.10750623348974753,0.10963335051270817,0.08370069042132833,0.053378053310666584,0.026464116491261458,0.042756270668316776,0.03541281341951663,0.09940544119143613
0.025,1.1250759920930233,0.07867506143511704,0.13399493169548116,0.18650746772039462,0.3193573582379585,0.2137866166662321,0.18857589601945368,0.16669291922297758,0.1697729983864823,0.17283111928336947,0.15871649740570937,0.16213118748958621,0.12496202388771749,0.08049954429170358,0.04031897546718266,0.0646219149504278,0.053387277870370564,0.14611341027540414
0.026,1.1668227821521335,0.10513430494725284,0.17771389852682484,0.24135153988308933,0.39554542027504935,0.2744341282019416,0.24517272332851858,0.21833662837668477,0.22203246315132785,0.22537672804820263,0.20702421715257557,0.2117370631921015,0.16467795016063214,0.10713757869073637,0.054194622406739223,0.08622801260288993,0.0710992674861094,0.18992155435850866
0.027,1.208337860148011,0.1310671176370347,0.21977021051982426,0.2920597122099021,0.46064617217891834,0.3296290304419649,0.29771128150487247,0.2669237542859092,0.27109612708304576,0.2745184991665325,0.2523451773246085,0.2583130152722187,0.2026384838301255,0.13311087065168492,0.06798372691896948,0.10743747504024848,0.08845817784668597,0.23085406682462925
0.028,1.2496231498892991,0.15633299169351011,0.25993354220958165,0.3388363846662157,0.5166695185523658,0.37980056732564016,0.34627056589700933,0.3123870823124736,0.31692643652037766,0.3202833000902311,0.29472296099380635,0.30187075599718616,0.2387555659366083,0.15831295041928894,0.08161445389825339,0.1281653179859915,0.10541038886673515,0.2690206267035638
0.029,1.2906805539466422,0.18084892414967113,0.29809498744098073,0.38194029538122864,0.565196489692276,0.4254029213838676,0.3910384461192533,0.3547806825804243,0.35960006604065686,0.36279478558562295,0.3342733577939563,0.3425087807323872,0.27301786974489195,0.18268711535048798,0.09503947024957882,0.1483616214190404,0.1219267273393525,0.3045751583047593
0.03,1.3315119539449543,0.20457073266866144,0.3342263338267426,0.42164945016770095,0.6074806019065682,0.4668794357310728,0.432256698028323,0.39422846940226763,0.39925829330869367,0.40222825176550625,0.3711497687025559,0.38037271327211153,0.3054611324365971,0.20620948929018312,0.10822833610463711,0.16799997420465185,0.1379941022379907,0.33769080984520333
0.031,1.3721192108508693,0.22748033290200464,0.3683520101316424,0.4582411995511755,0.6445244981047987,0.5046451343757112,0.4701879929077579,0.4308915744926656,0.43607572215760904,0.438782795184426,0.40552209680984574,0.41563077470796994,0.3361489398051425,0.22887768720179535,0.121162292915594,0.1870697031136539,0.1536099605939797,0.3685451924046304
0.032,1.4125041652554748,0.24957709326768063,0.40052990918291886,0.4919814093271594,0.6771373752126262,0.5390794665670571,0.5050966044362171,0.46494795940838085,0.4702408794039641,0.4726644695579306,0.4375641055647892,0.4484588553424562,0.3651603624505325,0.2507032406254286,0.13383069122290592,0.20557064136934977,0.16877860637097852,0.3973119531529312
0.033,1.4526686376524116,0.2708719445672536,0.430838327576072,0.5231190278749834,0.7059780232479254,0.570524595701595,0.5372375595141319,0.4965798825646883,0.5019443966109509,0.5040763489118683,0.4674460419408957,0.4790316208416282,0.3925820415461816,0.27170652327780054,0.1462285281567538,0.22350958868441384,0.18350874373913328,0.4241562091204801
0.034,1.492614428711434,0.2913833489384906,0.4593671004671628,0.5518838192168039,0.7315872407819274,0.5992865677439547,0.5668509342833522,0.5259663764243819,0.5313720081265785,0.5332129005993786,0.49533051722336774,0.5075173921731138,0.4185031607815771,0.2919133396062674,0.15835473648546394,0.24089790041409753,0.19781182793251062,0.44923231103501937
0.035,1.5323433195475118,0.31113452922309603,0.4862116141007996,0.5784859202650836,0.7544124288889773,0.625637860809338,0.5941592518125521,0.553278909043639,0.5587005951783126,0.5602570329202027,0.5213703939996817,0.5340753769590104,0.44301229427060507,0.3113526251350237,0.17021098578463723,0.2577498355378187,0.2117009527740491,0.4726829965514054
0.036,1.5718570719855596,0.3301515585754661,0.5114687967279998,0.6031164165309499,0.774826409205818,0.6498204862859756,0.6193667201516212,0.578679061004534,0.5840961466202694,0.5853787889433155,0.5457078989897025,0.5588543574730596,0.46619547711690046,0.3300548953570579,0.18180083564345273,0.27408141906937433,0.22519009805178525,0.4946393557965656
0.037,1.6111574288208823,0.34846204167941985,0.5352344729784602,0.6259484534904217,0.7931419505367656,0.6720491932780435,0.6426595337378376,0.6023174686084742,0.6077129150356486,0.6087350391856934,0.568474474050249,0.5819922711975355,0.4881350741794661,0.3480512023633995,0.19312913323587233,0.2899096564348561,0.23829362039784496,0.5152212555657137
0.038,1.6502461140754041,0.3660942058967016,0.5576016594747326,0.6471385960814076,0.809623082265765,0.692514544720535,0.6642067607706609,0.6243335523191188,0.6296933067227817,0.6304697652821778,0.5897910600467329,0.6036163275039361,0.5089091695833232,0.36537243826958554,0.20420158219931284,0.30525199081538446,0.2510259103447461,0.5345380060149627
0.039,1.6891248332497764,0.3830762784160795,0.5786595103245252,0.6668282673356689,0.8244939815338598,0.7113857555881251,0.684161524918494,0.6448557211625803,0.6501682100466482,0.6507146778537615,0.6097686224717929,0.6238434350207194,0.5285912944812717,0.38204887691141953,0.21502443275137506,0.32012592957449293,0.26340116362674815,0.5526891386268865
0.04,1.7277952735714288,0.3994360641053297,0.5984927104015678,0.6851451692731505,0.8379460124526471,0.7288132514609602,0.7026623051455281,0.6640018542717778,0.669257573122328,0.6695900075212247,0.6285087995943082,0.6427807973563703,0.5472503723739193,0.3981098799656986,0.22560425837150633,0.3345487891826585,0.27543323148683774,0.5697652168616061
0.041,1.7662591042386468,0.4152006648453157,0.6171811756109424,0.7022046330582197,0.8501433456234767,0.7449309424296024,0.7198342492834044,0.6818799321838169,0.6870711104457172,0.6872053689419775,0.6461045994288677,0.6605265878480201,0.5649508018378202,0.41358371682060413,0.23594779478837213,0.34853752365921364,0.2871355258436037,0.5858486335922746
0.042,1.8045179766607462,0.43039629889283093,0.6347999616817948,0.7181108719843383,0.8612274777885491,0.7598582262308098,0.7357904416606684,0.6985887368694019,0.7037090625208455,0.7036606366430924,0.662641100721937,0.6771706479529386,0.5817526233172756,0.4284974631487837,0.24606182413165767,0.3621086121219018,0.29852096262615413,0.6010143697106357
0.043,1.84257352469442,0.4450481910386449,0.6514193124772281,0.7329581267675622,0.8713208924780494,0.7737017433029754,0.7506330928013633,0.714218569671464,0.7192629613689312,0.7190467962776503,0.6781961315399749,0.6927951756971472,0.5977117344860867,0.4428769537787094,0.255953092023127,0.37527798826745473,0.30960193164680805,0.6153307008238389
0.044,1.8804273648763254,0.45918051280841765,0.6671047994082135,0.7468317019668196,0.8805300445700258,0.786556909598071,0.7644546362289729,0.7288519560231301,0.7338163735299149,0.7334467507857936,0.6928409107264533,0.7074753845924026,0.612880130647358,0.45674677277358877,0.2656282488123215,0.3880609996061791,0.3203902848532374,0.628859846632227
0.045,1.9180810966519826,0.47281635789147936,0.6819175180197132,0.7598088976265005,0.8889478088070875,0.7985092530728475,0.7773387277149677,0.7425643186441613,0.7474456043026243,0.7469360709983892,0.7066406448745689,0.7212801223922738,0.6273061546951609,0.4701302686957556,0.2750938085796645,0.40047238776191674,0.33089733720552095,0.6416585621818723
0.046,1.9555363026010548,0.4859777421723973,0.6959143180430036,0.7719598430178741,0.8966555003344532,0.8096355782998066,0.7893611483800875,0.7554246092375058,0.7602203547898968,0.7595836865294946,0.7196550780720605,0.7342724447490394,0.641034746606119,0.483049586574559,0.2843561212491429,0.41252628360409893,0.3411338761021673,0.6537786728598256
0.047,1.9927945486590712,0.49868562071903966,0.7091480504534806,0.7833482406158991,0.9037245512768286,0.8200049814422804,0.800590616465253,0.7674958940605972,0.7722043283004709,0.7714525166846656,0.7319389944964263,0.7465101423969218,0.6541076861148141,0.4955257105854908,0.2934213543864894,0.42423621272091105,0.3511101764604504,0.6652675564627941
0.048,2.0298573843356644,0.5109599162126512,0.7216678202184924,0.7940320287974113,0.910217909146811,0.8296797354068104,0.8110895143375485,0.77883589213801,0.78345578577983,0.7826000434216832,0.7435426756072308,0.7580462226649596,0.6665638247210725,0.5075785132099131,0.3022954821512509,0.43561510798783143,0.36083601939339227,0.6761685763778634
0.049,2.0667263429293814,0.5228195548402459,0.7335192370776791,0.804063971567393,0.9161912089601502,0.8387160625796138,0.8209145380220226,0.7894974669788664,0.7940280518362939,0.7930788296964734,0.7545123146089789,0.7689293473990311,0.6784393048596672,0.5192268078976764,0.3109842795216453,0.44667532688175793,0.37032071302231073,0.6865214701583855
0.05,2.103402941739131,0.534282506780335,0.7447446592979119,0.8134921831500775,0.9216937602272521,0.8471648103040383,0.8301172766579306,0.7995290739055547,0.8039699740191196,0.8029369871746153,0.7648903913116426,0.7792042300650442,0.6897677651902503,0.530488403149755,0.3194933203886273,0.45742867183926794,0.3795731143912252,0.6963626977450128
0.051,2.139888682272333,0.5453658292203014,0.755383427188633,0.8223605946681507,0.9267693816969111,0.8550720422209308,0.8387447290265617,0.8089751657838593,0.8133263385728262,0.8122185975269294,0.7747160106717189,0.7889119951234734,0.7005805317117586,0.5413801565790642,0.32782797846831313,0.46788641242901796,0.38860165175677,0.7057257533893584
