Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06323046580259223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1260838115308151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18856340099108027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2506725581027668,1.887379141862766e-15,2.55351295663786e-15,2.7755575615628914e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.887379141862766e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.0638203234849015e-15
0.005,0.3124145674876847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.37379267504911595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4348100885406464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.49546997812499993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5557754769230768,1.1102230246251565e-16,1.7763568394002505e-15,2.220446049250313e-15,1.7763568394002505e-15,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,8.440574712678138e-16
0.01,0.615729681553398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.675335652662149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7345964154440154,2.220446049250313e-15,4.3298697960381105e-15,4.884981308350689e-15,4.773959005888173e-15,2.55351295663786e-15,2.220446049250313e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.887379141862766e-15,1.5543122344752192e-15,1.4432899320127035e-15,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,2.990138979967562e-15
0.013,0.7935149601539941,6.439293542825908e-15,1.176836406102666e-14,1.3988810110276972e-14,1.2323475573339238e-14,7.105427357601002e-15,6.217248937900877e-15,6.661338147750939e-15,7.105427357601002e-15,6.994405055138486e-15,5.88418203051333e-15,5.773159728050814e-15,4.218847493575595e-15,3.1086244689504383e-15,1.887379141862766e-15,2.1094237467877974e-15,1.1102230246251565e-15,8.299913705184727e-15
0.014,0.8520942426103646,2.220446049250313e-15,4.3298697960381105e-15,4.884981308350689e-15,4.773959005888173e-15,2.55351295663786e-15,2.220446049250313e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.887379141862766e-15,1.5543122344752192e-15,1.4432899320127035e-15,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,2.990138979967562e-15
0.015,0.910337184688995,4.440892098500626e-15,8.881784197001252e-15,9.992007221626409e-15,9.43689570931383e-15,4.9960036108132044e-15,4.3298697960381105e-15,4.773959005888173e-15,4.773959005888173e-15,4.884981308350689e-15,4.107825191113079e-15,3.774758283725532e-15,2.886579864025407e-15,2.1094237467877974e-15,9.992007221626409e-16,1.2212453270876722e-15,6.661338147750939e-16,5.9557698768436825e-15
0.016,0.9682466748091603,4.118927421359331e-14,7.960299086562372e-14,9.725553695716371e-14,9.015010959956271e-14,4.884981308350689e-14,4.3298697960381105e-14,4.340972026284362e-14,4.5852210917018965e-14,4.6074255521943996e-14,3.8413716652030416e-14,3.597122599785507e-14,2.653433028854124e-14,2.0761170560490427e-14,1.2323475573339238e-14,1.2656542480726785e-14,7.993605777301127e-15,5.638748232669604e-14
0.017,1.0258255684110371,0.027381100942156844,0.0516917555850247,0.06353682799442262,0.05899789638976327,0.03214132222528998,0.028317039267048538,0.028568812535139543,0.030258798853890823,0.030243983097596794,0.025175775102302733,0.023556643482505524,0.017638219708186353,0.013615414932675596,0.008235503371144204,0.008460542071639376,0.005461654342157507,0.03695984783990501
0.018,1.0830766884250473,0.08647353635200294,0.15603638490403182,0.1865297796322407,0.17538442703575896,0.10058573239479862,0.08981244047219838,0.09030351822786842,0.09526309592330107,0.09508927666206124,0.07974898383272833,0.07490065940146362,0.05649299501390037,0.04372086918150209,0.026241952088879583,0.026940731043208488,0.017427775551975833,0.11315119220771121
0.019,1.140002825733207,0.1426462973645718,0.24703162506284992,0.2886611514701658,0.27414432188422055,0.1645583376088774,0.1486471420389025,0.14905091502590795,0.1566787371104823,0.1562345406849669,0.13197032106618423,0.1243738807573409,0.09448312048653418,0.07333227554158805,0.04375894975843053,0.04489926847723347,0.02911156726750186,0.18172279518676407
0.02,1.1966067396226414,0.19565106364524343,0.32640605418581825,0.37429424681646006,0.358360455662745,0.22400272473800742,0.20439189665886281,0.20449624837234393,0.21428026577912562,0.21351029954320677,0.18158448232813518,0.17167218171639798,0.13133595562918787,0.10225206421588917,0.0607571695445277,0.06231177997357551,0.04049946711985475,0.24352879660305585
0.021,1.2528911582314204,0.24540032786485833,0.39574663999398985,0.4467173195554509,0.4305347521750864,0.27900905138644094,0.25682636003283643,0.2565047288916146,0.2680127315376767,0.2668991431458243,0.2284678480601533,0.21662230544765104,0.16687145251775326,0.13034499973213887,0.07722411342928381,0.07916941807611877,0.051585523523058896,0.29932628255982263
0.022,1.3088587789868666,0.29191743431419004,0.4564576755266909,0.5084450763807304,0.49269524307903634,0.32976264996452986,0.3058832331108612,0.30507081941121494,0.3179402428589051,0.31648937385159437,0.2725942393892634,0.25915045314015117,0.2009820119969301,0.15752484517859544,0.09315926609247271,0.09547443805207789,0.06236945623821444,0.3497858490511518
0.023,1.3645122690364826,0.33529874714593144,0.5097560454041192,0.5614260592403542,0.5464882279839436,0.376505473359367,0.3516022177268996,0.3502773195087484,0.3642053539556357,0.3624383263915819,0.31400637884211713,0.2992553007196773,0.23361487112655,0.18374280605102578,0.10857040792924477,0.11123678756026456,0.07285507715801443,0.39550058779273073
0.024,1.4198542656716417,0.3756859259564965,0.5566837611427469,0.6071881716797654,0.5932541482915052,0.41950833754147243,0.39409405340225556,0.39226394715293555,0.4069984825687514,0.40494471302673185,0.3527933158716626,0.3369861350874983,0.26475752271379094,0.2089779763359808,0.1234708602379948,0.12647153219875795,0.0830490417850327,0.4369941680262656
0.025,1.474887376744186,0.41324618670848756,0.5981273977751043,0.6469425674433987,0.6340887226486943,0.45905176371117484,0.4335136010153029,0.4312041636457846,0.44653579131993415,0.4442286264052403,0.3890733009956133,0.3724259053335618,0.2944261295690703,0.2332297213930573,0.13787746433657755,0.14119695306355562,0.09295989001387228,0.47472830990789167
0.026,1.5296141810760666,0.4481586246357905,0.6348390783144038,0.6816589424415425,0.6698916707723308,0.495413336933187,0.47004039435370326,0.4672886583631979,0.4830437659089174,0.4805176235933779,0.4229812313026151,0.4056785290495585,0.3226565977437118,0.25651176954189947,0.15180912514619815,0.15543316931510365,0.102597327593277,0.5091097274341716
0.027,1.5840372288621645,0.4806050010648101,0.6674564356006814,0.7121208458181241,0.701405343628035,0.5288598039687935,0.503865023000645,0.5007139547064801,0.5167488536509058,0.5140374150163798,0.4546597203774275,0.43685965209605027,0.34949786030746643,0.2788477241909919,0.16528577979619563,0.169201160541809,0.11197169979176325,0.540496530527232
0.028,1.6381590420664207,0.5107637398295468,0.6965204745537479,0.7389668178382259,0.7292452979795372,0.5596425015891191,0.5351798943171717,0.5316748158989221,0.5478707957807869,0.5450059179306145,0.48425293073177744,0.4660900928676379,0.3750069212343742,0.3002677109924189,0.1783276806421754,0.18252208724316588,0.121093613856192,0.5692040596343785
