Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07544139421734795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15043283976143143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.224978350049554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.29908189090909093,5.551115123125783e-16,2.220446049250313e-15,2.9976021664879227e-15,2.220446049250313e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.059154520115064e-15
0.005,0.37274738128078816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.44597869390962674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5187796560235064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.59115405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6631056140214215,5.551115123125783e-16,2.220446049250313e-15,2.9976021664879227e-15,2.220446049250313e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.059154520115064e-15
0.01,0.7346380427184466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8057549878025169,4.440892098500626e-16,2.1094237467877974e-15,2.55351295663786e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,7.342875598765839e-16
0.012,0.8764600586872586,4.9960036108132044e-15,1.4099832412739488e-14,2.0539125955565396e-14,1.3877787807814457e-14,5.329070518200751e-15,4.107825191113079e-15,4.440892098500626e-15,4.6629367034256575e-15,4.551914400963142e-15,3.6637359812630166e-15,3.552713678800501e-15,2.9976021664879227e-15,2.220446049250313e-15,1.2212453270876722e-15,1.1102230246251565e-15,7.771561172376096e-16,7.895745093229338e-15
0.013,0.9467568230991338,2.0095036745715333e-14,5.861977570020827e-14,8.548717289613705e-14,5.595524044110789e-14,2.098321516541546e-14,1.5987211554602254e-14,1.7541523789077473e-14,1.8318679906315083e-14,1.7763568394002505e-14,1.454392162258955e-14,1.3100631690576847e-14,1.176836406102666e-14,8.548717289613705e-15,5.662137425588298e-15,4.9960036108132044e-15,3.885780586188048e-15,3.206327654246695e-14
0.014,1.016648807677543,0.009323944801889916,0.028116130193178823,0.042208891171298446,0.02689138090788601,0.00989886524919259,0.007321292220310194,0.008179931101078841,0.008621913076988452,0.008360833422123015,0.006971517183552933,0.006210088311677242,0.0054831862649521446,0.003949855630196564,0.002711598730472886,0.0024289517562688934,0.0018261439091220577,0.015375911747814525
0.015,1.0861394985645931,0.048645862584797084,0.13796912806534667,0.1957875199442367,0.13300495238201726,0.052065985461307696,0.0389259798121917,0.042812457544777915,0.04484435042008761,0.043380339377900645,0.03646577453213673,0.03266036409215778,0.028900678879100306,0.020835968347412193,0.01414624447205104,0.012629631178766254,0.009481311400355796,0.07615062157886648
