Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07724564745762713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1540305852882704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2303589228939544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.30623472094861665,1.6653345369377348e-15,2.7755575615628914e-15,3.552713678800501e-15,3.6637359812630166e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.9984014443252818e-15,2.220446049250313e-15,1.9984014443252818e-15,1.887379141862766e-15,1.5543122344752192e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,5.551115123125783e-16,2.345754219365673e-15
0.005,0.38166199211822666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.45664470176817296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5311867686581783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.605292065625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6789644202531645,1.7763568394002505e-15,3.219646771412954e-15,5.88418203051333e-15,6.106226635438361e-15,2.6645352591003757e-15,1.9984014443252818e-15,2.1094237467877974e-15,2.220446049250313e-15,2.6645352591003757e-15,2.4424906541753444e-15,2.220446049250313e-15,1.7763568394002505e-15,9.992007221626409e-16,5.551115123125783e-16,4.440892098500626e-16,7.771561172376096e-16,3.1502844588837263e-15
0.01,0.7522076155339806,2.220446049250313e-16,4.440892098500626e-16,2.55351295663786e-15,2.4424906541753444e-15,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,8.328451813905348e-16
0.011,0.8250253905130688,2.220446049250313e-16,5.551115123125783e-16,2.55351295663786e-15,2.4424906541753444e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,8.723463801817927e-16
0.012,0.897421440926641,5.440092820663267e-15,1.1213252548714081e-14,2.275957200481571e-14,2.0095036745715333e-14,8.104628079763643e-15,5.551115123125783e-15,5.995204332975845e-15,7.105427357601002e-15,8.548717289613705e-15,7.105427357601002e-15,6.994405055138486e-15,5.440092820663267e-15,3.552713678800501e-15,1.9984014443252818e-15,1.887379141862766e-15,3.885780586188048e-15,1.0555122901198075e-14
0.013,0.9693994198267566,3.552713678800501e-14,7.316369732279782e-14,1.446620601086579e-13,1.3311574065255627e-13,5.084821452783217e-14,3.3639757646142243e-14,3.7636560534792807e-14,4.418687638008123e-14,5.284661597215745e-14,4.4853010194856324e-14,4.18554080283684e-14,3.341771304121721e-14,2.220446049250313e-14,1.432187701766452e-14,1.2989609388114332e-14,2.5091040356528538e-14,6.769030202578976e-14
0.014,1.0409629381957775,0.02389779979395934,0.049041567541922126,0.09503198084258235,0.08828832205558013,0.034575846873162286,0.022910825100049714,0.02550711462879718,0.02998784984578906,0.03565425662165145,0.030640025896675693,0.028439034411639308,0.02267963139665452,0.014958050377545162,0.009667636477232788,0.00886680614742652,0.017065305006675913,0.04520339732193856
0.015,1.112115565550239,0.06651934405738114,0.13137035071947334,0.23511398578953913,0.2211083989875784,0.09346629551154284,0.06373809851868861,0.07058287144632924,0.08224323572830683,0.0967460156522435,0.08347760107647562,0.0780788324672792,0.06279769871285246,0.04169716228725906,0.02678246569823528,0.024441754761801437,0.04653145326810448,0.11807753129335377
0.016,1.182860830534351,0.10971223059296709,0.2087686276293509,0.34898016108830154,0.3313409936460565,0.1501491694891901,0.1051092457661581,0.11581728985731643,0.13384001706789184,0.15590137084108568,0.13509327012204653,0.12723231821198655,0.10315521724098964,0.06897391255879437,0.04409835446492216,0.04007462173003129,0.07549735333781848,0.18421431450025352
0.017,1.2532022215033303,0.15282434575248915,0.28060530966469976,0.44238071398211676,0.4232636254608373,0.20429037122322868,0.1464479615847748,0.1606084682546901,0.1841911218958172,0.21262036097496506,0.18505765507653427,0.17536817803995386,0.14326341798331488,0.09648028202437453,0.061484329140639504,0.05567729537697941,0.10384001351605132,0.24440818663567934
0.018,1.3231431870967743,0.1953014028591311,0.3465975101407287,0.5196160773855212,0.5003082527811329,0.25566308534329074,0.18726011240357787,0.20445208505363766,0.23282665055309648,0.2665357893806951,0.23303572329473854,0.22204981040939198,0.18270511178248694,0.12394164093251547,0.07882105326347155,0.07116872960150644,0.13145256859173704,0.29928370835860885
0.019,1.3926871368022706,0.23670564729348886,0.40674970218879236,0.5839586167395654,0.5652154501108386,0.30413785467099563,0.22714734276853288,0.24695597528666702,0.2794032947581271,0.31741535023408274,0.27879187991913845,0.26694643151986075,0.2211478159568474,0.1511277105202622,0.09600764457153932,0.086480322486714,0.15825246132404003,0.34936298526465764
0.02,1.461837441509434,0.2767140911553331,0.4612716209705875,0.6379295598715113,0.6201742906947709,0.34966898429366655,0.26580720651244405,0.2878370605913668,0.3236959718023803,0.3651466511161935,0.32218275796993723,0.3098293481558143,0.25834335107842654,0.177854966205667,0.1129634225317222,0.1015574649744021,0.18418272223831333,0.3951015913463334
0.021,1.5305974340545627,0.3151056181438825,0.5105017746484279,0.683490769984259,0.6669378894808347,0.39227845976236553,0.3030246469007776,0.326908523812957,0.3655803454416545,0.40971463566555955,0.36314336065226505,0.3505596107975436,0.2941194916159273,0.2039837701896604,0.12962679342818062,0.11635891392785969,0.20920961902048274,0.43690696440484184
0.022,1.5989704097560975,0.3517436891882407,0.5548470579082627,0.7221820908464125,0.7069155837063756,0.43203967455449843,0.3386592619353671,0.36406311806494185,0.4050124812849508,0.45117780765311477,0.4016710378552677,0.3890721215777083,0.32836810443468767,0.22941289757849193,0.1459528207770152,0.13085514882162919,0.23331882747061128,0.47514776594822977
