Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06584698295114656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1313012403578529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19636627522299308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2610455490118577,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,2.4424906541753444e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.293902388935082e-16
0.005,0.32534248226600987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3892604552062869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.45280280832517145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.51597284296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5787738219084713,1.1102230246251565e-16,1.1102230246251565e-16,1.5543122344752192e-15,2.1094237467877974e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,4.3225924171710006e-16
0.01,0.6412089699029127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.703281474249758,0.0,1.1102230246251565e-16,3.3306690738754696e-16,2.1094237467877974e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.1314579775602055e-16
0.012,0.7649944853281854,1.2212453270876722e-15,1.887379141862766e-15,4.884981308350689e-15,1.021405182655144e-14,2.9976021664879227e-15,1.887379141862766e-15,1.887379141862766e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.3322676295501878e-15,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.7585812789398996e-15
0.013,0.8263511171318576,2.9976021664879227e-15,4.440892098500626e-15,1.1324274851176597e-14,2.3203661214665772e-14,6.5503158452884236e-15,3.774758283725532e-15,4.107825191113079e-15,4.9960036108132044e-15,4.6629367034256575e-15,4.440892098500626e-15,3.552713678800501e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.1102230246251565e-15,7.771561172376096e-16,4.440892098500626e-16,6.154695824168355e-15
0.014,0.8873544477927063,8.881784197001252e-16,1.7763568394002505e-15,4.773959005888173e-15,1.021405182655144e-14,2.886579864025407e-15,1.7763568394002505e-15,1.6653345369377348e-15,2.220446049250313e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.1102230246251565e-15,7.771561172376096e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.6268831148789738e-15
0.015,0.9480075200956937,2.55351295663786e-15,4.218847493575595e-15,1.1546319456101628e-14,2.708944180085382e-14,7.216449660063518e-15,3.774758283725532e-15,4.218847493575595e-15,5.10702591327572e-15,4.884981308350689e-15,4.6629367034256575e-15,3.774758283725532e-15,2.55351295663786e-15,1.7763568394002505e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,6.572325570587851e-15
0.016,1.0083133419847328,0.0018385446719864085,0.002873040066285859,0.008510959035280319,0.020508465029465794,0.005442669101103359,0.0028148527012680225,0.0028763048065341135,0.003725931971864882,0.003687460346122662,0.0034487111849049734,0.0027447466237287,0.0018455202929500425,0.0012330261057241776,0.0008154195369934891,0.0007136563403601359,0.0005784096349077394,0.004866057358605817
0.017,1.068274887059943,0.015994989758917555,0.024857166929218466,0.07017478882783201,0.15518618536033357,0.04466767588195286,0.023956850769526472,0.024730895402081732,0.031672394983335295,0.031073777658524704,0.0288510592453044,0.023180018929495283,0.015754929717278654,0.010606219848379728,0.007062811806577751,0.006123070915738826,0.00493788723417754,0.03942883354210699
0.018,1.1278950950664137,0.03163756210380708,0.04883310681828146,0.1314200327395847,0.26896878058887397,0.08361595306060221,0.04643094048574703,0.04835216857005975,0.06125284144436283,0.05962433938922307,0.0550109960650329,0.04459824425100645,0.030634049115210282,0.020775376359119746,0.013920061893843316,0.011964520477399487,0.009603152616686095,0.0730507000699276
0.019,1.1871768723746452,0.04870004522208504,0.07457504118415126,0.19143659681333214,0.36551186777426115,0.12221813440882112,0.07014103993320131,0.0735825584525015,0.09225187015527214,0.08917062106951978,0.08183180424275305,0.06691329493351061,0.04643709351323988,0.03171859104138097,0.02136896840381608,0.018224984385351473,0.014563331843314264,0.10588679621487827
0.02,1.2461230924528302,0.06707286481731767,0.10180140548678562,0.24950517153533835,0.44773307418703345,0.16036673421934478,0.09494524241035351,0.1002099277846088,0.12439862806207269,0.11950064727264342,0.10918029491569503,0.09000419956046612,0.06308865384233642,0.04339164559706332,0.029376208762493028,0.02488048944777721,0.019799804517502628,0.1380034401352071
0.021,1.3047365963311384,0.0866118379542371,0.13019794399098972,0.30504776543228906,0.5179897195333625,0.1979302063706253,0.12066608785988042,0.1279832673460003,0.15738794694265956,0.1503765560444572,0.13689911761846207,0.11372535017982066,0.08049020035305643,0.05573213202220273,0.037896535400061104,0.03189862750508188,0.025288226542995673,0.16940830559615996
