Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.062497927716849457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12462310437375747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18637885480673935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2477684644268775,1.3322676295501878e-15,2.4424906541753444e-15,2.7755575615628914e-15,2.886579864025407e-15,2.220446049250313e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.8784835540596994e-15
0.005,0.3087951798029557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3694622092337918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.42977272331047994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.48972985546875003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5493367025316456,4.440892098500626e-16,1.7763568394002505e-15,1.887379141862766e-15,1.887379141862766e-15,5.551115123125783e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,8.084460617009293e-16
0.01,0.6085963252427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6675117487899322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7260859633204633,1.6653345369377348e-15,4.218847493575595e-15,5.10702591327572e-15,4.884981308350689e-15,2.6645352591003757e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.7620715096433012e-15
0.013,0.7843219244465833,4.6629367034256575e-15,1.1324274851176597e-14,1.4876988529977098e-14,1.4210854715202004e-14,8.104628079763643e-15,6.439293542825908e-15,6.217248937900877e-15,6.328271240363392e-15,6.439293542825908e-15,5.551115123125783e-15,5.329070518200751e-15,4.3298697960381105e-15,2.9976021664879227e-15,1.7763568394002505e-15,1.7763568394002505e-15,9.992007221626409e-16,8.057125999961735e-15
0.014,0.8422225537428023,1.6653345369377348e-15,4.218847493575595e-15,5.10702591327572e-15,4.884981308350689e-15,2.6645352591003757e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.7620715096433012e-15
0.015,0.8997907392344496,2.3314683517128287e-15,6.5503158452884236e-15,9.325873406851315e-15,8.992806499463768e-15,4.218847493575595e-15,2.9976021664879227e-15,2.886579864025407e-15,2.886579864025407e-15,2.9976021664879227e-15,2.6645352591003757e-15,2.220446049250313e-15,2.1094237467877974e-15,1.6653345369377348e-15,6.661338147750939e-16,5.551115123125783e-16,4.440892098500626e-16,4.418657929802609e-15
0.016,0.9570293358778627,2.120525977034049e-14,5.340172748447003e-14,7.960299086562372e-14,7.005507285384738e-14,3.4083846855992306e-14,2.7533531010703882e-14,2.55351295663786e-14,2.6201263381153694e-14,2.7644553313166398e-14,2.4313884239290928e-14,2.2093438190040615e-14,1.8207657603852567e-14,1.27675647831893e-14,8.104628079763643e-15,7.66053886991358e-15,5.329070518200751e-15,3.7501488429617355e-14
0.017,1.0139411660323503,0.00949958083619018,0.024083564051672557,0.03560875519782947,0.031592800984113434,0.015438973579005366,0.012521714775918347,0.011639343180622763,0.01187243678561456,0.012441690681514794,0.010968122696344507,0.009854344439045759,0.008189207941076249,0.005845798150268533,0.0037243153122327177,0.0033982261293635796,0.0024462271899212684,0.01690204724364174
0.018,1.0705290199240987,0.04827516063645643,0.11664260354612432,0.16455246414347446,0.14865766722171125,0.0772317593981483,0.06381440981271302,0.05921013370400896,0.06009175855542759,0.06271201486066502,0.05552819232014716,0.050281258155898345,0.041926199167587774,0.030041790347769326,0.01893730761353618,0.01720977233501364,0.01237835938578613,0.08229681753068198
0.019,1.126795656102176,0.08683059159875528,0.20041431980566649,0.2717770500852251,0.249125163820899,0.13676055386759767,0.11490503163229382,0.10651471329300777,0.10764194878744748,0.11193142283823931,0.09952825382054109,0.09076272115082384,0.07593970970173736,0.05463636614498435,0.03414628341918258,0.03092506772221837,0.022233048983334447,0.142496025637109
0.02,1.1827438018867924,0.12477731935996506,0.2758030288453346,0.36170024390011035,0.3355158752352324,0.19353149822367266,0.16505422982696383,0.15296497102767814,0.15403400028761094,0.15967026785336702,0.14255357043204875,0.1308299107113493,0.10984222099408314,0.07937116503464436,0.04926781920814316,0.04449078886127367,0.03198096512763615,0.1979252168386948
0.021,1.2383761538099718,0.16181629824574484,0.3434053046247858,0.4376933944197263,0.4100065057619259,0.24723581029754838,0.21369637713629952,0.19810512524334833,0.1988976964638759,0.20561047962814394,0.18428495907288345,0.17010429408186056,0.14331624320426262,0.10402881110497186,0.06423381223041769,0.057864223229903367,0.04159829794360759,0.24896843561111465
0.022,1.2936953780487805,0.19772895582329808,0.4039065036359819,0.5023641460706625,0.47444197534810484,0.29771472492127526,0.2604256741581583,0.24160307472896891,0.24197148782918343,0.2495354022662517,0.22449157711800594,0.20829517683043097,0.17611238931612738,0.12843271925700428,0.07899069072814224,0.07101259729937881,0.051066579813349944,0.29597958178488865
0.023,1.348704110851263,0.23236535534780978,0.45801136876041837,0.5577525535214942,0.5303714649191112,0.34492634097617103,0.3049744839973261,0.2832348814532236,0.2830874226378832,0.2913152228528225,0.2630198742374339,0.2451917229620455,0.20804339153318474,0.15244429791510583,0.0934978667647135,0.08391195348092406,0.0603722071604752,0.33928820978556196
0.024,1.4034049589552238,0.26563171808023633,0.5064016636767905,0.6054707205572983,0.5790900154184999,0.38891548639003204,0.3471884244199819,0.3228663036141779,0.322154213828592,0.3308907598058135,0.29978068145452597,0.2806518355437517,0.2389758399732691,0.1759585940967361,0.10772586453868638,0.09654582964209257,0.06950579695727288,0.3792020378042165
0.025,1.4578005,0.297478651592337,0.5497129198940657,0.6468041968091864,0.6216784311931054,0.4297878784759277,0.387001772315655,0.36043424952039194,0.35914069355236733,0.3682577020075952,0.3347361978227068,0.31459001431202527,0.26882116552587376,0.19889929239547743,0.12165440953027895,0.10890392312257857,0.0784614899608932,0.41600783625929827
0.026,1.5118932829313543,0.32789079015164924,0.5885237345600007,0.6827867469165653,0.6590388434736556,0.46768914606842615,0.4244153482066193,0.3959298842701847,0.39406098488235597,0.40345254411411435,0.36788804125282915,0.3469656535920297,0.2975269145566044,0.22121371711463322,0.13527064798763566,0.12098085176409157,0.087236277438835,0.4499717345522692
0.027,1.5656858283996298,0.35687810603928194,0.6233528259573764,0.7142561825310016,0.6919252546985443,0.5027885869991211,0.4594778629836318,0.4293842026738377,0.426961978148532,0.4365407629930981,0.39926695433045434,0.3777726027127486,0.32506891042634045,0.24286822753363146,0.1485675813547982,0.13277506897222702,0.09582939523181622,0.4813394991360032
0.028,1.6191806291512916,0.3844688742863751,0.6546605872506182,0.7418965024253202,0.7209692261916909,0.5352671055978787,0.49227090286935493,0.4608562627957171,0.4579132040216576,0.4676073092453177,0.42892433576605216,0.40703032797496397,0.3514445556177148,0.26384419425363814,0.16154274336729912,0.14428795113072823,0.10424180407638506,0.5103370183112084
0.029,1.6723801504139835,0.41070412715303795,0.682853029455018,0.7662700008725055,0.7467012097188037,0.5653085982622347,0.5228972722059045,0.49042391861576473,0.4869989162829309,0.4967492228336523,0.4569255136175928,0.4347767074279989,0.376667308731539,0.28413460948465497,0.1741971135191407,0.15552305213372852,0.11247575890916783,0.5371710483456638
0.03,1.7252868302752296,0.4356333756216695,0.7082868047550421,0.7878419441392015,0.7695681265211635,0.5930940470133639,0.5514722094674702,0.5181767233275503,0.514312072004532,0.5240700645825038,0.4833445500318274,0.46106232224197186,0.4007622489255084,0.3037413051473883,0.18653424309949285,0.16648550763738545,0.12053446079087982,0.5620301875367988
