Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06808228085742772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13575850437375747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.20303229246778987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.269907224110672,4.440892098500626e-16,1.7763568394002505e-15,2.55351295663786e-15,2.220446049250313e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,9.223573173000357e-16
0.005,0.33638683596059116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4024746229862476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.468174039079334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.53348849765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5984213722492696,2.220446049250313e-16,5.551115123125783e-16,2.1094237467877974e-15,2.1094237467877974e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,6.428694946141474e-16
0.01,0.6629759970873786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7271556676669894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7909636413127413,2.55351295663786e-15,5.440092820663267e-15,1.021405182655144e-14,1.0103029524088925e-14,3.885780586188048e-15,2.6645352591003757e-15,2.6645352591003757e-15,2.55351295663786e-15,2.4424906541753444e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.3322676295501878e-15,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,4.3259517960730635e-15
0.013,0.8544031377285851,7.216449660063518e-15,1.4876988529977098e-14,2.353672812205332e-14,2.1094237467877974e-14,8.992806499463768e-15,6.772360450213455e-15,6.994405055138486e-15,6.772360450213455e-15,6.5503158452884236e-15,5.551115123125783e-15,5.329070518200751e-15,5.10702591327572e-15,3.219646771412954e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.0442540338688348e-14
0.014,0.9174773395393474,4.551914400963142e-15,9.43689570931383e-15,1.5432100042289676e-14,1.4876988529977098e-14,5.218048215738236e-15,4.107825191113079e-15,4.3298697960381105e-15,4.551914400963142e-15,4.218847493575595e-15,3.219646771412954e-15,3.1086244689504383e-15,3.219646771412954e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,6.661338147750939e-16,6.73038252592155e-15
0.015,0.9801893928229664,2.693811840259741e-11,5.998412877517012e-11,1.0304834763275039e-10,9.37351307683798e-11,3.543410009854142e-11,2.555144984484059e-11,2.660793807507389e-11,2.666356024860761e-11,2.5922708424275243e-11,2.1856849663492994e-11,2.094580064948559e-11,1.9365065107024293e-11,1.2355116929541055e-11,9.06574815218164e-12,7.046696559598331e-12,5.750733222953386e-12,4.302625627079421e-11
0.016,1.0425424076335876,0.02828751794933193,0.06121051651433618,0.10064425746960004,0.09237735486796805,0.036696078795644516,0.026894397669536274,0.027899369733162316,0.027872876934524782,0.02701944340669249,0.022836858845764474,0.021962200509534235,0.020360380712708515,0.013038721382246377,0.009516236763948971,0.007379834404763752,0.006018361214767065,0.04357961229990978
0.017,1.1045394585156993,0.0700375504480979,0.14549237536264492,0.2260396896354696,0.20980371880111204,0.08918565114309718,0.06682287440617318,0.06896919921909495,0.06863484223210337,0.06629130784579429,0.05623287019978984,0.05433808039594623,0.05055267392286078,0.03255623671913854,0.02359620763386716,0.018246135094519556,0.014869377314480459,0.10290514013571256
0.018,1.1661835850094875,0.11173789328799633,0.22318794986836332,0.33020590962210694,0.309355876035293,0.13994853407728192,0.10699330879520375,0.10993147446709717,0.10903608655766939,0.10500226419680947,0.08939910690314834,0.08676239130995511,0.0809628057077777,0.052440578215401934,0.037782392658341046,0.029147510160280277,0.023743068773391385,0.15748677787834728
0.019,1.2274777921475875,0.1529563775950008,0.2942814446153632,0.4173862857423519,0.3941249438938822,0.188763923857435,0.14699051533147967,0.15041909592472003,0.1487783817419347,0.14293804485836115,0.12215246314117068,0.11901525865940754,0.11135027963180011,0.07254470733285245,0.052003847153356486,0.04004463475414499,0.03261360905519872,0.2078492077253551
0.02,1.288425050943396,0.19333581774888753,0.3589630454338215,0.49084465178207415,0.4666204330285708,0.23546765849200646,0.1864537552346619,0.19011978800591323,0.18761001834359192,0.17991678901557173,0.1543312923218283,0.15089880374972953,0.14150201171213794,0.09273429490051532,0.06619640709780206,0.050901452106590916,0.041456499974244054,0.2544142181938255
0.021,1.3490282988711195,0.2325955235817848,0.4175648288001548,0.5531243327617542,0.5288810038459335,0.2799495639936631,0.22508267215088262,0.22878044344006687,0.22532908707129917,0.21579238221844577,0.18579901127892262,0.18224224478948525,0.17123637180528473,0.11289078497124172,0.08030438337775725,0.06168636408186834,0.05024966384212026,0.2975328845268316
0.022,1.409290440337711,0.2705262493492091,0.470503779319713,0.6062282490954884,0.582568038741015,0.32214905529172255,0.26263790725682334,0.2662058482916002,0.26178213118078,0.25045419165079463,0.21644521339576406,0.212903912099222,0.2004039616476423,0.13291250685963685,0.09428094152395616,0.07237259439486776,0.0589739189204016,0.3375061684819325
0.023,1.4692143471468662,0.30698179553196603,0.5182374554476922,0.6517481158546183,0.6290411281625952,0.3620490563005251,0.29893783817654385,0.30225399255555796,0.2968600320493975,0.2838245502244001,0.24618493049995382,0.2427709728493963,0.22888624077095132,0.15271448674805543,0.10808774904031637,0.0829380864383572,0.06761308590368464,0.3745981420682788
