Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.042198795643070795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08414590860834992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12584358383548067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16729403964426878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.20849946812807885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2494620355402751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.2901838826738492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.330667125234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3709138542064265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.41092613621359225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.45070601387221687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.49025550613899616,9.992007221626409e-16,1.3322676295501878e-15,1.6653345369377348e-15,2.220446049250313e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.6653345369377348e-15,9.992007221626409e-16,1.2212453270876722e-15,1.2212453270876722e-15,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,1.1514286336893008e-15
0.013,0.5295766086525505,1.6653345369377348e-15,2.4424906541753444e-15,3.1086244689504383e-15,3.9968028886505635e-15,2.7755575615628914e-15,2.7755575615628914e-15,3.219646771412954e-15,3.6637359812630166e-15,2.886579864025407e-15,2.3314683517128287e-15,2.3314683517128287e-15,1.887379141862766e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.1102230246251565e-15,7.771561172376096e-16,2.3391350237914143e-15
0.014,0.5686712940690979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6075415123923444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6461891912977099,2.1094237467877974e-15,2.55351295663786e-15,3.4416913763379853e-15,4.9960036108132044e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.3306690738754696e-15,3.774758283725532e-15,3.219646771412954e-15,2.55351295663786e-15,2.3314683517128287e-15,2.220446049250313e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.3322676295501878e-15,8.881784197001252e-16,2.5744996735939887e-15
0.017,0.6846162364509991,9.992007221626409e-16,1.4432899320127035e-15,1.7763568394002505e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,1.2579401619352064e-15
0.018,0.7228245318216319,1.2212453270876722e-15,1.7763568394002505e-15,2.55351295663786e-15,3.4416913763379853e-15,1.887379141862766e-15,1.6653345369377348e-15,2.55351295663786e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.5543122344752192e-15,7.771561172376096e-16,6.661338147750939e-16,6.661338147750939e-16,3.3306690738754696e-16,1.6596250748834289e-15
0.019,0.7608159399905393,9.992007221626409e-16,1.4432899320127035e-15,1.7763568394002505e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,1.2579401619352064e-15
0.02,0.7985923024528302,4.440892098500626e-15,6.106226635438361e-15,8.215650382226158e-15,1.199040866595169e-14,7.549516567451064e-15,7.327471962526033e-15,8.215650382226158e-15,9.325873406851315e-15,8.104628079763643e-15,5.662137425588298e-15,5.995204332975845e-15,4.773959005888173e-15,3.1086244689504383e-15,2.7755575615628914e-15,2.220446049250313e-15,1.887379141862766e-15,6.061440715076479e-15
0.021,0.836155439915334,2.6645352591003757e-15,3.219646771412954e-15,4.551914400963142e-15,6.439293542825908e-15,4.107825191113079e-15,3.552713678800501e-15,4.3298697960381105e-15,4.9960036108132044e-15,4.3298697960381105e-15,3.1086244689504383e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.220446049250313e-15,1.5543122344752192e-15,1.3322676295501878e-15,9.992007221626409e-16,3.286277111937578e-15
0.022,0.8735071525891182,6.328271240363392e-15,8.881784197001252e-15,1.2878587085651816e-14,1.965094753586527e-14,1.1546319456101628e-14,1.1102230246251565e-14,1.27675647831893e-14,1.4210854715202004e-14,1.2434497875801753e-14,9.103828801926284e-15,9.2148511043888e-15,7.438494264988549e-15,5.10702591327572e-15,4.218847493575595e-15,3.6637359812630166e-15,2.7755575615628914e-15,9.389423221842092e-15
0.023,0.9106492204770815,9.992007221626409e-16,1.4432899320127035e-15,1.7763568394002505e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.1102230246251565e-15,1.2212453270876722e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,1.219146161290648e-15
0.024,0.9475834036567164,1.5654144647214707e-14,2.2870594307278225e-14,3.3306690738754696e-14,5.1181281435219717e-14,2.964295475749168e-14,2.8310687127941492e-14,3.186340080674199e-14,3.630429290524262e-14,3.1308289294429414e-14,2.2870594307278225e-14,2.298161660974074e-14,1.8207657603852567e-14,1.2323475573339238e-14,1.0103029524088925e-14,8.992806499463768e-15,7.105427357601002e-15,2.374115966231151e-14
0.025,0.9843114425581395,1.9609438517420585e-09,2.879307126057995e-09,4.236464845597254e-09,6.639899297056218e-09,3.778621193717413e-09,3.5795618691381037e-09,4.0142718038538305e-09,4.563605049412445e-09,3.978746887511875e-09,2.8803387452924767e-09,2.885558236798147e-09,2.2871297078452812e-09,1.5491795624100746e-09,1.2671652616091933e-09,1.132553828497862e-09,8.926123173935707e-10,3.005905934160566e-09
0.026,1.0208350582374768,0.019137514065700856,0.027936440361273407,0.040493311991297465,0.062115424791910456,0.03625517057761174,0.03451884465880106,0.03865898239646948,0.04378946084745372,0.038240937125800456,0.02780407079521252,0.027884341532905976,0.022212347232430263,0.015129740943624181,0.01239933963559492,0.01107334323456155,0.008716850793936914,0.02890282280426824
