Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.056443092323030915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1125495459244533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1683223635282458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22376451225296445,1.1102230246251565e-16,1.1102230246251565e-15,1.5543122344752192e-15,1.9984014443252818e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,5.257856141355105e-16
0.005,0.2788789241379311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.33366849666011794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3881360932419198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.44228454375000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4961166449853944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5496351611650486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6028428243949662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6557423351351351,1.1102230246251565e-15,1.887379141862766e-15,3.9968028886505635e-15,4.884981308350689e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,6.661338147750939e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.053238086755042e-15
0.013,0.7083363626564004,2.55351295663786e-15,4.218847493575595e-15,8.43769498715119e-15,1.1324274851176597e-14,5.440092820663267e-15,4.440892098500626e-15,4.218847493575595e-15,4.107825191113079e-15,3.9968028886505635e-15,3.4416913763379853e-15,3.219646771412954e-15,2.3314683517128287e-15,1.4432899320127035e-15,9.992007221626409e-16,5.551115123125783e-16,5.551115123125783e-16,4.5518616892524236e-15
