Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05438336700897308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10844237994035787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16217993194251734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.21559888185770754,0.0,0.0,2.220446049250313e-16,1.5543122344752192e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.9422326118055555e-16
0.005,0.26870205472906405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3214922422986248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.373972203496572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.42614466492187497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4780123213145082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5295778360194175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5808438414424008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6318129394980695,1.1102230246251565e-15,1.7763568394002505e-15,2.3314683517128287e-15,4.440892098500626e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.1102230246251565e-15,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.5949146975204454e-15
0.013,0.6824877020500482,2.220446049250313e-15,3.9968028886505635e-15,5.773159728050814e-15,9.43689570931383e-15,6.106226635438361e-15,4.6629367034256575e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.55351295663786e-15,2.220446049250313e-15,1.887379141862766e-15,1.5543122344752192e-15,9.992007221626409e-16,6.661338147750939e-16,5.551115123125783e-16,2.220446049250313e-16,3.4542412957606726e-15
0.014,0.7328706713435701,0.0,0.0,2.220446049250313e-16,1.5543122344752192e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.9422326118055555e-16
0.015,0.7829643604306219,5.551115123125783e-16,1.3322676295501878e-15,1.887379141862766e-15,3.885780586188048e-15,1.9984014443252818e-15,1.2212453270876722e-15,6.661338147750939e-16,5.551115123125783e-16,6.661338147750939e-16,6.661338147750939e-16,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.042282225243652e-15
0.016,0.8327712535877863,3.885780586188048e-15,6.994405055138486e-15,1.021405182655144e-14,1.9206858326015208e-14,1.1879386363489175e-14,8.43769498715119e-15,5.551115123125783e-15,4.551914400963142e-15,4.218847493575595e-15,3.774758283725532e-15,3.219646771412954e-15,2.55351295663786e-15,1.3322676295501878e-15,8.881784197001252e-16,9.992007221626409e-16,6.661338147750939e-16,6.264508338652963e-15
0.017,0.8822938067269268,2.3314683517128287e-15,4.3298697960381105e-15,7.549516567451064e-15,1.4654943925052066e-14,8.326672684688674e-15,5.88418203051333e-15,3.774758283725532e-15,2.9976021664879227e-15,2.9976021664879227e-15,2.886579864025407e-15,2.220446049250313e-15,1.7763568394002505e-15,9.992007221626409e-16,8.881784197001252e-16,6.661338147750939e-16,3.3306690738754696e-16,4.416800795806903e-15
0.018,0.9315344477988614,4.9960036108132044e-15,9.325873406851315e-15,1.4432899320127035e-14,2.864375403532904e-14,1.6653345369377348e-14,1.1657341758564144e-14,7.549516567451064e-15,5.995204332975845e-15,5.662137425588298e-15,5.218048215738236e-15,4.440892098500626e-15,3.3306690738754696e-15,2.1094237467877974e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.4432899320127035e-15,8.742147781192075e-15
0.019,0.9804955771901609,2.552136280087325e-11,4.530964492488465e-11,7.913825150751563e-11,1.6272605485312397e-10,9.206968520913961e-11,6.262823593061739e-11,3.906397427755337e-11,3.137656801044386e-11,3.1126878852205664e-11,2.775102370122795e-11,2.424160872038783e-11,1.7892909376371335e-11,1.0650591519834052e-11,7.48090478452923e-12,7.032707749488054e-12,6.8794969720897825e-12,4.714276820705126e-11
0.02,1.0291795681132077,0.013683147348739877,0.024283643746669692,0.041152187486471425,0.08069415727058549,0.04740933349964638,0.03293980773835237,0.020797480318206718,0.01669999881382822,0.016452192071906513,0.014599805897652751,0.012814948950020888,0.009519066892160755,0.005689441459341804,0.004011323340839312,0.003750380907663442,0.0036555748368082286,0.024492231807478528
