Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04483464634097707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0894018892246521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13370411381565908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.17774367699604746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.22152290778325126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.265044107740668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3083095513809991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.3513214865625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.39408213487828625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.43659369203883497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4788583282478219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5208781885714285,7.771561172376096e-16,1.5543122344752192e-15,1.9984014443252818e-15,1.887379141862766e-15,1.3322676295501878e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.1102230246251565e-15,1.1102230246251565e-15,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.1750146301365119e-15
0.013,0.5626553933012512,1.5543122344752192e-15,3.219646771412954e-15,3.774758283725532e-15,3.774758283725532e-15,2.6645352591003757e-15,3.219646771412954e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.55351295663786e-15,2.220446049250313e-15,1.9984014443252818e-15,1.4432899320127035e-15,7.771561172376096e-16,6.661338147750939e-16,4.440892098500626e-16,1.1102230246251565e-16,2.2939293990150554e-15
0.014,0.6041920383109405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6454901954066985,0.0,2.220446049250313e-16,1.3322676295501878e-15,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.7356521767801267e-16
0.016,0.6865519126717557,2.7755575615628914e-15,4.9960036108132044e-15,6.8833827526759706e-15,5.551115123125783e-15,3.6637359812630166e-15,4.551914400963142e-15,4.9960036108132044e-15,4.773959005888173e-15,3.885780586188048e-15,3.1086244689504383e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.4432899320127035e-15,9.992007221626409e-16,8.881784197001252e-16,4.440892098500626e-16,3.4910647946836454e-15
0.017,0.7273792148049477,8.881784197001252e-16,1.887379141862766e-15,3.3306690738754696e-15,3.1086244689504383e-15,1.5543122344752192e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.2212453270876722e-15,9.992007221626409e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.4657162164234569e-15
0.018,0.7679741034535105,1.4432899320127035e-15,3.3306690738754696e-15,5.10702591327572e-15,4.884981308350689e-15,2.6645352591003757e-15,3.219646771412954e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.7755575615628914e-15,2.220446049250313e-15,1.9984014443252818e-15,1.4432899320127035e-15,8.881784197001252e-16,6.661338147750939e-16,5.551115123125783e-16,2.220446049250313e-16,2.4979023734576572e-15
