Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04589850577268196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09152326300198808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13687671344895935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18196126992094863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2267793166995074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2713332099607073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.315625278188051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.359657822578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4034331174391431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4469534105825243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.49022092370764764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5332378527799227,1.3322676295501878e-15,1.5543122344752192e-15,1.887379141862766e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.2212453270876722e-15,6.661338147750939e-16,0.0,0.0,0.0,1.3747528425280872e-15
0.013,0.5760063684023099,2.9976021664879227e-15,3.4416913763379853e-15,3.885780586188048e-15,3.9968028886505635e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.3306690738754696e-15,3.552713678800501e-15,2.9976021664879227e-15,2.4424906541753444e-15,2.4424906541753444e-15,1.887379141862766e-15,1.3322676295501878e-15,6.661338147750939e-16,7.771561172376096e-16,7.771561172376096e-16,2.8431608160861803e-15
0.014,0.6185286161804223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6608067170813396,1.3322676295501878e-15,1.5543122344752192e-15,1.887379141862766e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.2212453270876722e-15,5.551115123125783e-16,0.0,0.0,0.0,1.3628866317216808e-15
0.016,0.7028427677862595,4.551914400963142e-15,5.329070518200751e-15,6.994405055138486e-15,7.105427357601002e-15,4.884981308350689e-15,4.9960036108132044e-15,5.10702591327572e-15,5.218048215738236e-15,4.6629367034256575e-15,3.774758283725532e-15,3.6637359812630166e-15,2.886579864025407e-15,1.9984014443252818e-15,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,4.4861328803323294e-15
0.017,0.7446388410371075,1.4432899320127035e-15,1.887379141862766e-15,2.9976021664879227e-15,3.3306690738754696e-15,1.887379141862766e-15,1.887379141862766e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,8.881784197001252e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.7171928661819025e-15
0.018,0.7861969859772295,2.9976021664879227e-15,3.6637359812630166e-15,4.884981308350689e-15,5.10702591327572e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.774758283725532e-15,3.3306690738754696e-15,2.55351295663786e-15,2.55351295663786e-15,1.9984014443252818e-15,1.3322676295501878e-15,7.771561172376096e-16,7.771561172376096e-16,7.771561172376096e-16,3.125197440788396e-15
0.019,0.8275192284862819,2.886579864025407e-15,3.552713678800501e-15,4.884981308350689e-15,4.9960036108132044e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.552713678800501e-15,2.9976021664879227e-15,2.3314683517128287e-15,2.220446049250313e-15,1.887379141862766e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,5.551115123125783e-16,2.979233381457347e-15
0.02,0.868607571509434,1.1102230246251565e-14,1.3877787807814457e-14,1.7430501486614958e-14,1.7985612998927536e-14,1.2989609388114332e-14,1.3322676295501878e-14,1.3433698597964394e-14,1.4099832412739488e-14,1.2989609388114332e-14,9.992007221626409e-15,9.43689570931383e-15,7.993605777301127e-15,5.218048215738236e-15,3.3306690738754696e-15,3.4416913763379853e-15,2.4424906541753444e-15,1.1700399042113929e-14
0.021,0.9094639953809972,6.5503158452884236e-15,8.43769498715119e-15,1.176836406102666e-14,1.2212453270876722e-14,8.215650382226158e-15,8.548717289613705e-15,8.326672684688674e-15,8.770761894538737e-15,8.215650382226158e-15,6.439293542825908e-15,6.106226635438361e-15,5.10702591327572e-15,3.1086244689504383e-15,2.220446049250313e-15,2.220446049250313e-15,1.6653345369377348e-15,7.4607859821563e-15
0.022,0.9500904581425891,2.3203661214665772e-14,3.086420008457935e-14,4.118927421359331e-14,4.1522341120980855e-14,2.8199664825478976e-14,2.842170943040401e-14,2.90878432451791e-14,3.019806626980426e-14,2.7533531010703882e-14,2.1649348980190553e-14,2.120525977034049e-14,1.7208456881689926e-14,1.1213252548714081e-14,7.105427357601002e-15,7.105427357601002e-15,5.995204332975845e-15,2.5808388137603863e-14
0.023,0.9904888958559401,9.448375496434736e-07,1.261362772009278e-06,1.7117139053945962e-06,1.7396836101690738e-06,1.152981230378991e-06,1.1681863032464435e-06,1.1760855685993832e-06,1.2336871814122574e-06,1.1310759185922947e-06,8.894424271543855e-07,8.540341067675428e-07,7.024858216242436e-07,4.5273159765546467e-07,2.930108320420288e-07,2.8388348249919204e-07,2.353580532687971e-07,1.058971543323248e-06
0.024,1.0306612229104477,0.042456968951493645,0.0559011261544472,0.0742758274473101,0.07549949732675176,0.05126629626782697,0.05214523889743938,0.05248334145641076,0.0548909250572619,0.05038307102664963,0.0398450087171891,0.03836230972593557,0.031698113372259584,0.020543068410272758,0.013331609242754672,0.012896081700964568,0.010679591229880048,0.0469444587072458
0.025,1.0706093323255814,0.09531295308148646,0.12344145436970133,0.16010222535332197,0.1627433155862753,0.11367268766816807,0.11609248311005438,0.11680876761443615,0.1217512033512026,0.11194715023503465,0.08917590219979277,0.08612668113362998,0.07156763820877443,0.04672166166356484,0.030433337772563296,0.029389764420261755,0.02430996430506782,0.10376001714689866
0.026,1.1103350960482374,0.14502548473234222,0.18504952759997073,0.23504002439902216,0.2388918742051337,0.17106624901390766,0.17525513330139741,0.17628939278890166,0.1832034119331608,0.1687757080586878,0.13539105978403643,0.13112090135111587,0.10954012977094107,0.07203032450256797,0.04709997681592781,0.04542426259987298,0.0375397200212072,0.15576264393782047
0.027,1.1498403652451432,0.1916466709437089,0.241257117854066,0.3008862448013385,0.3057564487600928,0.2238393701444601,0.22986994242336367,0.23117299614345543,0.23961301042668937,0.22119448000843422,0.17864687967387016,0.17343229719253916,0.14562561354985715,0.0964446269992213,0.06331342557992714,0.0609962137180734,0.05037548506846612,0.20342310088487225
0.028,1.189126970590406,0.2352919789918957,0.2925782848823236,0.35907358429058356,0.3647889759993862,0.2723837032140449,0.28022947912060503,0.2817606916127048,0.2913729020497696,0.26954405730389486,0.2191220152966994,0.21318491263869455,0.17987264504519673,0.1199643897973448,0.07906880023065155,0.07611111867372788,0.0628285043439919,0.24717325476187746
0.029,1.2281967225482981,0.27611164770637764,0.33949265336556866,0.4107565286267597,0.41716435511966676,0.3170736567540111,0.3266472340659985,0.328372644819359,0.33887506549468893,0.31415963806245994,0.25700194160602985,0.2505208882275525,0.21235216672680235,0.1426047400617243,0.0943697048658757,0.09077984876998979,0.07491253928619968,0.2874035701590776
0.03,1.2670514116513762,0.31427251513227783,0.3824386539303435,0.4568747782207423,0.46384198849227787,0.3582583325222244,0.3694369796786665,0.3713278979756117,0.38249497220594053,0.3553601294843458,0.29246991506256126,0.28558893979838196,0.24314712308788122,0.16439021383945185,0.10922510380879535,0.10501639527267215,0.08664255677440058,0.32446407209805656
0.031,1.3056928087740165,0.34994661584173137,0.4218122143895051,0.498200384498818,0.5056120556981794,0.3962583473483996,0.40890102698444875,0.4109329737989763,0.42258370658298283,0.3934428359887421,0.325701882774883,0.31853735378909387,0.27234582134528484,0.18535086461437833,0.12364724724876852,0.11883641895909847,0.09803391566599118,0.3586670125803682
0.032,1.3441226654014602,0.3833041626688092,0.4579683040131235,0.5353731443810874,0.543130588083686,0.4313654148793258,0.4453239842747495,0.44747589051291703,0.4594646594474484,0.42868143491700406,0.35686381748240514,0.34950984922702155,0.3000377284576591,0.20551969581236773,0.137650292037916,0.13225631683858263,0.10910186781483444,0.39029024856540473
0.033,1.3823427138944497,0.41450936329666166,0.49122385331443996,0.5689274667883422,0.5769462970232486,0.4638434259158406,0.4789698816724737,0.48122347516695985,0.4934328810240469,0.4613258442920758,0.3861105313269546,0.3786432558651204,0.3263108558353027,0.22493097128361084,0.15124938405616828,0.14529262522544883,0.11986125876532006,0.4195807893217753
0.034,1.4203546677495464,0.44371806555800253,0.52186122102111,0.5993129860938929,0.6075212885965704,0.493930283681399,0.5100813223646421,0.5124206540681665,0.5247559284504768,0.4916031383695568,0.41358537912584215,0.40606633854946916,0.35125018060894664,0.24361911132418246,0.1644600491997228,0.15796164290782322,0.13032635569053563,0.44675822980930846
0.035,1.4581602218552039,0.47107657671308445,0.5501317549029455,0.6269105428527836,0.6352472075637631,0.5218400602106058,0.5388798225214455,0.5412908958415092,0.5536755023837855,0.5197190027614018,0.439420483994581,0.4318993392506364,0.3749367438539396,0.2616179812767039,0.17729779213239905,0.1702791990719269,0.14051075650888345,0.47201793353432897
0.036,1.4957610527436822,0.4967212293632799,0.5762592089379157,0.6520446958626627,0.6604579330386253,0.547765225541156,0.5655668171717461,0.5680372942708496,0.5804094493010168,0.5458594260078653,0.463737256590785,0.45625396170001253,0.3974471898275789,0.27896044442291346,0.18977783572135865,0.18226051673341082,0.15042735064358725,0.4955339102813956
0.037,1.533158818838884,0.5207784143726519,0.6004429026479512,0.674993609997776,0.6834396485597287,0.5718788123515919,0.5903250078771607,0.5928439739122884,0.6051538792969859,0.5701924498340323,0.48664706593129126,0.4792336217314266,0.41885359058076144,0.2956780932078925,0.20191495615277888,0.19392013920947748,0.16008831235014054,0.5174613787162746
0.038,1.5703551607001796,0.543364897620283,0.6228605780050733,0.6959969386641506,0.7044388947476381,0.5943364448140969,0.6133198533578545,0.6158776247776963,0.6280852555254197,0.5928698769656033,0.5082519742712268,0.5009338495723057,0.43922345281981534,0.3118011007658473,0.2137233832761366,0.20527189806360324,0.16950511422143155,0.5379390270151059
0.039,1.6073517012623098,0.5645883007244605,0.6436709475822812,0.7152621590487946,0.7236690581826332,0.6152781994965979,0.6347010833822848,0.6372890500974406,0.6493623765484942,0.6140288821104047,0.528645482971339,0.5214427711826979,0.4586198384891724,0.3273581533101044,0.22521674541187553,0.21632890810113703,0.1786885527930573,0.5570909956505802
0.04,1.6441500460714287,0.5845476676529748,0.6630159477287638,0.7329697027834937,0.7413156379015411,0.6348302888384716,0.6546041661967992,0.6572146600980837,0.6691282124702725,0.6337935000082954,0.5479132580623274,0.5408416223018965,0.4771015534958526,0.3423764364355807,0.23640804436525786,0.2271035797245584,0.18764878097819226,0.5750286106224161
0.041,1.6807517835173644,0.6033340668024538,0.6810227201798309,0.7492771407168566,0.757540548713234,0.6531065705037915,0.6731516911905955,0.6757778754105701,0.6875115795158291,0.6522759813493828,0.566133817977299,0.5592052661913536,0.49472337431850366,0.3568816568367429,0.2473096508018794,0.237607642115911,0.19639534390226854,0.5918518958659622
0.042,1.717158485062167,0.6210311965038265,0.6978053491917915,0.7643226189302799,0.7724856598061793,0.6702098927173163,0.6904546480938578,0.6930904227991646,0.7046286516798806,0.6695780172023652,0.583379174575178,0.576602697386003,0.511536292527423,0.3708980867139364,0.2579333131580005,0.24785217283990313,0.20493721592272596,0.6076508921040812
0.043,1.7533717054650133,0.6377159741216982,0.7134663816801691,0.7782276975477073,0.7862757218683798,0.6862332889123706,0.7066135960631621,0.7092535175808508,0.7205843159423508,0.6857918380773871,0.599715423958863,0.5930975211579197,0.5275877641717436,0.3844486221057488,0.2682901753384983,0.25784763090162066,0.2132828374246618,0.6225068070490652
0.044,1.7893929830035338,0.6534590970173011,0.7280981564958826,0.7910997098179161,0.7990208019306424,0.7012610361371756,0.7217197232460237,0.7243589340727692,0.7354733816702604,0.7010011965531773,0.6152032868752618,0.6087484032011774,0.5429219556714913,0.3975548491261389,0.2783907998986366,0.2676038912744083,0.22144015051879085,0.63649301918961
0.045,1.82522383969163,0.6683255689947721,0.7417839668045193,0.8030337332560838,0.8108183193737586,0.715369591577192,0.7358558015846555,0.738489969379293,0.749381656660711,0.7152822435784505,0.6298986004221486,0.6236094871423592,0.5575799810165198,0.4102371139894606,0.2882451944136032,0.27713027958513337,0.22941663312426908,0.6496759547257539
