Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.052300335702891325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10428874097415508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15596799814667986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20734085656126483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2584100330541872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.30917821243614935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3596480479627816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.409822161796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4597031454625121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5092935602912622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5585959378606001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6076127804247103,1.3322676295501878e-15,1.7763568394002505e-15,2.4424906541753444e-15,3.552713678800501e-15,1.887379141862766e-15,2.3314683517128287e-15,1.9984014443252818e-15,2.6645352591003757e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.2212453270876722e-15,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.5478202149684232e-15
0.013,0.6563465613378248,3.6637359812630166e-15,4.107825191113079e-15,6.328271240363392e-15,6.661338147750939e-15,4.551914400963142e-15,5.440092820663267e-15,5.329070518200751e-15,5.88418203051333e-15,5.440092820663267e-15,3.6637359812630166e-15,3.4416913763379853e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,6.661338147750939e-16,3.567113568877989e-15
0.014,0.7047997254702495,3.3306690738754696e-16,6.661338147750939e-16,1.5543122344752192e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.3322676295501878e-15,7.771561172376096e-16,7.771561172376096e-16,5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,8.172634191596916e-16
0.015,0.7529746896172248,0.0,2.220446049250313e-16,1.2212453270876722e-15,1.4432899320127035e-15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.995047395236802e-16
0.016,0.8008738429007634,5.88418203051333e-15,6.8833827526759706e-15,9.992007221626409e-15,1.199040866595169e-14,7.993605777301127e-15,9.547918011776346e-15,8.659739592076221e-15,9.769962616701378e-15,8.548717289613705e-15,6.217248937900877e-15,5.88418203051333e-15,4.551914400963142e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.220446049250313e-15,1.2212453270876722e-15,6.007863931501232e-15
0.017,0.8484995471646051,3.774758283725532e-15,4.218847493575595e-15,7.66053886991358e-15,8.104628079763643e-15,5.329070518200751e-15,5.773159728050814e-15,5.440092820663267e-15,6.217248937900877e-15,5.995204332975845e-15,3.885780586188048e-15,3.774758283725532e-15,2.886579864025407e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.4432899320127035e-15,6.661338147750939e-16,3.899401749693998e-15
