Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04155672849451645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08286560373757457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12392883651139742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16474861138339922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.20532708709359607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.24566639693516704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.2857686491283056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.3256359271875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.36527029028237584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.404673773592233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4438483886544046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.4827961237065637,8.881784197001252e-16,1.3322676295501878e-15,1.5543122344752192e-15,1.887379141862766e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.7763568394002505e-15,2.220446049250313e-15,1.9984014443252818e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,6.661338147750939e-16,5.551115123125783e-16,0.0,1.078919236359364e-15
0.013,0.5215189440230992,1.7763568394002505e-15,2.4424906541753444e-15,2.9976021664879227e-15,3.885780586188048e-15,2.55351295663786e-15,3.1086244689504383e-15,3.552713678800501e-15,3.9968028886505635e-15,3.552713678800501e-15,2.55351295663786e-15,2.55351295663786e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.1102230246251565e-15,6.661338147750939e-16,2.2698784646712746e-15
0.014,0.5600187922456814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.5982975887081339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6363572317557252,2.220446049250313e-15,2.886579864025407e-15,3.3306690738754696e-15,4.773959005888173e-15,2.886579864025407e-15,3.4416913763379853e-15,3.774758283725532e-15,4.551914400963142e-15,3.885780586188048e-15,2.9976021664879227e-15,2.886579864025407e-15,2.7755575615628914e-15,2.220446049250313e-15,1.5543122344752192e-15,1.3322676295501878e-15,8.881784197001252e-16,2.62383837341365e-15
0.017,0.6741995980589914,8.881784197001252e-16,1.3322676295501878e-15,1.5543122344752192e-15,1.887379141862766e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.7763568394002505e-15,1.887379141862766e-15,1.887379141862766e-15,1.1102230246251565e-15,1.1102230246251565e-15,9.992007221626409e-16,5.551115123125783e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,9.627257013570622e-16
0.018,0.711826542922201,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,3.219646771412954e-15,1.887379141862766e-15,2.1094237467877974e-15,2.6645352591003757e-15,2.9976021664879227e-15,2.886579864025407e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.1102230246251565e-15,8.881784197001252e-16,6.661338147750939e-16,3.3306690738754696e-16,1.6251730997647404e-15
0.019,0.7492399005865658,1.3322676295501878e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.9976021664879227e-15,1.887379141862766e-15,2.1094237467877974e-15,2.6645352591003757e-15,2.886579864025407e-15,2.7755575615628914e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.5543122344752192e-15,9.992007221626409e-16,7.771561172376096e-16,4.440892098500626e-16,3.3306690738754696e-16,1.5731656147624766e-15
0.02,0.7864414845283019,4.107825191113079e-15,5.88418203051333e-15,8.326672684688674e-15,1.1102230246251565e-14,6.439293542825908e-15,7.549516567451064e-15,8.326672684688674e-15,9.103828801926284e-15,8.326672684688674e-15,6.217248937900877e-15,5.662137425588298e-15,5.10702591327572e-15,4.107825191113079e-15,3.1086244689504383e-15,2.55351295663786e-15,1.7763568394002505e-15,5.469759535042238e-15
0.021,0.8234330877516464,2.4424906541753444e-15,3.1086244689504383e-15,4.551914400963142e-15,6.106226635438361e-15,3.3306690738754696e-15,3.774758283725532e-15,4.440892098500626e-15,5.218048215738236e-15,4.3298697960381105e-15,3.3306690738754696e-15,3.219646771412954e-15,2.886579864025407e-15,2.55351295663786e-15,1.7763568394002505e-15,1.6653345369377348e-15,9.992007221626409e-16,3.0195698432185875e-15
0.022,0.860216483076923,6.106226635438361e-15,8.881784197001252e-15,1.2212453270876722e-14,1.6209256159527285e-14,9.880984919163893e-15,1.1102230246251565e-14,1.2323475573339238e-14,1.354472090042691e-14,1.2101430968414206e-14,8.992806499463768e-15,8.659739592076221e-15,7.327471962526033e-15,5.995204332975845e-15,4.551914400963142e-15,3.774758283725532e-15,2.6645352591003757e-15,8.080288620480317e-15
0.023,0.8967934234237606,5.551115123125783e-16,1.2212453270876722e-15,1.7763568394002505e-15,2.7755575615628914e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.1102230246251565e-15,9.992007221626409e-16,6.661338147750939e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,9.977760137859442e-16
0.024,0.9331656420895522,1.27675647831893e-14,1.7763568394002505e-14,2.4980018054066022e-14,3.297362383136715e-14,2.098321516541546e-14,2.2870594307278225e-14,2.5424107263916085e-14,2.786659791809143e-14,2.475797344914099e-14,1.8207657603852567e-14,1.7541523789077473e-14,1.5432100042289676e-14,1.1657341758564144e-14,8.881784197001252e-15,7.771561172376096e-15,5.329070518200751e-15,1.6502817174985625e-14
