Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.058773369690927224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11719620238568591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17527162477700695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.23300272648221348,5.551115123125783e-16,6.661338147750939e-16,1.6653345369377348e-15,2.9976021664879227e-15,2.220446049250313e-15,1.887379141862766e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,9.992007221626409e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.3062753774991654e-15
0.005,0.29039256059113305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3474441442043223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.40416045896180225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.4605444515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5165990342745862,0.0,0.0,2.220446049250313e-16,1.6653345369377348e-15,4.440892098500626e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.0647416638701877e-16
0.01,0.5723270854368933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6277314499515974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6828149397683398,1.2212453270876722e-15,1.5543122344752192e-15,3.552713678800501e-15,7.105427357601002e-15,4.218847493575595e-15,3.552713678800501e-15,2.55351295663786e-15,2.220446049250313e-15,2.55351295663786e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.5543122344752192e-15,2.220446049250313e-16,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.550501106326258e-15
0.013,0.7375803343599616,2.9976021664879227e-15,3.6637359812630166e-15,6.439293542825908e-15,1.4210854715202004e-14,8.992806499463768e-15,6.994405055138486e-15,5.88418203051333e-15,5.440092820663267e-15,6.106226635438361e-15,5.662137425588298e-15,4.6629367034256575e-15,2.9976021664879227e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,5.4608322805165694e-15
0.014,0.7920303811900193,6.661338147750939e-16,7.771561172376096e-16,1.887379141862766e-15,4.551914400963142e-15,2.55351295663786e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,9.992007221626409e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.554466690224849e-15
0.015,0.8461677961722488,7.771561172376096e-16,1.2212453270876722e-15,2.55351295663786e-15,6.5503158452884236e-15,3.774758283725532e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.9984014443252818e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.887379141862766e-15,1.3322676295501878e-15,1.1102230246251565e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.1038060353986375e-15
