Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06982810229312064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13923973479125248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.20823861228939544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.27682840553359683,1.6653345369377348e-15,2.886579864025407e-15,3.219646771412954e-15,3.1086244689504383e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.1102230246251565e-15,9.992007221626409e-16,1.1102230246251565e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.0840237326156616e-15
0.005,0.3450127418719212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.41279520589390967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.48017934005876595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5471686453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.613766581694255,5.551115123125783e-16,1.9984014443252818e-15,2.55351295663786e-15,2.220446049250313e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1189448035347531e-15
0.01,0.6799765689320388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7458019870280735,2.220446049250313e-16,5.551115123125783e-16,2.1094237467877974e-15,2.1094237467877974e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,7.561953248901245e-16
0.012,0.8112461768339768,4.218847493575595e-15,8.326672684688674e-15,1.0547118733938987e-14,8.326672684688674e-15,4.551914400963142e-15,4.218847493575595e-15,4.107825191113079e-15,4.218847493575595e-15,3.9968028886505635e-15,3.6637359812630166e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.9984014443252818e-15,7.771561172376096e-16,7.771561172376096e-16,5.551115123125783e-16,5.723062757735954e-15
0.013,0.8763124406159769,1.1657341758564144e-14,2.5979218776228663e-14,3.186340080674199e-14,2.6201263381153694e-14,1.2989609388114332e-14,1.1435297153639112e-14,1.1546319456101628e-14,1.176836406102666e-14,1.1324274851176597e-14,1.0103029524088925e-14,7.771561172376096e-15,6.772360450213455e-15,5.662137425588298e-15,2.9976021664879227e-15,3.3306690738754696e-15,1.5543122344752192e-15,1.6966505580832694e-14
