Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.061778257926221346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1231880570576541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18423268394449951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.24491538616600794,4.440892098500626e-16,1.5543122344752192e-15,2.3314683517128287e-15,1.9984014443252818e-15,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,8.785602456084634e-16
0.005,0.30523937290640396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.36520781552062875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4248238480901078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.48409056796875005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5430110363193769,2.220446049250313e-16,1.5543122344752192e-15,1.9984014443252818e-15,1.887379141862766e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,0.0,7.445128692872287e-16
0.01,0.6015882786407768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.659825285285576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.717725011969112,1.887379141862766e-15,3.9968028886505635e-15,7.105427357601002e-15,5.329070518200751e-15,2.4424906541753444e-15,1.887379141862766e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,2.965378040078455e-15
0.013,0.7752903802694899,4.107825191113079e-15,8.326672684688674e-15,1.4654943925052066e-14,1.2323475573339238e-14,5.995204332975845e-15,4.107825191113079e-15,3.6637359812630166e-15,3.774758283725532e-15,4.3298697960381105e-15,3.9968028886505635e-15,3.3306690738754696e-15,2.55351295663786e-15,1.9984014443252818e-15,1.5543122344752192e-15,9.992007221626409e-16,5.551115123125783e-16,6.389864643480042e-15
0.014,0.832524278119002,1.887379141862766e-15,3.9968028886505635e-15,7.105427357601002e-15,5.329070518200751e-15,2.4424906541753444e-15,1.887379141862766e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,2.9483736804185632e-15
0.015,0.8894295602870813,2.220446049250313e-15,4.773959005888173e-15,9.43689570931383e-15,8.992806499463768e-15,3.9968028886505635e-15,2.4424906541753444e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.6645352591003757e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.2212453270876722e-15,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,4.000181640278995e-15
0.016,0.9460090488549618,1.5210055437364645e-14,3.1530333899354446e-14,6.317169010117141e-14,5.3290705182007514e-14,2.4091839634365897e-14,1.5210055437364645e-14,1.4210854715202004e-14,1.4765966227514582e-14,1.7541523789077473e-14,1.4765966227514582e-14,1.2434497875801753e-14,9.880984919163893e-15,7.327471962526033e-15,5.773159728050814e-15,4.3298697960381105e-15,3.1086244689504383e-15,2.5814336860987775e-14
0.017,1.0022655336822075,0.001449826425858003,0.0030946110619823886,0.0064286224980322215,0.005373180348710704,0.0023117214780028483,0.0014508781089767053,0.0013640541201116463,0.001420453663687149,0.0017053657476207018,0.0014453068828340632,0.0011833723138118257,0.0009496142283924591,0.0007127406053296648,0.0005581429949343963,0.00043404287619785986,0.00031461396003551467,0.002551141131045326
0.018,1.058201772865275,0.03388238501306373,0.06998481260230915,0.1358289159042908,0.11635499984324349,0.053074495525224585,0.03404960290092862,0.03186134204944979,0.03294261885031391,0.03920896457368361,0.033360670073576904,0.027600608332464693,0.022291828610473408,0.01680155408877948,0.013021250078255497,0.010095272928025256,0.007310539025669027,0.056753791699631816
