Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05879113668993021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11723163041749503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17532460882061446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2330731624505929,6.661338147750939e-16,1.5543122344752192e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.9984014443252818e-15,1.6653345369377348e-15,8.881784197001252e-16,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,8.437258017527293e-16
0.005,0.29048034532019706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3475491754420432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.40428263535749265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.46068367265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5167552004868549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5725000980582524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6279212111326233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6830213525096525,2.220446049250313e-15,4.218847493575595e-15,3.9968028886505635e-15,3.9968028886505635e-15,4.551914400963142e-15,7.216449660063518e-15,6.994405055138486e-15,4.107825191113079e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.1102230246251565e-15,3.3306690738754696e-16,4.440892098500626e-16,0.0,0.0,2.9288578857933424e-15
0.013,0.7378033025024061,4.107825191113079e-15,6.772360450213455e-15,5.995204332975845e-15,6.217248937900877e-15,7.438494264988549e-15,1.2101430968414206e-14,1.1435297153639112e-14,6.5503158452884236e-15,4.440892098500626e-15,2.886579864025407e-15,2.4424906541753444e-15,1.7763568394002505e-15,6.661338147750939e-16,7.771561172376096e-16,0.0,0.0,4.761770865943061e-15
0.014,0.7922698094049904,1.5543122344752192e-15,2.220446049250313e-15,1.9984014443252818e-15,1.9984014443252818e-15,2.55351295663786e-15,3.885780586188048e-15,3.9968028886505635e-15,2.220446049250313e-15,1.5543122344752192e-15,8.881784197001252e-16,7.771561172376096e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.5731422663379542e-15
0.015,0.8464235899521529,2.220446049250313e-15,4.218847493575595e-15,3.9968028886505635e-15,3.9968028886505635e-15,4.551914400963142e-15,7.216449660063518e-15,6.994405055138486e-15,4.107825191113079e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.2212453270876722e-15,3.3306690738754696e-16,4.440892098500626e-16,0.0,0.0,2.9364738408050214e-15
0.016,0.9002673297709923,1.0325074129013956e-14,1.7763568394002505e-14,1.4988010832439613e-14,1.5654144647214707e-14,1.965094753586527e-14,3.219646771412954e-14,2.964295475749168e-14,1.7208456881689926e-14,1.2212453270876722e-14,7.66053886991358e-15,6.328271240363392e-15,4.551914400963142e-15,2.220446049250313e-15,2.4424906541753444e-15,2.220446049250313e-16,4.440892098500626e-16,1.2486369704243773e-14
