Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07414113469591227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14784007574552685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22110076739345885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2939271071146245,4.440892098500626e-16,2.1094237467877974e-15,2.6645352591003757e-15,2.55351295663786e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.00328810811158e-15
0.005,0.36632294630541873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.43829209096267197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5098383023506367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5809652976562499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6516767506329113,4.440892098500626e-16,2.1094237467877974e-15,2.6645352591003757e-15,2.55351295663786e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.00328810811158e-15
0.01,0.7219762922330096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7918675112294288,4.440892098500626e-16,2.1094237467877974e-15,2.6645352591003757e-15,2.55351295663786e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.00328810811158e-15
0.012,0.8613539548262548,4.6629367034256575e-15,1.3322676295501878e-14,1.687538997430238e-14,1.7208456881689926e-14,5.773159728050814e-15,3.9968028886505635e-15,4.107825191113079e-15,4.218847493575595e-15,4.551914400963142e-15,3.885780586188048e-15,3.552713678800501e-15,3.1086244689504383e-15,2.1094237467877974e-15,1.4432899320127035e-15,8.881784197001252e-16,4.440892098500626e-16,7.526954209811271e-15
0.013,0.9304391292589027,1.2434497875801753e-14,3.83026943495679e-14,5.5844218138645374e-14,5.6066262743570405e-14,1.8540724511240114e-14,1.2212453270876722e-14,1.199040866595169e-14,1.2878587085651816e-14,1.3211653993039363e-14,1.1657341758564144e-14,1.0547118733938987e-14,8.770761894538737e-15,6.5503158452884236e-15,4.3298697960381105e-15,3.552713678800501e-15,2.6645352591003757e-15,2.329694719933135e-14
0.014,0.9991265003838772,0.00031141068246143266,0.0009682169657653228,0.0014529001645261497,0.0014758951156513822,0.0004679911935197012,0.00029546396581703327,0.00029494255639084255,0.0003193023284943086,0.00032726121573956046,0.0002872954391321958,0.0002543208546496034,0.00021983715720830244,0.00016070161172676567,0.0001087771843023555,8.79279026014812e-05,6.357469366724544e-05,0.0005943141941930552
0.015,1.067419494258373,0.033798254378979986,0.10044767667834498,0.1429687032254262,0.14420781248682213,0.04943066502974103,0.032074047565762265,0.03195230740413235,0.034376648941533805,0.03504718457104594,0.030801534423412047,0.02746622131500609,0.023883420218668405,0.01755448049159536,0.01180200266083864,0.009504416805662164,0.006866802563167851,0.060851308147047777
0.016,1.1353214977099235,0.0680686412618231,0.19306457330466487,0.262730701556146,0.2639038608334653,0.09728785018318731,0.06472827211990184,0.0643104774113683,0.06879524832548423,0.06981959069821386,0.06146782834624265,0.05518963471748217,0.04823815276094079,0.03564664871271406,0.02380293214384499,0.019109738826791567,0.0138020570241415,0.11629194446815502
0.017,1.2028358588962893,0.10207743587142892,0.2764081835462896,0.36231072936776876,0.36307757422902276,0.14308319395321512,0.09737723710801616,0.0964666749673816,0.10266221653967866,0.10379352565705535,0.09157166765188207,0.08274162121047057,0.07264180599605241,0.05396074847769883,0.035799476106489814,0.028668596319366912,0.020706545907807516,0.16648459904261803
0.018,1.2699658878557873,0.1356110409323097,0.35092201063962614,0.4456902216042108,0.4460787078729067,0.18691670469365074,0.12986316804772535,0.1282698801202926,0.13587027349759973,0.1369234756454617,0.12108717384889067,0.1100550722222412,0.09699946596831954,0.0724205734692922,0.04775724482385879,0.03816619333258964,0.027574639091566766,0.21222183978613585
0.019,1.3367148570482497,0.16851355583316563,0.41729912894459575,0.5159782673265396,0.516126501046378,0.22885128106854646,0.16204259789895814,0.15959920485354873,0.16833797073738377,0.16917558378011532,0.1499876615027783,0.1370667670701491,0.1212297787588359,0.09095969117540448,0.05965188378468933,0.04759298179219573,0.0344029091074568,0.2541376196645212
0.02,1.4030860018867923,0.20066910277144234,0.4763208735875466,0.5756063641211371,0.5756606724598319,0.2689296450133477,0.19378596824915306,0.1903552391305281,0.2000013654577193,0.20052301256373206,0.17824588829575272,0.16371663873563091,0.14526096645602993,0.1095183357056485,0.07146495992470492,0.0569421178133418,0.04118876366006419,0.2927413823478765
0.021,1.4690825212605831,0.2319907022953669,0.5287695157931942,0.6264870194563184,0.6265664804176274,0.307185051605255,0.22497776357710186,0.220455188660291,0.23080946490214427,0.23094399059542026,0.2058349707798125,0.1899480528067935,0.16902879021263684,0.12804181989855157,0.0831816042371033,0.06620809001742278,0.04792977744471938,0.3284452076001513
0.022,1.5347075780487802,0.2624132775112006,0.5753841703568261,0.6701359284954855,0.67032460183819,0.34364815643589774,0.2555168764839142,0.24983019992191446,0.2607218235945742,0.26042124174611747,0.23272954274780733,0.2157085445660596,0.19247566199315602,0.1464798622491965,0.0947892116580914,0.07538603060710658,0.054623415858107816,0.36158521175939246
0.023,1.5999642996258185,0.2918891600980651,0.6168411811064606,0.7077641645929016,0.7081140681167726,0.37835129385314814,0.2853169008177052,0.2784238461086789,0.28970727395577567,0.28894202161230564,0.2589068687863746,0.24095064756321938,0.2155503531283396,0.16478640753364127,0.10627676144833631,0.08447141342278408,0.061266970326678716,0.3924382751991177
0.024,1.6648557783582087,0.32038505974086917,0.6537479335340151,0.7403473546470899,0.7408848206290575,0.411330929353358,0.3143061588621494,0.30619115286649234,0.3177431806831068,0.31649832469742467,0.28434775082814145,0.265632599365777,0.2382079480887518,0.18291966730566478,0.1176344875847698,0.09345996048294458,0.06785759910556022,0.42123502340594315
0.025,1.729385072093023,0.34787986444920826,0.6866437331290578,0.7686776762822061,0.7694100111092304,0.44262881241401064,0.34242738136642914,0.3330978143895522,0.34481487873111627,0.34308703870446233,0.3090371587247518,0.28971882044695496,0.2604098382538812,0.20084221485146492,0.12885373480944462,0.10234765096926035,0.07439241198177426,0.4481698425838291
0.026,1.7935552046382188,0.3743629045002277,0.7160041535051199,0.7934031583271697,0.7943244493801311,0.47229222241005253,0.36963704311394185,0.35911942423663024,0.3709151243107369,0.3687099514451898,0.3329645773144426,0.31318013564755287,0.28212365009669516,0.21852104424839813,0.13992690320460732,0.1111307714451617,0.08086856440842694,0.47340857306168876
0.027,1.8573691662349674,0.39983247871345207,0.7422468591662789,0.8150576052769354,0.8161533636546554,0.5003736102614612,0.39590440806043903,0.38424065071002944,0.39604348993380445,0.3933735901426768,0.3561240985996549,0.33599375252918673,0.3033230660494314,0.2359275525426907,0.15084742626891878,0.1198059736819197,0.08728334306098995,0.4970944008743405
0.028,1.9208299140221403,0.42429454110842435,0.7657378233218533,0.8340835716004857,0.83533425037946,0.5269298688303311,0.4212103623768024,0.4084543461840301,0.4202056913979496,0.41708891199422904,0.3785143054747757,0.3581430350083279,0.3239875344070159,0.25303743469364715,0.16160975342063,0.12837032322072683,0.09363423469606369,0.5193523624174129
0.029,1.9839403724931002,0.4477615022794862,0.7867973798860245,0.8508501514154828,0.8522337054299645,0.5520214074324612,0.44554611878836725,0.43176060955746653,0.4434128629890789,0.43987088202186464,0.40013799893421453,0.3796171204243374,0.3441018850074641,0.2698304984144473,0.17220932344406392,0.1368213317214917,0.09991897596388377,0.5402927890045223
0.03,2.046703433944954,0.47025112927484125,0.8057058396526584,0.8656668708076352,0.8671605506627358,0.5757111575372669,0.46891186865865,0.4541658324140784,0.4656808082020646,0.4617379783547162,0.42100181853507856,0.40041042877526056,0.3636558762029123,0.2862904146504752,0.18264252438437234,0.1451569717672524,0.10613558500802356,0.5600139460474781
0.031,2.1091219589204027,0.4917855412235832,0.8227085613005924,0.8787946260456692,0.8803761847854111,0.598063597048679,0.4913154450754179,0.475681760301081,0.4870292544024031,0.48271166205073157,0.44111579954979396,0.420522108105268,0.3826437002565456,0.30240442235631737,0.1929066402345001,0.1533756757285707,0.11228237725543933,0.5786040634629911
0.032,2.171198776642336,0.5123903024392499,0.8380204544791432,0.8904543635356571,0.8921028261084363,0.6191438490235628,0.5127710448505652,0.4963245959427929,0.5074811359243843,0.5028158421705324,0.4604929021314209,0.43995545269362046,0.40106347190690494,0.3181630057557153,0.20299978705220734,0.1614763215942876,0.11835796839064305,0.5961429077009769
0.033,2.2329366854413104,0.5320936146395013,0.8518299368938869,0.9008340188286316,0.9025301342522993,0.6390168866082329,0.5332980424467851,0.5161141644493413,0.5270619241458512,0.5220763593997979,0.47914853948552916,0.4587173226095044,0.4189167205424402,0.3335595599861779,0.21292084193904914,0.1694582090227762,0.12436126753199273,0.6127030095034685
0.034,2.2943384531760436,0.5509256078868678,0.8643023884507213,0.9100941024441355,0.9118205712722572,0.6577468584047583,0.5529199158293985,0.5350731535765569,0.545799016856666,0.5405205044083701,0.4971001244053247,0.47681758547954245,0.43620790156314504,0.34859005799137244,0.2226693682780353,0.1773210286955912,0.13029146335157038,0.6283506333362284
0.035,2.3554068176470593,0.5689177273464512,0.8755831536359037,0.9183722256107684,0.9201137725125226,0.6753965363098491,0.5716632937168364,0.5532264358533248,0.5637211936713338,0.5581765809979777,0.5143666470269901,0.4942685945633192,0.45294393785330345,0.36325272837871636,0.23224554018202737,0.18506482763446186,0.1361480054698937,0.6431465528049608
0.036,2.41614448700361,0.5861022107144802,0.8858001444110525,0.9257867893238535,0.9275301323978348,0.6920268799738041,0.5895571257387445,0.5706004743464108,0.5808581397183226,0.5750735191681176,0.5309682914381779,0.511084711688133,0.46913379824768076,0.37754775107075245,0.24165006850316206,0.1926899726356026,0.14193058301286232,0.657146679921619
0.037,2.4765541401440143,0.6025116495015624,0.8950660933964938,0.9324400083827571,0.9341737627163382,0.7076967073648968,0.6066319713735664,0.5872228100628125,0.5972400364479205,0.5912405395174082,0.5469260947778466,0.5272818792750422,0.4847881165943049,0.3914769751197852,0.250884130137913,0.2001971134742312,0.1476391017971156,0.6704025836940707
0.038,2.5366384271095153,0.6181786263158568,0.9034805029281756,0.9384204033500617,0.940134945618011,0.722462458600075,0.6229193998529732,0.6031216263905743,0.6128972160459667,0.6067068677631581,0.5622616495550735,0.5428772424852528,0.49991885250351,0.40504366107763223,0.25994930180643383,0.2075871470836549,0.15327366123894104,0.6829619242503392
0.039,2.5963999694717996,0.6331354198208936,0.9111313307726049,0.9438048641589848,0.9454921770429187,0.7363780394886333,0.6384514910778261,0.618325384361442,0.6278598744562306,0.6215014964200067,0.5769968479042717,0.5578888202618043,0.514538993049506,0.41825224879782075,0.26884749901971794,0.21486118353631212,0.15883453177128648,0.6948688218355935
0.04,2.6558413607142857,0.6474137690268296,0.9180964484497347,0.9486603668741226,0.9503138761762503,0.7494947315678109,0.6532604266023214,0.6328625216711812,0.6421578372132878,0.6356529896364997,0.5911536651968259,0.572335222553478,0.528662293447332,0.4311081504417301,0.2775809205804408,0.22202051435182246,0.16432213330323808,0.7061641749513247
0.041,2.714965166607302,0.6610446888896442,0.9244449035428902,0.9530454080779763,0.9546598211005294,0.7618611563697786,0.6673781595759608,0.6467612081165198,0.6558203719946559,0.6491893266695813,0.604753979673484,0.5862354101121425,0.5423030539473308,0.4436175676945968,0.2861519986865142,0.2290665834236687,0.16973701506109706,0.7168859381873649
0.042,2.773773925577265,0.6740583297290388,0.9302380132053772,0.9570112082031389,0.9585823588716044,0.7735232829506592,0.6808361529169824,0.6600491502307109,0.6688760418650892,0.6621377793317803,0.6178194244025195,0.5996084927997087,0.5554759297622383,0.45578733170290087,0.2945633545079681,0.23600096068250986,0.17507983700238283,0.7270693675806112
0.043,2.8322701490699735,0.6864838736406758,0.9355303123530632,0.9606027249015998,0.9621274289159355,0.7845244691308653,0.6936651757170081,0.6727534382844456,0.6813525934853112,0.6745248188538087,0.6303712677873345,0.6124735622005323,0.5681957706739631,0.46762476395798913,0.30281775897337004,0.24282531848949962,0.1803513528852393,0.7367472393554667
0.044,2.890456321908127,0.6983494618019832,0.9403703767601119,0.9638595095349618,0.9653354313014122,0.7949055283110603,0.7058951487908987,0.6849004293598415,0.693276874998844,0.6863760478741296,0.6424303189520695,0.6248495544099021,0.5804774869811873,0.479137556218053,0.31091809841787166,0.2495414106675542,0.18555239499816945,0.7459500464625088
0.045,2.9483349026431718,0.7096821473022987,0.9448015384248664,0.9668164335605869,0.9682419656084011,0.8047048150599425,0.7175550312786113,0.6965156608245922,0.704674778825154,0.6977161536281751,0.6540168545553668,0.6367551390827111,0.5923359385841966,0.49033366753750307,0.318867344698893,0.2561510540231745,0.1906838605018506,0.7547061762866991
0.046,3.005908323901582,0.7205078688334938,0.9488625081067066,0.969504306588747,0.9708784614769979,0.8139583238759197,0.7286727412030889,0.7076237891765514,0.715571205126568,0.7085688788144033,0.6651505638701203,0.6482086311218449,0.6037858442138504,0.5012212365246151,0.3266685293671898,0.26265611217876017,0.19574669930012112,0.7630420721361936
0.047,3.063178992725679,0.7308514412350833,0.9525879178107309,0.9719504039010022,0.973272718171388,0.8226997965861544,0.7392751038424331,0.7182485498594691,0.7259900422478602,0.7189570070287687,0.675850509285014,0.6592279217225401,0.614841708063482,0.5118085070485286,0.3343247214824302,0.26905848151923606,0.20074190333644915,0.7709823805682605
0.048,3.120149290909091,0.74073655948633,0.9560087941736671,0.9741789180274206,0.9754493674862104,0.8309608347607214,0.7493878226577646,0.7284127342452564,0.7359541609303143,0.7289023600614213,0.6861350997074664,0.6698304258385783,0.6255177613516651,0.5221037657454238,0.3418390086770171,0.2753600790524092,0.20567049720145159,0.7785500862021635
0.049,3.1768215753269398,0.7501858132721922,0.9591529721424589,0.9762113464096713,0.9774302718723519,0.8387710142936066,0.7590354683160583,0.7381381805240073,0.7454854195647103,0.7384258047261785,0.696022074661361,0.6800330434798854,0.6358279166136882,0.5321152898166948,0.3492144810948741,0.2815628319861757,0.21053352993346441,0.7857666353684278
0.05,3.23319817826087,0.7592207097198228,0.9620454570009208,0.9780668250975959,0.9792348676644963,0.8461579999481501,0.7682414820549865,0.7474457757339112,0.7546046781642685,0.7475472672371926,0.7055284971670103,0.6898521325769725,0.6457857327795089,0.5418513037592275,0.35645421785974496,0.2876686688345904,0.21533206789550308,0.7926520497195858
0.051,3.2892814077189936,0.767861702310485,0.9647087416580279,0.9797624167373038,0.9808804616595846,0.8531476581967506,0.7770281902556189,0.7563554665977992,0.7633318191076389,0.7562857534551046,0.7146707537598165,0.6993034914488074,0.6554043893392376,0.5513199438126307,0.36356127575763,0.2936795118769737,0.2200671886165736,0.7992250307577192
