Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06974040837487538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1390648699801193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2079770949454906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.27648074940711465,4.440892098500626e-16,1.9984014443252818e-15,2.7755575615628914e-15,2.7755575615628914e-15,1.4432899320127035e-15,6.661338147750939e-16,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,1.2131845023034095e-15
0.005,0.3445794561576355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4122767952848724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.47957630479921654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5464814812500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6129957803310614,3.3306690738754696e-16,1.887379141862766e-15,2.6645352591003757e-15,2.3314683517128287e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,9.870231324484856e-16
0.01,0.6791226174757282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7448653684414328,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-15,2.220446049250313e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0,6.676643867078526e-16
0.012,0.81022736988417,1.9984014443252818e-15,7.216449660063518e-15,1.0769163338864018e-14,1.099120794378905e-14,5.329070518200751e-15,3.6637359812630166e-15,2.9976021664879227e-15,3.1086244689504383e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,2.4424906541753444e-15,1.3322676295501878e-15,7.771561172376096e-16,1.1102230246251565e-15,4.440892098500626e-16,5.154691084836667e-15
0.013,0.875211919923003,5.662137425588298e-15,1.8096635301390052e-14,2.919886554764162e-14,2.9753977059954195e-14,1.4988010832439613e-14,9.992007221626409e-15,8.659739592076221e-15,8.548717289613705e-15,9.43689570931383e-15,9.2148511043888e-15,8.659739592076221e-15,6.217248937900877e-15,3.6637359812630166e-15,2.1094237467877974e-15,2.886579864025407e-15,1.7763568394002505e-15,1.397380639852835e-14
0.014,0.9398222786948177,2.886579864025407e-15,1.0325074129013956e-14,1.7985612998927536e-14,1.8207657603852567e-14,8.43769498715119e-15,5.218048215738236e-15,4.218847493575595e-15,4.551914400963142e-15,5.10702591327572e-15,4.9960036108132044e-15,4.551914400963142e-15,3.6637359812630166e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.5543122344752192e-15,6.661338147750939e-16,8.016258584933967e-15
