Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07034522452642075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1402708950298211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.20978075381565908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.27887849881422927,1.5543122344752192e-15,3.1086244689504383e-15,2.9976021664879227e-15,3.1086244689504383e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.1102230246251565e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.1175230122665567e-15
0.005,0.34756778423645324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.41585222121807475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.48373537845249764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5512207828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6183119199610516,5.551115123125783e-16,2.220446049250313e-15,2.4424906541753444e-15,2.220446049250313e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.162238234057864e-15
0.01,0.6850122349514564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7513251328170378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.8172539791505792,4.3298697960381105e-15,1.0658141036401503e-14,1.0769163338864018e-14,1.021405182655144e-14,4.884981308350689e-15,4.440892098500626e-15,4.551914400963142e-15,4.884981308350689e-15,4.3298697960381105e-15,3.4416913763379853e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.887379141862766e-15,1.6653345369377348e-15,8.881784197001252e-16,8.881784197001252e-16,6.503431331075757e-15
0.013,0.8828021006737248,9.658940314238862e-15,2.609024107869118e-14,2.6978419498391304e-14,2.3869795029440866e-14,1.1657341758564144e-14,1.021405182655144e-14,1.0658141036401503e-14,1.1435297153639112e-14,1.0103029524088925e-14,8.215650382226158e-15,7.438494264988549e-15,6.439293542825908e-15,5.10702591327572e-15,3.774758283725532e-15,2.6645352591003757e-15,2.886579864025407e-15,1.557865007329131e-14
