Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04975758756729811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09921841019880717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1483851149554014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19726031750988146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2458466026108375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.29414652453831047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.34216260755142025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.389897346328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4373532063972736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.48453262456310686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5314380093223621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5780717412741313,9.992007221626409e-16,1.6653345369377348e-15,3.552713678800501e-15,3.9968028886505635e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.3322676295501878e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.4219695598683172e-15
0.013,0.6244361735226179,2.1094237467877974e-15,3.1086244689504383e-15,5.88418203051333e-15,6.5503158452884236e-15,3.552713678800501e-15,3.774758283725532e-15,3.4416913763379853e-15,3.9968028886505635e-15,3.885780586188048e-15,2.9976021664879227e-15,2.55351295663786e-15,1.6653345369377348e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.2212453270876722e-15,6.661338147750939e-16,2.780434370733089e-15
0.014,0.6705336320729367,0.0,0.0,1.3322676295501878e-15,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.068191925643768e-16
0.015,0.7163664162200957,0.0,2.220446049250313e-16,1.3322676295501878e-15,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.259097601457467e-16
0.016,0.7619367989312977,2.7755575615628914e-15,4.551914400963142e-15,7.993605777301127e-15,9.880984919163893e-15,5.440092820663267e-15,5.329070518200751e-15,4.773959005888173e-15,5.10702591327572e-15,5.551115123125783e-15,4.3298697960381105e-15,3.3306690738754696e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.4432899320127035e-15,8.881784197001252e-16,3.914137487359257e-15
0.017,0.8072470272216937,1.4432899320127035e-15,2.3314683517128287e-15,5.551115123125783e-15,5.995204332975845e-15,3.3306690738754696e-15,3.219646771412954e-15,3.1086244689504383e-15,3.552713678800501e-15,3.552713678800501e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.4432899320127035e-15,7.771561172376096e-16,8.881784197001252e-16,7.771561172376096e-16,4.440892098500626e-16,2.3806897068597484e-15
0.018,0.8522993225237192,1.7763568394002505e-15,3.219646771412954e-15,7.216449660063518e-15,7.993605777301127e-15,3.885780586188048e-15,3.774758283725532e-15,3.552713678800501e-15,4.107825191113079e-15,4.218847493575595e-15,3.219646771412954e-15,2.6645352591003757e-15,1.887379141862766e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.2212453270876722e-15,6.661338147750939e-16,2.995879495840559e-15
0.019,0.897095881050142,1.7763568394002505e-15,3.219646771412954e-15,6.994405055138486e-15,7.66053886991358e-15,3.885780586188048e-15,3.774758283725532e-15,3.552713678800501e-15,4.107825191113079e-15,4.107825191113079e-15,3.219646771412954e-15,2.6645352591003757e-15,1.887379141862766e-15,9.992007221626409e-16,1.1102230246251565e-15,1.2212453270876722e-15,6.661338147750939e-16,2.9536523983503476e-15
0.02,0.9416388741509435,1.3211653993039363e-14,2.5091040356528538e-14,5.2735593669694936e-14,6.45039577307216e-14,3.4083846855992306e-14,3.086420008457935e-14,2.853273173286652e-14,3.141931159689193e-14,3.3084646133829665e-14,2.475797344914099e-14,2.120525977034049e-14,1.4099832412739488e-14,8.548717289613705e-15,8.43769498715119e-15,8.43769498715119e-15,6.106226635438361e-15,2.3510738254240856e-14
0.021,0.9859304486641581,5.9015448083954425e-09,1.1390751231132867e-08,2.5111027590618562e-08,3.110351654012078e-08,1.579432906684275e-08,1.40345860488722e-08,1.29387837111139e-08,1.4211945953412908e-08,1.515739966873042e-08,1.137351857138924e-08,9.73963865114058e-09,6.354239023842467e-09,3.890468058820318e-09,3.852931529380044e-09,3.732007147760896e-09,2.804165455394525e-09,1.0847908184389626e-08
0.022,1.0299727272607881,0.017951348829189473,0.03413756958431058,0.07220992023534012,0.08804936507780303,0.04673607083731435,0.042031823967797366,0.03885822074730738,0.042509852397846104,0.04512159521538761,0.03398692789584168,0.02921376364851147,0.01919118900622263,0.011818119537060134,0.011715674447891344,0.01130243792640584,0.0084609794918582,0.03211872758444948
0.023,1.0737678087839104,0.04477651756808243,0.08339359355981935,0.16692457157710294,0.19959315387578636,0.11221561438388505,0.10245158092618001,0.095082012555611,0.10345702813319158,0.1091466394152627,0.08273188460510461,0.07148522536997826,0.047432502097276896,0.029455263875405535,0.029236017302667117,0.028066501907276664,0.02091420127363197,0.07727329322762203
0.024,1.1173177685820896,0.07177162735865461,0.13106043225553166,0.2497115883461115,0.2937198991612664,0.17358067022282297,0.1604705914749317,0.149467610775589,0.16184618307666254,0.16986697596952227,0.12964165622724322,0.11257089213538274,0.07543102695478643,0.047229735694028,0.04692762558490937,0.04487276785560668,0.03331310641990293,0.1198946085239999
0.025,1.1606246588372093,0.09860992388387857,0.17674083019788855,0.32220334622552205,0.3737170561705292,0.23067019156713942,0.2154877877448821,0.201397951279215,0.21712436424649417,0.22688045385368683,0.1743988418003991,0.1521412935000429,0.10292871298114614,0.06496949576062405,0.0646138150058837,0.06158843046684037,0.045584706698178934,0.15993549861196985
0.026,1.2036905088868275,0.1250612712783552,0.2202223176846041,0.3858659173570771,0.44217052158644077,0.2835265290799217,0.26720424763433903,0.2505373683048385,0.269028983628,0.2800498523430669,0.21684997871939649,0.19001135277794046,0.12975525551841038,0.08255215845596864,0.08216878945410655,0.07812125102157896,0.057680686935638104,0.19744277976714827
0.027,1.2465173255411657,0.15096870665921014,0.2614181583121985,0.4419678011708298,0.5011221124728085,0.332316735149603,0.31552780317166274,0.29674598389871054,0.31749340867418396,0.3294098304772365,0.2569534497842022,0.22609715172875988,0.15580481408499358,0.09989294569518414,0.09950502708213638,0.09440890465735641,0.0695703558443228,0.23252049964549745
0.028,1.289107093394834,0.17622900542615105,0.3003244225876157,0.49158693028340794,0.5521932450450961,0.37727673051203614,0.36050004763724164,0.3400136931146137,0.36257633198029104,0.3750996346656347,0.2947402640154958,0.2603827565807042,0.18101735355991388,0.11693468842608301,0.11656300984792489,0.1104105625581957,0.08123532302629355,0.2653040046433893
0.029,1.3314617751333948,0.2007777252268148,0.33698999744598734,0.5356320213585186,0.5966803757295387,0.4186743480603998,0.40224435973487893,0.38041261496565126,0.40441215035194367,0.4173171977623812,0.33028631428409316,0.29289631009054495,0.20536468487870763,0.13364014502414312,0.13330341051193473,0.12610062680967316,0.09266566521656983,0.2959427569526495
0.03,1.3735833118348626,0.22457812441786007,0.3714961159883332,0.5748672807825679,0.6356278984525703,0.4567860809732378,0.44093048119325784,0.4180642027123074,0.4431774503070174,0.4562890366912369,0.3636934699659522,0.32369340459197515,0.22884039223594976,0.14998632549947666,0.149701351392596,0.14146420830221984,0.10385723198405417,0.32458947557715195
0.031,1.41547362326624,0.24761310663784397,0.4039425904436459,0.6099358387198694,0.6698836051823183,0.4918831393675631,0.4767511103040879,0.4531171004188823,0.4790690106817732,0.49225113251654273,0.3950770119228201,0.35284577040763665,0.2514527030702626,0.16596037861923452,0.1657422567197343,0.15649391104887456,0.11480977435398598,0.3513935819321234
0.032,1.4571346081751828,0.2698794164817949,0.43443865799364845,0.6413802727342294,0.7001409078872336,0.5242235827217268,0.5099068424551734,0.48573255133312987,0.5122897315122895,0.5254371849642376,0.42455745503648945,0.380433700317105,0.27321949210126706,0.18155663764212693,0.1814188778041147,0.17118755942003572,0.12552565104725777,0.37649747054071153
0.033,1.4985681445768884,0.29138347019340427,0.4630969647155556,0.6696599107661109,0.7269710999665997,0.5540483079720042,0.5405967601752975,0.5160749868178032,0.5430398946176508,0.5560717106989042,0.45225534347162866,0.4065410472588231,0.29416479988042843,0.19677450427914067,0.1967291630231428,0.1855465937828672,0.13600893489698995,0.40003458649697515
0.034,1.539776090036298,0.31213836107131754,0.49002967273661935,0.6951651437984917,0.7508481436987595,0.5815794241274674,0.569012781817966,0.544306116629344,0.5715119560101598,0.5843662708736747,0.47828803470173464,0.4312519747827015,0.31431641531654897,0.21161693243593216,0.21167473071305598,0.19957493649615898,0.14626479527708458,0.42212863225625374
0.035,1.5807602819457018,0.332161705849505,0.515346000077802,0.718229157823373,0.7721678415519504,0.607020062541322,0.5953364773417755,0.5705813608088588,0.5978876489114647,0.6105176887818968,0.5027678020166826,0.4546488936774673,0.3337042027842987,0.2260893395733885,0.22625977126253205,0.21327818846714053,0.15629907097120577,0.44289346213119946
0.036,1.621522537797834,0.35147409345220304,0.5391507252884385,0.7391375168109727,0.7912627704316646,0.6305550167643179,0.6197374819861173,0.5950478330697713,0.6223365791044342,0.6347075094588754,0.5258008037897082,0.47681119765047564,0.352358950070097,0.2401988231264931,0.24049025518482126,0.22666305851432833,0.16611797482937973,0.46243338051619093
0.037,1.6620646554545457,0.37009796644340776,0.5615433398753065,0.7581359885897845,0.8084140013811345,0.6523518306849008,0.6423729281587482,0.6178433414515061,0.6450157685082639,0.6571022138083312,0.5474866167381027,0.49781453477238236,0.3703115810960781,0.2539535951965146,0.25437336011127576,0.2397369573352529,0.17572789000613154,0.4808436633109812
0.038,1.7023884134111313,0.3880568145356791,0.5826176333879785,0.7754369469572937,0.8238603645850974,0.6725620984894298,0.6633875114129775,0.639096046657422,0.6660697871445487,0.6778538719335366,0.567918130846305,0.5177304358829126,0.38759262458415744,0.2673625740794804,0.2679170551631682,0.25250770841503534,0.18513523012869282,0.49821118919034174
0.039,1.7424955710564014,0.4053745941640181,0.6024615648065736,0.7912246243663171,0.8378058267994208,0.6913228325778615,0.6829139374601123,0.658924536864804,0.6856312367739191,0.6971010333611365,0.5871816710314024,0.5366261785310745,0.4042318625812007,0.2804350890211992,0.28112979905059865,0.2649833424297118,0.1943463442827057,0.5146151107063998
0.04,1.7823878689285717,0.4220753125587994,0.6211573204646117,0.8056594371464905,0.8504254068791683,0.7087578144079041,0.7010735846483673,0.6774381577768251,0.7038214314898299,0.7149697258287284,0.6053572558248719,0.5545648039653015,0.420258105477035,0.2931806671077227,0.29402032078669116,0.27717195155016994,0.2033674535273141,0.5301275230320829
0.041,1.8220670289670529,0.4381827320102639,0.6387814904245517,0.8188815612836436,0.8618699509546001,0.7249788803677008,0.7179772746022102,0.6947374906782997,0.7207511751029488,0.731574482631259,0.6225189336593535,0.5716052311578126,0.4356990559264916,0.3056088800078106,0.3065974607161841,0.2890815869038946,0.2122046096443191,0.5448141059182606
0.042,1.8615347547602135,0.45372016225867506,0.6554053168731071,0.8310139010079158,0.8722700118024086,0.7400871179866071,0.7337260824507994,0.7109149077018178,0.7365215713899403,0.7470193499971451,0.6387351577073739,0.5878024298832469,0.4505812350931673,0.31772923450572665,0.31887005577669414,0.3007201872413374,0.22086366958013925,0.5587347256969016
0.043,1.9007927317891942,0.4687103176716847,0.6710949829615707,0.8421645637766473,0.8817390196902299,0.7541739621003152,0.7484121437705871,0.7260551581098932,0.7512248273156645,0.7613988463762618,0.6540691739033354,0.6032076271948801,0.46492995234606904,0.3295510951803773,0.33084685732507846,0.31209553022217185,0.2293502809515532,0.5719439912200858
0.044,1.9398426276678449,0.4831752221289737,0.6859119207536072,0.85242893245724,0.8903758891118526,0.7673221892136164,0.7621194323562523,0.7402359559914735,0.7649450252282505,0.7747988586631587,0.6685794059802641,0.6178685300835145,0.47876930497422,0.3410836307420223,0.3425364730138366,0.32321520012118166,0.2376698753231571,0.5844917619717384
0.045,1.978686092378855,0.4971361490494989,0.6999131240171242,0.8618914074766972,0.8982671735415588,0.7796068133220451,0.774924494103634,0.7535285509418276,0.7777588504745282,0.78729746874176,0.682319827530286,0.6318295528976415,0.49212219833199067,0.35233577780509107,0.3539473264683346,0.33408656745250076,0.245827666905452,0.5964236091916729
0.046,2.0173247585061516,0.5106135872742723,0.713151456493875,0.8706268774330982,0.9054888558476,0.7910958891936776,0.7868971295664949,0.7659982707865328,0.7897362676916155,0.7989657089623357,0.695340315231985,0.6451320420829045,0.5050103795661371,0.36331621751491927,0.365087630154617,0.34471677722928995,0.2538286549890437,0.6077812323370787
0.047,2.055760241463629,0.5236272259112762,0.7256759496709451,0.8787019653619984,0.9121078433076726,0.8018512304301848,0.7981010224256729,0.7777050304017183,0.8009411434044502,0.8098682483296122,0.7076869801373107,0.6578144935306202,0.5174544800332277,0.37403336163871637,0.37596536802068936,0.3551127434551683,0.2616776289055407,0.6186028339822853
0.048,2.09399413972028,0.5361959530072785,0.7375320864213819,0.8861760888804611,0.9181832217991677,0.8119290500712735,0.8085943140491706,0.7887038039732952,0.8114318153068091,0.8200640130075013,0.7194024757202302,0.6699127596955445,0.5294740629215106,0.38449534560354615,0.38658828536782186,0.3652811480818212,0.26937917464611505,0.6289234565879935
0.049,2.132028035021796,0.5483378642099355,0.7487620684933485,0.8931023652911404,0.9237673126209681,0.8213805314309314,0.8184301261061017,0.7990450601717523,0.8212616102681587,0.8296067457045331,0.7305262825605329,0.6814602449172382,0.5410876736037187,0.394710026605983,0.39696388405191485,0.37522844313296755,0.27693768251387674,0.6387752846279419
0.05,2.1698634926086964,0.5600702785476437,0.7594050669276569,0.899528387025773,0.928906566750654,0.8302523364817675,0.8276570342171301,0.808775161067477,0.8304793140562923,0.8385455089082215,0.7410949702743274,0.6924880882398772,0.5523128909786629,0.40468498539283215,0.40709942159148316,0.3849608550364402,0.28435735536347073,0.6481879154552581
0.051,2.2075020614310494,0.5714097591737932,0.7694974552252143,0.9054968882353569,0.9336423245643217,0.8385870585768754,0.8363194961424751,0.8179367264285348,0.8391295962427738,0.8469251369936521,0.7511424377480029,0.7030253335985055,0.5631663785887668,0.41442753066502847,0.4170019131134052,0.39448439045781325,0.2916422171099775,0.6571886020940374
0.052,2.244945274359862,0.5823721374608442,0.7790730255758641,0.9110463196546758,0.9380114637078322,0.8464236257053862,0.844458238203043,0.8265689655024746,0.8472533939309534,0.8547866420784458,0.760700132980682,0.713099087613374,0.573663934684074,0.4239447053200882,0.42667813533267207,0.403804843115142,0.29879612128277777,0.6658024708994345
0.053,2.2821946483951683,0.592972539234867,0.7881631887736749,0.9162113458956779,0.9420469535791305,0.8537976598719882,0.852110603620019,0.8347079786055035,0.8548882579266573,0.8621675782226759,0.7697972539572426,0.7227346654693743,0.5838205406808313,0.43324329394570515,0.4361346319613584,0.41292780119250916,0.3058227594682684,0.6740527167703935
0.054,2.319251684870913,0.6032254122469884,0.7967971586341334,0.9210232769123602,0.945778331512668,0.8607417976038133,0.8593108663231914,0.8423870309081964,0.8620686648346874,0.8691023682366746,0.7784609320049758,0.7319557254975282,0.5936504076633726,0.44232983112536706,0.44537772009198173,0.4218586550728711,0.312725669535048,0.6819607783404888
0.055,2.3561178696566527,0.6131445542095765,0.8050021218335183,0.925510443415468,0.949232113059784,0.8672859760376216,0.8660905135715087,0.8496368007728188,0.8688262983599728,0.8756225969993312,0.7867163990626866,0.7407843931499909,0.6031670207224458,0.4512106102286637,0.4544134972137006,0.4306026051873115,0.3195082435714357,0.6895464953244533
0.056,2.392794673356165,0.6227431409005307,0.8128033941367312,0.9296985244092596,0.9524321465885441,0.8734576885346923,0.872478500485995,0.8564856049016604,0.8751903028537125,0.8817572748278921,0.7945871402327227,0.7492413750901847,0.612383181026485,0.4598916924434219,0.46324784860569923,0.4391646698350212,0.32617373549151696,0.6968282499664629
0.057,2.4292835515029894,0.632033753972365,0.8202245639859325,0.9336108337043783,0.9553999206716912,0.8792822133131538,0.8785014793378981,0.862959602424379,0.8811875118935762,0.887533074091576,0.8020950329082915,0.757346064120206,0.6213110455955838,0.46837891587076363,0.47188645491729087,0.4475496928710172,0.33272526828497917,0.7038230943237229
0.058,2.4655859447529815,0.6410284082041784,0.8272876244019615,0.9372685711749177,0.9581548313059819,0.8847828181773227,0.8841840061783116,0.8690829799027341,0.8868426544367232,0.892974541933563,0.8092604736801993,0.7651166356489602,0.6299621647991578,0.47667790455265135,0.4803347997938875,0.45576235119050246,0.3391658408996989,0.7105468649261766
0.059,2.501703279073917,0.6497385780117,0.8340130941131374,0.9406910436298443,0.9607144148432607,0.8899809440585922,0.8895487271483223,0.8748781190747186,0.892178540843375,0.8981042916631541,0.816102494135184,0.7725701363737357,0.6383475176333431,0.4847940773382077,0.48859817744572975,0.4638071619624663,0.3454983347557947,0.7170142861798378
0.06,2.5376369659322036,0.6581752230891733,0.8404201287783939,0.9438958594238858,0.9630945515608436,0.8948963697592455,0.8946165465761076,0.8803657490045017,0.8972162308418473,0.9029431751036208,0.822638866566513,0.7797225658101634,0.646477544857447,0.49273265652293574,0.49668170008499224,0.47168848958276377,0.35172551989666134,0.7232390637263622
0.061,2.573388402476754,0.6663488131012745,0.8465266231184545,0.9468991003126473,0.9653096440149829,0.8995473600054874,0.8994067787519769,0.8855650841544608,0.901975185295758,0.9075104379313954,0.8288862005291173,0.7865889512642126,0.654362180083436,0.500498676216025,0.5045903051787767,0.4794105523298997,0.35785006078721004,0.7292339688336673
