Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.060279575443669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12019963055666005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.179763372160555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2389739690513834,4.440892098500626e-16,1.9984014443252818e-15,2.4424906541753444e-15,2.886579864025407e-15,1.6653345369377348e-15,1.9984014443252818e-15,2.220446049250313e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.887379141862766e-15,1.5543122344752192e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.5021121271719247e-15
0.005,0.29783455256157637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.35634821711198433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4145180207541626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.472346985703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5298380988607595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5869943123300971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6438185439206195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7003136776447877,1.2212453270876722e-15,3.885780586188048e-15,4.6629367034256575e-15,5.10702591327572e-15,2.3314683517128287e-15,2.9976021664879227e-15,3.885780586188048e-15,3.552713678800501e-15,4.107825191113079e-15,3.3306690738754696e-15,2.4424906541753444e-15,1.4432899320127035e-15,7.771561172376096e-16,7.771561172376096e-16,3.3306690738754696e-16,0.0,2.6436311044134738e-15
0.013,0.7564825642059673,2.4424906541753444e-15,6.994405055138486e-15,1.1324274851176597e-14,1.4210854715202004e-14,6.439293542825908e-15,7.327471962526033e-15,8.326672684688674e-15,7.105427357601002e-15,8.548717289613705e-15,6.772360450213455e-15,5.88418203051333e-15,2.9976021664879227e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.2212453270876722e-15,6.661338147750939e-16,5.981213235130396e-15
0.014,0.812328021477927,5.551115123125783e-16,2.3314683517128287e-15,4.107825191113079e-15,4.6629367034256575e-15,1.887379141862766e-15,2.1094237467877974e-15,2.3314683517128287e-15,2.1094237467877974e-15,2.55351295663786e-15,1.9984014443252818e-15,1.7763568394002505e-15,8.881784197001252e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.7846207994513157e-15
0.015,0.8678528349760765,1.2212453270876722e-15,3.885780586188048e-15,4.9960036108132044e-15,6.661338147750939e-15,2.886579864025407e-15,3.774758283725532e-15,4.218847493575595e-15,3.774758283725532e-15,4.3298697960381105e-15,3.1086244689504383e-15,2.7755575615628914e-15,1.4432899320127035e-15,5.551115123125783e-16,5.551115123125783e-16,2.220446049250313e-16,0.0,2.8703386738501554e-15
0.016,0.9230597583206107,7.216449660063518e-15,2.1649348980190553e-14,3.397282455352979e-14,4.574118861455645e-14,2.020605904817785e-14,2.2648549702353193e-14,2.5202062658991053e-14,2.2093438190040615e-14,2.6423307986078726e-14,2.1538326677728037e-14,1.8207657603852567e-14,9.43689570931383e-15,5.440092820663267e-15,5.329070518200751e-15,3.4416913763379853e-15,2.4424906541753444e-15,1.863209470737769e-14
0.017,0.9779515136917222,2.2125634657754745e-12,6.538103392017547e-12,1.0805245587164336e-11,1.4580336937797256e-11,6.247447004170681e-12,6.978195798978959e-12,7.639555654748165e-12,6.715294986747722e-12,8.030243137113757e-12,6.540212815764335e-12,5.592304397339376e-12,2.862488024391041e-12,1.5634160632771454e-12,1.5192291868970642e-12,1.0087486401744172e-12,6.639133687258436e-13,5.720117754043537e-12
0.018,1.0325307922770397,0.015742631530308526,0.04561329097556044,0.07247092228638163,0.09515451012285625,0.04317536043394732,0.04845324029054099,0.05316250447783444,0.04682527891264954,0.0555341624845237,0.04543980775153522,0.03899009880976667,0.02009872798443324,0.011175767481187981,0.0108633901609968,0.0072161639837000635,0.004766603208870346,0.03937243568641672
0.019,1.0868002547114475,0.04255135837859736,0.11937922580367166,0.17946235173340697,0.22731886144980262,0.1118444082669271,0.12607321954249762,0.13848362125450608,0.1224863623564364,0.14348246350721072,0.11840048280847637,0.10221523020981271,0.053413493406840096,0.03047783748786359,0.02963973935206521,0.019722403688049117,0.013098972346721416,0.10135483075135404
0.02,1.140762531509434,0.06922221875547907,0.18826506852178948,0.27059545706385413,0.3334429764938166,0.17536601050481282,0.1979666328705868,0.21726578465061686,0.19307474538732428,0.22371970816744136,0.18625195963675134,0.1617652650187611,0.08579672523923576,0.050048311249866195,0.04869394223146495,0.032476488625712285,0.021683851598152004,0.15801754187952957
0.021,1.1944202234901224,0.09532101458517817,0.251644194163511,0.34852857893433786,0.4201631386263155,0.2336931111737801,0.2637117634454724,0.28884086035275824,0.25794435533318405,0.2959953479260087,0.24860556573107973,0.21719158892152357,0.11697948776373301,0.06957540870452983,0.06772269516914986,0.04529162395544195,0.0303942679889313,0.20951015464584188
0.022,1.2477759021951218,0.1206318981762704,0.30952933880883626,0.41556782854039476,0.4920587181652333,0.2870783910756042,0.3234560273962356,0.35334218688891916,0.31710582339983284,0.3607163943773355,0.30557450284846555,0.26847155140313006,0.14686089105190858,0.08888348286321579,0.08655491223317324,0.058061937395408214,0.039155665434007614,0.25622351678889194
0.023,1.3008321102993452,0.1450574992588547,0.3622170645233257,0.47359817835629425,0.552382618608636,0.33589168903853905,0.37759373637887905,0.4112494306929062,0.370866582694668,0.41854097167707816,0.35749047193150785,0.3157811066825694,0.17542609726160563,0.10787357038885315,0.1050938892996034,0.07072675936298567,0.04792327057023327,0.29861993207902415
0.024,1.3535913620149254,0.16856542383912576,0.4101154322080016,0.5241346273661012,0.6035091260172263,0.3805340517245741,0.42660813064138703,0.46316644903280635,0.4196524811723711,0.4701896062542039,0.40476585431682865,0.359381155680655,0.20270397618865255,0.12649089327035923,0.12328574174164397,0.08325129612477145,0.05666967789766286,0.33715917286392527
0.025,1.406056143488372,0.19115907564172607,0.45366078914690655,0.5683931304161823,0.6472130978121647,0.42139812466736914,0.47099525010224474,0.5097151779166638,0.46392027751301823,0.516360790377641,0.44782734600429297,0.39956067077947144,0.22874486492296342,0.14470673146556,0.1411018232599507,0.09561593539099145,0.06537789014357265,0.37226830839561603
0.026,1.4582289131910946,0.21286137141380013,0.49327835796701613,0.607354211231431,0.6848488661424906,0.458850919198202,0.5112285615453347,0.5514870432461374,0.504115706350359,0.5576962755289745,0.4870848902302587,0.43660844502379625,0.2536086738165956,0.16250802714739543,0.15852865522170978,0.10781015378108028,0.0740372991335867,0.4043315133933906
0.027,1.5101121023034225,0.23370546281185567,0.5293646739078113,0.64181411449937,0.7174682825329094,0.4932274692060279,0.5477440028881897,0.5890229495778154,0.540654598703527,0.5947699837401206,0.5229182442236013,0.47079951800751385,0.2773584548789464,0.1798912561333984,0.17556199599026,0.11982894574977199,0.0826412945633791,0.43368886958085934
0.028,1.561708115092251,0.2537293708267704,0.5622810060118915,0.6724244629094747,0.745900798378055,0.5248297648049781,0.5809352441610158,0.6228073863608659,0.5739157141224004,0.6280879030669362,0.5556723918823121,0.5023892294681125,0.30005692975611586,0.1968587249690399,0.19220326101853857,0.13167067723284898,0.09118580231311724,0.4606390271145257
0.029,1.6130193292824289,0.27297286099715323,0.5923522626076994,0.699722672308257,0.7708091781947111,0.553928166143111,0.6111539668165424,0.6532693345313537,0.6042394669970026,0.6580927927728486,0.5856573407582081,0.5316112526004952,0.3217646568686706,0.21341628706880444,0.20845731679439283,0.14333576853248187,0.09966836991469363,0.4854433100424434
0.03,1.6640480964220183,0.29147562999396626,0.6198685462886522,0.7241552792642061,0.7927291428169877,0.5807638856076902,0.6387124799162556,0.6807862389871803,0.6319295193961584,0.685170676258795,0.6131500018853202,0.5586776786164862,0.3425391209562211,0.22957191106068897,0.2243310990476155,0.1548258729893438,0.10808758324331014,0.5083301381585513
0.031,1.714796742241537,0.30927627289476156,0.6450878822122283,0.7460959201774947,0.8120981470821383,0.6055518247058085,0.6638872849198159,0.7056891423742054,0.6572556525278914,0.7096576645633691,0.6383969559339815,0.5837801168748988,0.3624343459154791,0.2453347728267059,0.23983273700918317,0.1661433591285808,0.11644268880828701,0.5294992585780813
0.032,1.7652675670072997,0.3264117208548112,0.6682393519248839,0.7658592861919573,0.8292766434794663,0.6284834107850896,0.6869228772422116,0.7282680244885951,0.6804570864295235,0.7318464388264649,0.6616174863368263,0.6070912498882366,0.38150080387992236,0.2607146757643065,0.25497099454016936,0.17729098232326412,0.12473334649957679,0.5491255818826445
0.033,1.815462845868972,0.34291696399947735,0.6895262406404675,0.7837120406093473,0.8445640430846802,0.6497292657348588,0.7080354310837393,0.748776888274258,0.7017458220136557,0.7519921153876749,0.6830065662867026,0.6287665404274241,0.3997854891944327,0.27572168015666054,0.2697549129493664,0.18827167678734036,0.13295946669289915,0.5673625630444671
0.034,1.865384829201452,0.3588249471368118,0.7091290072605555,0.7998814295063148,0.8582108656355427,0.669441636618093,0.7274162048972614,0.7674383936872793,0.7213097974869247,0.7703174137963741,0.7027376504522524,0.6489459301839808,0.41733208042672776,0.29036586752769566,0.28419358388074134,0.1990884249760846,0.1411211027851148,0.5843451352363201
0.035,1.9150357429411768,0.3741665691414152,0.7272079945357843,0.8145621273647194,0.8704281057686755,0.6877565688959613,0.7452346060440357,0.7844479756577833,0.7393157685814051,0.7870171424496413,0.7209652100005811,0.6677554486499208,0.4341811452018436,0.30465719299750127,0.29829600691131697,0.20974417725975358,0.14921838063357507,0.6001922338829202
0.036,1.9644177889169674,0.38897074305520796,0.7439058542303348,0.8279217214608495,0.8813945355129567,0.704795828428413,0.7616409057848188,0.7999774502844113,0.7559118846244359,0.8022620583616551,0.7378269958591923,0.6853086950773244,0.4503703613248956,0.3186053953802619,0.3120710026721224,0.22024180443516228,0.15725145281938857,0.6150089584060306
0.037,2.0135331451755176,0.4032644900733021,0.7593496918290137,0.84010513792224,0.8912624563967233,0.7206685904119698,0.7767686218571175,0.8141781453489703,0.7712299648654831,0.8162021724718396,0.7534460387960286,0.7017081808626581,0.46593473882176295,0.332219945275403,0.3255271624577283,0.2305840717164167,0.16522046973180493,0.6288884199693465
0.038,2.0623839663016157,0.41707305064125466,0.7736529497064686,0.8512382384451609,0.9001622727083576,0.7354729181415043,0.7907365975729705,0.8271836040500755,0.7853874952063216,0.8289695734465954,0.7679324060741337,0.7170465329615259,0.48090683425627845,0.34551001811837523,0.3386728217737004,0.24077362672025204,0.173125562098142,0.6419133201997851
