Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05386721288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10741315013916503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1606406774628345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.21355262656126486,1.3322676295501878e-15,1.6653345369377348e-15,2.220446049250313e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,8.881784197001252e-16,7.771561172376096e-16,8.881784197001252e-16,5.551115123125783e-16,0.0,0.0,0.0,1.3990519584872586e-15
0.005,0.26615179566502467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.31844095001964645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.37042282237022534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.42210011343750004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4734754923855891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5245515972815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5753310355469506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6258163844015444,1.4432899320127035e-15,1.6653345369377348e-15,2.55351295663786e-15,3.885780586188048e-15,2.55351295663786e-15,2.220446049250313e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,0.0,0.0,0.0,1.8093119369315838e-15
0.013,0.6760101912993264,2.7755575615628914e-15,4.3298697960381105e-15,6.217248937900877e-15,8.659739592076221e-15,5.662137425588298e-15,5.218048215738236e-15,3.885780586188048e-15,3.4416913763379853e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,1.7763568394002505e-15,1.887379141862766e-15,8.881784197001252e-16,3.3306690738754696e-16,2.220446049250313e-16,4.035706706531685e-15
0.014,0.7259149743570058,1.3322676295501878e-15,1.5543122344752192e-15,2.220446049250313e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,5.551115123125783e-16,0.0,0.0,0.0,1.3965302417296225e-15
0.015,0.7755332227751196,1.4432899320127035e-15,1.6653345369377348e-15,2.55351295663786e-15,3.885780586188048e-15,2.55351295663786e-15,2.220446049250313e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.2212453270876722e-15,8.881784197001252e-16,0.0,0.0,0.0,1.7949839310875863e-15
0.016,0.8248673972519085,5.329070518200751e-15,8.104628079763643e-15,1.2656542480726785e-14,1.709743457922741e-14,1.1657341758564144e-14,9.547918011776346e-15,7.66053886991358e-15,7.327471962526033e-15,6.994405055138486e-15,6.328271240363392e-15,5.218048215738236e-15,3.885780586188048e-15,3.219646771412954e-15,1.1102230246251565e-15,1.2212453270876722e-15,6.661338147750939e-16,7.93682704004962e-15
0.017,0.8739199303901047,3.3306690738754696e-15,5.551115123125783e-15,8.215650382226158e-15,1.199040866595169e-14,7.438494264988549e-15,5.995204332975845e-15,5.10702591327572e-15,4.218847493575595e-15,4.3298697960381105e-15,4.107825191113079e-15,3.552713678800501e-15,2.3314683517128287e-15,1.9984014443252818e-15,9.992007221626409e-16,5.551115123125783e-16,2.220446049250313e-16,5.149669251329728e-15
0.018,0.9226932270967743,6.8833827526759706e-15,1.1657341758564144e-14,1.8318679906315083e-14,2.453592884421596e-14,1.5765166949677223e-14,1.2434497875801753e-14,1.021405182655144e-14,9.325873406851315e-15,9.547918011776346e-15,8.659739592076221e-15,7.327471962526033e-15,5.10702591327572e-15,4.440892098500626e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.0901278913560702e-14
0.019,0.9711896649763483,1.2656542480726785e-14,2.1871393585115584e-14,3.5638159090467525e-14,4.8405723873656825e-14,2.986499936241671e-14,2.3425705819590803e-14,1.8762769116165146e-14,1.7541523789077473e-14,1.787459069646502e-14,1.63202784619898e-14,1.354472090042691e-14,9.325873406851315e-15,7.993605777301127e-15,3.774758283725532e-15,2.9976021664879227e-15,1.9984014443252818e-15,2.0668968467649545e-14
0.02,1.0194115947169813,0.015295730778379868,0.025625115741722992,0.04106459633782544,0.05552008440495537,0.03517968344998601,0.027627613703727016,0.022306732279750996,0.02082219990925893,0.021244802218100545,0.019272947915511263,0.016369564336758402,0.01134395385436604,0.00967268603510485,0.004444820482216061,0.0035165238881378347,0.0026567571009676882,0.024291313161023474
