Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08708429970089732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.17364920994035787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2596993635282458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.345239338339921,3.3306690738754696e-16,1.3322676295501878e-15,2.4424906541753444e-15,3.885780586188048e-15,1.6653345369377348e-15,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,8.846662479308105e-16
0.005,0.4302736581280789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.5148067933202358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5988431618021548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.6823871296875,0.0,1.1102230246251565e-16,4.440892098500626e-16,2.6645352591003757e-15,5.551115123125783e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.964279792225191e-16
0.009,0.7654430120740019,3.3306690738754696e-16,5.551115123125783e-16,2.886579864025407e-15,6.439293542825908e-15,2.1094237467877974e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,1.0412739061498428e-15
0.01,0.8480150737864078,0.0,1.1102230246251565e-16,4.440892098500626e-16,2.6645352591003757e-15,5.551115123125783e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.964279792225191e-16
0.011,0.9301075301064861,3.3306690738754696e-16,6.661338147750939e-16,3.3306690738754696e-15,9.103828801926284e-15,2.1094237467877974e-15,7.771561172376096e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,5.551115123125783e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.3043609721614463e-15
0.012,1.0117245474903476,0.0018704946962752045,0.004354864750661158,0.013386994764362226,0.02909859075884158,0.009386098892943173,0.003375839606413966,0.0022642653461185658,0.002293796213762689,0.0027416070702933615,0.002819614291129424,0.002130621412032019,0.0015051362590572381,0.0010094022100458622,0.0008195000652514439,0.0008108100523778194,0.0005545066047868419,0.005249845945119154
0.013,1.0928702442733398,0.015793411537152413,0.03678101590579652,0.10578534039016618,0.20578693926238745,0.07327128834775465,0.02774468835352073,0.018982116052978282,0.01908172519420903,0.022518682861170758,0.022897386053816526,0.017541344227930633,0.012511928954856977,0.008434691540726624,0.006878105818432734,0.0067289956133282924,0.004572010200199261,0.04080305035254511
0.014,1.173548691362764,0.0312629335216521,0.07248334700846215,0.19507391425951293,0.3458461963687549,0.13483009113649969,0.053635211823287454,0.0373381471920593,0.03727874541565246,0.04348567762774924,0.04379258970631228,0.033984420816066785,0.024463006798491005,0.016573513262350237,0.01354730589764408,0.01311976777052537,0.00886128388869556,0.07498043939442574
0.015,1.2537639129186602,0.0481282901284088,0.1106421339107192,0.2789848402995736,0.45782717883418755,0.19394803665666793,0.08087155699697113,0.05716134658749994,0.056727950380544345,0.06547824745504027,0.06541009142289045,0.05137817502089337,0.037304091395119476,0.02539390179184231,0.020772568536012948,0.019933931648020375,0.013390933972664776,0.10795754542120446
0.016,1.3335198870229008,0.06622280360278099,0.15046179613456812,0.35621611148266474,0.548095271269612,0.2505105995507896,0.10924871520786306,0.07826468169367207,0.07726196894401383,0.08832800404674446,0.08764544373298044,0.06962852960454813,0.05096874828630671,0.03485501917009792,0.028497444818052053,0.02712268198845824,0.018130937364585153,0.13984334222005126
0.017,1.4128205463368222,0.08537653742432305,0.1912271210072729,0.42626067457171046,0.6214210357341048,0.3044129586400036,0.13854409166692438,0.10045727318887321,0.09871413915260607,0.11187262139963594,0.11039161459878677,0.0886351917726127,0.06538358970630609,0.04491094929293116,0.03666808235928365,0.03464130696295531,0.023054884835562617,0.17071446795240092
