Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04852030402791625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09675122254473162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1446953367888999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19235519739130436,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.217654993233813e-16
0.005,0.23973332482758622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2868322098624755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.333654313986288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.38020206984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4264778816553067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.47248412563106795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5182231503775411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5636972772972972,6.661338147750939e-16,1.6653345369377348e-15,1.9984014443252818e-15,4.218847493575595e-15,2.1094237467877974e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.2212453270876722e-15,7.771561172376096e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.260101358843649e-15
0.013,0.6089088009817132,1.1102230246251565e-15,3.1086244689504383e-15,5.329070518200751e-15,8.881784197001252e-15,3.9968028886505635e-15,3.3306690738754696e-15,2.6645352591003757e-15,2.55351295663786e-15,2.55351295663786e-15,2.3314683517128287e-15,2.886579864025407e-15,1.887379141862766e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.1102230246251565e-15,5.551115123125783e-16,2.628544356504318e-15
0.014,0.653859989596929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6985530852631578,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.217654993233813e-16
0.016,0.7429903044274809,1.4432899320127035e-15,3.552713678800501e-15,6.8833827526759706e-15,1.2323475573339238e-14,5.218048215738236e-15,3.6637359812630166e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.1086244689504383e-15,2.9976021664879227e-15,3.4416913763379853e-15,2.4424906541753444e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.2212453270876722e-15,5.551115123125783e-16,3.209567359907142e-15
0.017,0.7871738382302569,7.771561172376096e-16,1.7763568394002505e-15,3.552713678800501e-15,7.438494264988549e-15,3.1086244689504383e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,1.6926030634209318e-15
0.018,0.831105852865275,1.2212453270876722e-15,3.3306690738754696e-15,5.662137425588298e-15,1.199040866595169e-14,5.10702591327572e-15,3.552713678800501e-15,2.7755575615628914e-15,2.7755575615628914e-15,2.7755575615628914e-15,2.6645352591003757e-15,3.219646771412954e-15,2.1094237467877974e-15,1.887379141862766e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,2.970461873624426e-15
0.019,0.8747884899337748,1.2212453270876722e-15,3.4416913763379853e-15,6.772360450213455e-15,1.4988010832439613e-14,5.329070518200751e-15,3.6637359812630166e-15,2.9976021664879227e-15,2.886579864025407e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.219646771412954e-15,2.3314683517128287e-15,1.887379141862766e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,3.248110070035694e-15
0.02,0.9182238667924528,5.662137425588298e-15,1.2323475573339238e-14,2.5424107263916085e-14,5.440092820663267e-14,2.1760371282653068e-14,1.4210854715202004e-14,1.1546319456101628e-14,1.1546319456101628e-14,1.176836406102666e-14,1.199040866595169e-14,1.27675647831893e-14,8.659739592076221e-15,6.328271240363392e-15,4.551914400963142e-15,3.885780586188048e-15,2.9976021664879227e-15,1.2478801968915118e-14
0.021,0.9614140768955786,6.328271240363392e-15,1.4210854715202004e-14,3.1308289294429414e-14,6.961098364399732e-14,2.6867397195928788e-14,1.7319479184152442e-14,1.3766765505351941e-14,1.3433698597964394e-14,1.4099832412739488e-14,1.454392162258955e-14,1.509903313490213e-14,1.021405182655144e-14,7.327471962526033e-15,5.329070518200751e-15,4.3298697960381105e-15,3.552713678800501e-15,1.5092813596848867e-14
0.022,1.004361190131332,0.0011414569080872017,0.0026628337228719046,0.0060903416773547825,0.01354434223041101,0.005146732112767283,0.003220491654401414,0.0025466354480067066,0.002547237780053724,0.0026554211831353314,0.0027370318114045,0.002913364693454601,0.001933104549764142,0.001332060185992856,0.0009711347531620174,0.0008029303001558796,0.0006716301551872306,0.002863004268791449
0.023,1.047067253152479,0.013113045798573308,0.03036751242241087,0.06562641687826054,0.13515152663940988,0.05570836952253133,0.03598982624710012,0.028786151385545522,0.028690896956819145,0.029622362549260317,0.03016796520551368,0.03226017034406092,0.02169331729470425,0.015139947723663894,0.011123188777501958,0.009098506592706168,0.007547592488506005,0.03123400163472026
0.024,1.0895342897014926,0.026691936105393332,0.061238381712998335,0.1253862968292292,0.24104156405334687,0.10713783431791024,0.07130922320249622,0.05765190134389431,0.057290191283637326,0.05864833609176767,0.05910606272872254,0.06344225291656447,0.04322035941641589,0.030535346827298193,0.02259351191145964,0.01831311539392122,0.0150755984755091,0.06064547932564595
0.025,1.1317643009302325,0.04168187139727597,0.09457440749857604,0.184068578454179,0.3328722709634454,0.15853841646249367,0.1084679761391324,0.08858142479109754,0.08781067243937257,0.08922781768017041,0.08911997237344149,0.0959381645873636,0.06618613376001958,0.04731108323184763,0.03523569264413828,0.02834356051613618,0.023170959954571968,0.09071621082796182
0.026,1.1737592657142857,0.0578523785526005,0.1296332432605839,0.24068386803095188,0.4123733207631144,0.2091272728200857,0.14674721590281536,0.12097887838100807,0.11969066587668509,0.12084714179934519,0.11978606302283745,0.12923310349820127,0.09024269067645807,0.06523035888813178,0.048877697923854546,0.03907237042281386,0.0317422179521869,0.12107186405082583
