Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05551893888334996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11070675089463222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1655663895936571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2201007735177866,2.220446049250313e-16,2.220446049250313e-16,1.3322676295501878e-15,1.6653345369377348e-15,1.3322676295501878e-15,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,5.48256249952387e-16
0.005,0.2743127866995074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3282052791748527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.38178106748286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.43504293515625003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.48799363320350536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5406358805825243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5929723646660213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6450057416988417,1.4432899320127035e-15,1.7763568394002505e-15,2.3314683517128287e-15,4.773959005888173e-15,3.6637359812630166e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.5543122344752192e-15,1.4432899320127035e-15,7.771561172376096e-16,0.0,0.0,0.0,0.0,1.993204198908021e-15
0.013,0.6967386372473533,3.1086244689504383e-15,3.552713678800501e-15,5.88418203051333e-15,9.2148511043888e-15,6.8833827526759706e-15,5.440092820663267e-15,4.218847493575595e-15,4.218847493575595e-15,4.107825191113079e-15,3.3306690738754696e-15,2.55351295663786e-15,1.4432899320127035e-15,9.992007221626409e-16,9.992007221626409e-16,6.661338147750939e-16,2.220446049250313e-16,4.2528296909491466e-15
0.014,0.748173646641075,1.4432899320127035e-15,1.6653345369377348e-15,2.3314683517128287e-15,4.218847493575595e-15,2.7755575615628914e-15,2.220446049250313e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.1102230246251565e-15,7.771561172376096e-16,0.0,0.0,0.0,0.0,1.7834232509266788e-15
0.015,0.7993133354066986,1.4432899320127035e-15,1.6653345369377348e-15,2.3314683517128287e-15,4.3298697960381105e-15,2.886579864025407e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.3322676295501878e-15,7.771561172376096e-16,0.0,0.0,0.0,0.0,1.8434273929620943e-15
0.016,0.8501602396946566,5.88418203051333e-15,6.772360450213455e-15,1.176836406102666e-14,2.1316282072803006e-14,1.4765966227514582e-14,1.0436096431476471e-14,8.548717289613705e-15,8.215650382226158e-15,8.43769498715119e-15,6.661338147750939e-15,5.218048215738236e-15,2.9976021664879227e-15,1.887379141862766e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.1102230246251565e-15,8.68363848275866e-15
0.017,0.9007168666983826,3.9968028886505635e-15,4.3298697960381105e-15,7.993605777301127e-15,1.4876988529977098e-14,9.880984919163893e-15,7.438494264988549e-15,5.773159728050814e-15,5.551115123125783e-15,5.88418203051333e-15,4.440892098500626e-15,3.6637359812630166e-15,2.220446049250313e-15,1.1102230246251565e-15,9.992007221626409e-16,1.1102230246251565e-15,3.3306690738754696e-16,5.914387021805882e-15
0.018,0.9509856950664137,1.0658141036401503e-14,1.1879386363489175e-14,2.098321516541546e-14,4.18554080283684e-14,2.90878432451791e-14,2.0317081350640365e-14,1.587618925213974e-14,1.5654144647214707e-14,1.5654144647214707e-14,1.2989609388114332e-14,9.992007221626409e-15,5.773159728050814e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.634897172058486e-14
0.019,1.000969175307474,0.0012037018941544186,0.0013023292420029087,0.0023588807181856852,0.004760799513640501,0.0032537766976232785,0.002255291653811997,0.0017335720866391569,0.001707949408143783,0.0017268154798004698,0.001426332208128378,0.0011051179090527663,0.0006436632702424561,0.0003732327505826527,0.00032550720022628266,0.00029837538738120006,0.00021564625891679068,0.0018222925462617924
0.02,1.0506697301886794,0.03983959058014508,0.04311798333620309,0.07510139696975826,0.1408816261395608,0.10078364180388744,0.07228161994696491,0.056494747903389264,0.0555773044189376,0.05588477354371091,0.046111533382827474,0.03601898117014379,0.021224058597947515,0.012399887882266314,0.010851966112572775,0.009902161275930355,0.007128251619676451,0.05787871319650402
0.021,1.1000897551269992,0.07970258170793343,0.08625309749453491,0.1448986118625325,0.25507057502609476,0.18968654320643608,0.14023859616823586,0.1113230790679921,0.10941608157097571,0.10953482455134422,0.09039673233165313,0.07115640797477751,0.042406375110422556,0.024959371912300576,0.021911176068148075,0.019919763482369457,0.014294894298408245,0.1116707320547124
0.022,1.149231618574109,0.11952275991851702,0.12928560223779173,0.21014913461774543,0.3502450794259361,0.2691169389828335,0.20434766224667222,0.1645363167003182,0.16164032135662498,0.16124451366855397,0.1332287760394799,0.10563048279964238,0.06364047470080914,0.03772616951338814,0.0332094165788851,0.03010238649390251,0.021550607134670163,0.16224507365300142
0.023,1.1980976623947617,0.15870842063074853,0.1715390806404331,0.2705752765073365,0.43013796068009424,0.33979646644235806,0.26415835025261014,0.21548210264680745,0.2116520533369175,0.2105399488856633,0.17429540819536615,0.13913058898673492,0.08470384219388194,0.050560234710358976,0.044615612430475626,0.040346630645670234,0.028832611002986508,0.2095255035370538
0.024,1.246690202238806,0.19685025535815348,0.21254738508900928,0.3261844388001729,0.4976797116343038,0.4025802408891115,0.31954125714269777,0.26378852807577613,0.25910936565158327,0.25717155699074157,0.21343068818852073,0.17146497567962793,0.10544062014211253,0.06335797679341904,0.05603165561278378,0.050575820037714325,0.03609479019454598,0.2535617901225124
0.025,1.295011527906977,0.23368020335578166,0.25200856874674094,0.377158138107073,0.5551700244139932,0.45834003104884413,0.37057065666673106,0.3092827299523395,0.3038530898840929,0.30104627091496705,0.25057044863150946,0.2025275675862177,0.1257456242085927,0.07604449444505124,0.0673856400865126,0.06073429649206585,0.04330399011294339,0.2944822641318416
0.026,1.3430639037105752,0.2690353419176612,0.2897433530050173,0.4237740281274178,0.6044197875783919,0.5079025087152104,0.4174410656436517,0.3519267555040493,0.3458486323385136,0.3421751733085887,0.285718383174544,0.23227188843980395,0.14555098319258442,0.08856672519354214,0.07862577183328545,0.07078239302324218,0.050436823760392824,0.3324595391995187
0.027,1.3908495688251619,0.3028289770199386,0.32566136504807264,0.4663546033139273,0.646863097720705,0.5520210967234079,0.4604112715398082,0.39177040145928343,0.38514293766261576,0.3806355719656439,0.3189216752488304,0.26069180672972747,0.16481578478984238,0.10088793501929672,0.08971541005944705,0.08069239728110156,0.05747714354239586,0.3676873340913848
0.028,1.4383707376383765,0.33502856799604797,0.359735125147121,0.5052351162092574,0.6836434799249655,0.5913668625581875,0.49976828131023665,0.42891790455281964,0.4218339140324062,0.41654455278089786,0.35025405942412535,0.28780778945281515,0.18351835030900499,0.11298348008460835,0.1006292197475619,0.09044545213365884,0.06441412164972748,0.40036552727188596
0.029,1.4856296000919964,0.3656393102229105,0.3919806109635785,0.5407444865926324,0.7156795253976247,0.6265294921445448,0.5358049241251999,0.4635050321574774,0.4560492806289652,0.450041007356752,0.37980430290819944,0.3136572779691117,0.20165058307998562,0.12483761936011772,0.11135025796816522,0.10002922844177231,0.07124082228292616,0.43069093264098496
0.03,1.5326283220183488,0.3946921160716378,0.42244301025659614,0.573194653688829,0.7437146997741088,0.6580231262630587,0.5688065020735803,0.4956836482624477,0.4879322291040432,0.4812736758480626,0.4076685058799546,0.33828803382475836,0.2192138750006617,0.13644114334867807,0.12186779305984963,0.10943619599268495,0.07795314967851452,0.4588519029499432
0.031,1.5793690454711804,0.4222349052592036,0.45118641308517526,0.6028752549576709,0.768355194394277,0.6862941518327925,0.5990432995144135,0.525611519775144,0.5176318892601028,0.5103933630593506,0.4339450417202436,0.36175358245801825,0.23621615596189127,0.14778961774874455,0.1321756802553009,0.1186623440668726,0.08454907556208324,0.48502542807700866
0.032,1.6258538890510954,0.44832634181692377,0.47828643180567243,0.6300515736694567,0.790098812189908,0.7117293984920516,0.6267668129543871,0.5534457394890137,0.5452971292198238,0.5375480082684256,0.4587313017936715,0.3841101235018697,0.2526697719120824,0.15888208379692015,0.14227115303337678,0.12770623517481694,0.09102807175098804,0.5093758237106535
0.033,1.6720849482256601,0.4730313624500002,0.5038249698228927,0.654964428094561,0.8093571398582688,0.7346639649880108,0.6522082953204522,0.5793386177761892,0.571072644875152,0.5628796858340388,0.4821216644895976,0.4054144608381465,0.2685899608724378,0.16972009569095126,0.15215392288819263,0.1365683042224044,0.0973906926604472,0.5320544097076999
0.034,1.7180642956442835,0.49641800959068516,0.5278865552020908,0.6778311611147447,0.8264726805178488,0.755388329435108,0.6755787016778756,0.6034352436848186,0.5950966068217133,0.5865228995873414,0.5042062894985675,0.425722639571657,0.2839937600140616,0.18030700647217446,0.16182550747293678,0.14525033827638623,0.10363826731572756,0.5531997847591792
0.035,1.7637939814479644,0.5185552118017205,0.5505558080136748,0.6988472054582364,0.8417321862873168,0.7741546286692036,0.6970694497594105,0.6258721638069733,0.6174993570358587,0.6086037347552182,0.5250704643362387,0.4450890719579593,0.29889922381251643,0.19064743728441014,0.17128872802733786,0.153755089445625,0.10977267154218862,0.5729384427117743
0.036,1.8092760335740072,0.5395112506687336,0.5719157257166864,0.7181879029666007,0.8553771086575996,0.7911821108688791,0.716853622335567,0.6467768003465344,0.6384028049689112,0.6292395701240825,0.5447943168190513,0.4635660006232616,0.31332486714317154,0.20074688235175753,0.18054733262796918,0.1620859861900521,0.11579615907516339,0.591385567611242
0.037,1.854512458055806,0.5593527242165738,0.5920465564610996,0.7360103855281673,0.8676118485091131,0.8066618221594077,0.7350873774418936,0.6662673496607772,0.6579202823104373,0.6485391486404126,0.5634527665458444,0.4812031935078136,0.3272892714018988,0.21061141475790035,0.18960571329428688,0.17024691769551192,0.12171123615595247,0.6086459047433683
0.038,1.899505239317774,0.5781438685933074,0.6110250929701122,0.7524554067687579,0.8786103147411599,0.820760610512406,0.7519114224358412,0.6844529851545608,0.6761566915822728,0.6666028700249982,0.5811156290161796,0.4980477969656779,0.3408108090219104,0.22024746737729406,0.1984686933829255,0.178242072717389,0.12752056836926906,0.6248146442612421
0.039,1.9442563404655329,0.5959461373617898,0.6289242654745366,0.7676490644264025,0.8885211736478764,0.8336245349894884,0.7674524657851345,0.7014342452128377,0.6932088361896279,0.6835232136729952,0.5978478137696415,0.5141442956959302,0.3539074541030195,0.22966167004566973,0.2071413678324503,0.18607581920060456,0.13322691149197763,0.6399782795216411
0.04,1.9887677035714288,0.6128179650575811,0.6458129455170109,0.7817043846458873,0.8974720777853347,0.8453817642398477,0.7818245975532196,0.7173035258775887,0.7091658557766403,0.6993852306434383,0.613709576935975,0.5295345436755647,0.3665966557098408,0.23886072896379984,0.21562898330024516,0.1937526145472469,0.13883306029850462,0.6542154187270609
0.041,2.0330412499554766,0.6288146615402535,0.6617558966983665,0.7947227583416342,0.9055730939652746,0.8561450400924856,0.7951305730400008,0.7321456247558087,0.724109715723583,0.7142670643840863,0.6287568016176492,0.5442578410906648,0.378895256749611,0.24785133791402503,0.22393684851691498,0.20127693900193333,0.14434181084503284,0.6675975389963155
0.042,2.077078880461812,0.6439883981394776,0.6768138260852384,0.8067952308612079,0.9129194985731977,0.8660137727339153,0.8074629887175622,0.7460383010044325,0.7381157168492034,0.7282404740480767,0.6430412884698371,0.5583510398494969,0.3908194459277009,0.256640113500594,0.23207026760081162,0.2086532465290477,0.149755932903191,0.6801896786155387
0.043,2.1208824757307356,0.6583882571635632,0.6910435028463467,0.8180036523563405,0.9195940698842128,0.8750758246916788,0.8189053485757201,0.759052828798912,0.7512530032371376,0.7413713439249288,0.6566110449802195,0.5718486655928021,0.4023847336059372,0.2652335485654509,0.24003449086293316,0.2158859289579661,0.1550781500552212,0.6920510673018896
0.044,2.1644538964664313,0.6720603240683485,0.7044979200478998,0.8284216993975081,0.9256689780106568,0.8834090322970853,0.8295330242879584,0.7712545302569423,0.7635850542417292,0.7537201690565836,0.6695105661573414,0.5847830478718448,0.4136059448131346,0.27363797936939493,0.2478346789611926,0.22297929021024587,0.16031112558225513,0.7032356967333658
0.045,2.207794983700441,0.6850478072508845,0.7172264823666075,0.8381157796383742,0.9312073510827051,0.8910825057306868,0.8394141155476242,0.7827032795969553,0.7751701522866078,0.7653425115158294,0.6817811022099085,0.597184452813692,0.4244972244316566,0.28185956319985483,0.25547587725567844,0.22993752819511026,0.16545745273635015,0.7137928349455923
0.046,2.250907559050967,0.6973911745932637,0.7292752074601774,0.8471458315009328,0.9362645794377644,0.8981577422092778,0.8486102183710416,0.7934539742168031,0.786061821838836,0.7762894247597227,0.6934609107515195,0.6090812144627011,0.4350720508880286,0.28990426386849644,0.26296299796179845,0.23676472253737801,0.17051964832878086,0.7237674888565757
0.047,2.29379342497809,0.7091282989410466,0.7406869323688123,0.855566030386163,0.9408894066634576,0.9046895812998217,0.8571771096816014,0.8035569709714705,0.7963092374701545,0.78660784539556,0.7045854923793238,0.620499862305679,0.44534325563805044,0.29777784316514466,0.27030080826052993,0.2434648267364763,0.17550014882307152,0.7332008194076299
0.048,2.3364543650349656,0.7202946069512257,0.7515015189694045,0.8634254121154952,0.9451248463389271,0.9107270266450039,0.8651653564428677,0.8130584876179523,0.805957600585631,0.7963409529293493,0.7151878093470316,0.6314652434158068,0.4553230464494211,0.3054858567902765,0.2774939229512685,0.25004166368345704,0.18040130831388324,0.7421305137701043
0.049,2.378892144115083,0.730923227400082,0.7617560544305364,0.8707684233586096,0.94900895553872,0.9163139544446116,0.872620857236015,0.8220009704637102,0.8150484854741722,0.8055284988262048,0.7252984876187105,0.6420006383001988,0.4650230330141192,0.3130336536342745,0.2845468005573769,0.25649892371212246,0.1852253979185211,0.7505911188726208
0.05,2.421108508695653,0.7410451362577936,0.771485044013505,0.8776354078134718,0.9525754900744032,0.9214897257459073,0.8795853236291707,0.8304234298989158,0.8236201559999863,0.8142071066505343,0.7349460029446935,0.6521278699878439,0.47445425381675255,0.32042637753517,0.29146374204274605,0.26284016455035175,0.18997460621846163,0.7586143402231751
0.051,2.46310518707719,0.7506892967286485,0.7807205945730391,0.8840630359392955,0.955854461656549,0.9262897168531973,0.886096708059402,0.838361745848502,0.8317078546384226,0.8224105452764401,0.7441568518107358,0.6618674062054404,0.48362720347892607,0.32766897084818025,0.2982488914882747,0.2690688126831219,0.1946510404726547,0.7662293096802814
0.052,2.5048838896193777,0.7598827931074257,0.7894925878343886,0.8900846851374256,0.9588726133670558,0.9307457798825869,0.8921895843015559,0.8458489453427575,0.8393440657539486,0.8301699772381144,0.7529557082225027,0.6712384546988208,0.49255186001905926,0.3347661793149842,0.3049062382239939,0.2751881657504216,0.1992567283889508,0.7734628254959257
