Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04681120435692921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09334321664015906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1395985271655104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1855795967193676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2312888569950739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.276728711021611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3219015335847209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.366809671640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4114554447224927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4558411453398058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.49996903937076476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5438413664478764,6.661338147750939e-16,1.2212453270876722e-15,1.887379141862766e-15,2.4424906541753444e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.1102230246251565e-15,5.551115123125783e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0902386309377698e-15
0.013,0.5874603403368623,1.7763568394002505e-15,2.6645352591003757e-15,4.107825191113079e-15,6.217248937900877e-15,3.219646771412954e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.6645352591003757e-15,2.55351295663786e-15,2.3314683517128287e-15,1.4432899320127035e-15,1.1102230246251565e-15,5.551115123125783e-16,8.881784197001252e-16,5.551115123125783e-16,2.5198768374315833e-15
0.014,0.6308281493090211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.673946956507177,0.0,1.1102230246251565e-16,1.2212453270876722e-15,1.4432899320127035e-15,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.655731478687475e-16
0.016,0.7168189003053435,2.1094237467877974e-15,3.219646771412954e-15,6.994405055138486e-15,9.325873406851315e-15,3.774758283725532e-15,3.552713678800501e-15,3.774758283725532e-15,3.552713678800501e-15,3.219646771412954e-15,3.219646771412954e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.3322676295501878e-15,8.881784197001252e-16,1.1102230246251565e-15,5.551115123125783e-16,3.247180781618115e-15
0.017,0.7594460946622265,5.551115123125783e-16,1.4432899320127035e-15,3.219646771412954e-15,3.9968028886505635e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,7.771561172376096e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.3858406483186715e-15
0.018,0.8018306294686907,1.7763568394002505e-15,2.6645352591003757e-15,5.329070518200751e-15,7.771561172376096e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,2.55351295663786e-15,1.5543122344752192e-15,1.2212453270876722e-15,7.771561172376096e-16,8.881784197001252e-16,5.551115123125783e-16,2.7975395439779678e-15
0.019,0.8439745708893094,1.6653345369377348e-15,2.7755575615628914e-15,5.662137425588298e-15,8.992806499463768e-15,3.552713678800501e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.7755575615628914e-15,2.6645352591003757e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.1102230246251565e-15,7.771561172376096e-16,8.881784197001252e-16,4.440892098500626e-16,2.8709729046143406e-15
0.02,0.8858799616981132,5.995204332975845e-15,1.021405182655144e-14,2.3092638912203256e-14,3.275157922644212e-14,1.3100631690576847e-14,1.2101430968414206e-14,1.1879386363489175e-14,1.199040866595169e-14,1.1213252548714081e-14,1.0325074129013956e-14,8.881784197001252e-15,6.217248937900877e-15,4.107825191113079e-15,2.886579864025407e-15,3.774758283725532e-15,2.886579864025407e-15,1.0835335769288277e-14
0.021,0.9275488216086548,3.885780586188048e-15,7.327471962526033e-15,1.587618925213974e-14,2.3092638912203256e-14,8.881784197001252e-15,8.326672684688674e-15,8.215650382226158e-15,8.43769498715119e-15,8.104628079763643e-15,7.327471962526033e-15,6.217248937900877e-15,4.3298697960381105e-15,2.886579864025407e-15,2.220446049250313e-15,2.55351295663786e-15,1.887379141862766e-15,7.562210967357197e-15
0.022,0.968983147598499,1.9539925233402755e-14,3.4083846855992306e-14,7.860379014346108e-14,1.1457501614131615e-13,4.451994328746878e-14,3.907985046680551e-14,3.952393967665557e-14,3.952393967665557e-14,3.7414515929867775e-14,3.430589146091734e-14,2.919886554764162e-14,2.0317081350640365e-14,1.3211653993039363e-14,9.325873406851315e-15,1.2434497875801753e-14,9.325873406851315e-15,3.6326622409969186e-14
0.023,1.0101849142282506,0.005072997379016786,0.008729406362849024,0.02065754950758214,0.03018958101621194,0.011605550353960936,0.010171563369164804,0.0102405029456909,0.01023072605469677,0.00975893669971939,0.009002666750590027,0.007585718824867249,0.005236535586246482,0.003388911705730524,0.0023982754822535757,0.003185903418916669,0.0024372165247824595,0.009470005403031537
0.024,1.051156073955224,0.02649369403405888,0.044963492683961825,0.10063467677046445,0.14120900029011474,0.058287763287964256,0.052204726968338444,0.052700457581068116,0.05240697720019638,0.049638954514933054,0.0456391805272679,0.03871952135469692,0.02702662593234828,0.017641405570889446,0.012528043419574586,0.016491419022344966,0.012545368801948897,0.0473641968944444
0.025,1.0918985574418605,0.04912838436556888,0.08222128841067766,0.17468593296882817,0.23687281781183012,0.10430839430699512,0.09516941561058279,0.09626382158429181,0.09535963759813815,0.08981772772183638,0.08239151380837006,0.07034275524875355,0.049621830370147335,0.03265980972698934,0.02326892481906795,0.030382409908070174,0.022999972055928963,0.08448815823111223
0.026,1.1324142738589982,0.0725985359878436,0.11982800156920093,0.24259466794051499,0.3195481493585579,0.14920651999074808,0.13829885660088004,0.14009247123709534,0.1383390532039378,0.12973136817322983,0.11883449778659771,0.10205418252331244,0.07272092578640921,0.04824791960272701,0.03448204771160446,0.044697817984795885,0.03369513648976907,0.12057344417525688
0.027,1.1727051111840887,0.0965659300444981,0.15723416794442913,0.3044849993505473,0.3912343971456308,0.192623034158535,0.18095211538007105,0.18349254341821375,0.1807341760211273,0.16892704220943688,0.15462229292198015,0.13351867056827127,0.09605916882855337,0.06422737656976318,0.04604153815900436,0.05929482399369834,0.044539353394323355,0.15541786856238196
0.028,1.212772936494465,0.12074287226865832,0.19401394484330414,0.36068013121759857,0.45361208990297475,0.23430217273101717,0.22262783423089272,0.22592472141535969,0.22207673074078493,0.20706264877059544,0.1894904088868743,0.1644706979896544,0.11941465855440503,0.08044337972788818,0.057837995833686984,0.07405171876985561,0.055456289621493626,0.1888835379209141
0.029,1.2526195962557498,0.14489430345439924,0.22985302550512732,0.41160440856202185,0.5080891809972359,0.2740815622187913,0.26295855969285875,0.2669952296533663,0.2620298897610217,0.24389614455259767,0.22324929317055775,0.19471028805495083,0.14260869697273704,0.0967663770313466,0.06977940076379119,0.08886805316950452,0.0663841247187531,0.2208892319965769
0.03,1.2922469166055046,0.16883453933810788,0.26453148591341,0.45771985727702147,0.5558429669356,0.31187642320888165,0.3016938734513025,0.3064361042926348,0.30036876923344125,0.27926965331726106,0.25577335178917127,0.22409459704948365,0.1655022689434723,0.1130909809930527,0.08179025535439144,0.10366299582664273,0.07727398489161197,0.2514000592305757
0.031,1.331656703632205,0.19242125014538813,0.2979056090649109,0.4994877020538271,0.5978572743613746,0.3476624714086637,0.33867923252436904,0.3440817299975618,0.33695856810287683,0.31309243627529404,0.28698863920376616,0.2525279534166829,0.18799066074712711,0.12933338716306197,0.09380978509482829,0.1183728190089518,0.08808800968795016,0.2804167920669506
0.032,1.3708507436496353,0.21554852581757933,0.3298910438748178,0.5373467643240426,0.63495476955332,0.3814601572394263,0.37383491522576207,0.37984600104528854,0.37173386678013787,0.3453251177743042,0.31686118339121594,0.2799521128747331,0.20999760571954562,0.14542822231276542,0.10578979274036282,0.1329481506774598,0.09879740474548326,0.30796625161156027
0.033,1.4098308034667881,0.23814012457308953,0.36044836498614596,0.571702677889554,0.6678245066202684,0.41332140309526955,0.4071373333660422,0.4137022842836514,0.4046807562195067,0.37596624504629816,0.34538688294097697,0.3063376264984963,0.2314697523571455,0.16132538808255525,0.1176925277822739,0.14735136234366952,0.10938067154901077,0.33409331228649586
0.034,1.4485986306533576,0.26014344662614775,0.3895712887328844,0.6029237191969345,0.6970450602547578,0.44331908018578114,0.4386035387011258,0.445666922388964,0.435822281078429,0.40504143335716014,0.37258324978985347,0.3316766395144848,0.25237182255958446,0.17698719104960114,0.12948875606460897,0.16155426664763994,0.11982209192177751,0.35885460534580266
0.035,1.4871559538009054,0.2815244248323807,0.4172773723167351,0.6313404862334655,0.7231037318379272,0.4715389992947757,0.46827894292098493,0.47578621664729903,0.4652070408533816,0.43259491496989366,0.39848291381855905,0.35597711298818313,0.2726825662529646,0.19238587367866955,0.1411561008779434,0.17553617783233633,0.13011047831187983,0.38231375295600123
0.036,1.5255044827797832,0.30226333132262895,0.443600843830644,0.6572476757837677,0.746412372671493,0.49807400775681265,0.4962278904716466,0.5041264629174592,0.4929005151984329,0.4586831329847125,0.4231286504030429,0.3792583085554353,0.292391480295779,0.20750156116349971,0.15267766302563035,0.18928232364370956,0.14023816763120733,0.4045378729109331
0.037,1.5636459089918993,0.3223514083624206,0.4685871709109741,0.6809068879966012,0.767320358911145,0.5230197575579727,0.5225265957936444,0.5307665010327842,0.518978607629279,0.4833699856935595,0.44656965151000505,0.4015473261242485,0.3114961987273248,0.22232059044343688,0.1640408962456491,0.2027825681854194,0.1502002234804336,0.4255950863295784
0.038,1.6015819056193896,0.34178819965935214,0.4922890035689542,0.702549824536554,0.7861252062653942,0.5464717528765476,0.5472579587252027,0.5557922523347326,0.5435229308706919,0.5067233591328671,0.4688587766009371,0.4228764865258915,0.33000044394442496,0.236834168736342,0.17523670245241052,0.21603039638575205,0.1599938096438226,0.44555279081286836
0.039,1.6393141278692929,0.3605794568654396,0.5147631806108635,0.7223815203746933,0.8030812495567708,0.5685233528960866,0.5705078303844782,0.5792927884098973,0.5666174262951733,0.5288126425362264,0.49005055755682225,0.443281375796455,0.3479124325002463,0.25103730579976413,0.1862587095167313,0.22902211200138,0.16961770092040762,0.46447650383393274
0.04,1.6768442132142858,0.3787355083763778,0.5360685475767755,0.7405834166784183,0.8184067461537597,0.5892644743856257,0.5923623772854953,0.60135755709554,0.5883459875490497,0.5497069818115947,0.5101997744969002,0.4627993992148769,0.36524364237599594,0.2649279684505207,0.19710269732384111,0.2417562066965544,0.17907190241412319,0.4824291230435745
0.041,1.714173781629564,0.3962699946292707,0.5562643876374422,0.757316182282538,0.8322897003690731,0.6087807987852307,0.6129062647816876,0.6220744708463584,0.6087908301197209,0.5694740805329515,0.5293604587601551,0.48146872377927574,0.38200786418607524,0.2785064130170899,0.2077661426563252,0.25423286462190275,0.18835735368931084,0.4994704865512112
0.042,1.7513044358259326,0.4131988914226469,0.5754093119817582,0.7727222493846072,0.8448926514542919,0.6271533376335694,0.6322214445136347,0.6415286303685122,0.6280314090426969,0.5881794031346984,0.5475852125746297,0.4993275143870418,0.39822047370778113,0.2917746590167747,0.21824785852608497,0.26645357359522903,0.19747569898162742,0.5156571457397283
0.043,1.7882377614791851,0.4295397583471604,0.5935604925345068,0.786928061682623,0.8563566217005366,0.6444582485191521,0.6503863824262415,0.6598015114404342,0.6461437354543127,0.6058856709312719,0.5649247616607942,0.5164133908069843,0.4138978761230575,0.3047360743663611,0.22854770823818316,0.2784208198492415,0.20642910869038877,0.531042286152182
0.044,1.8249753274558305,0.4453111625705546,0.6107731482860432,0.8000460503569691,0.8668043830329127,0.6607668228977205,0.6674756047730608,0.6769704859925765,0.6631999804633992,0.6226525693843991,0.5814276778584193,0.5327630498492391,0.4290570831151844,0.3173950484561474,0.23866637846014516,0.2901378481937106,0.2152201406518145,0.545675749443611
0.045,1.8615186860352424,0.46053223895387607,0.6271002184164634,0.8121763613925704,0.8763431694587409,0.6761455889121475,0.6835594709669188,0.6931085816505536,0.6792682836583781,0.6385366061771559,0.5971402248249658,0.5484120105966523,0.4437153926028523,0.3297567343823793,0.24860519885854204,0.30160847338285346,0.22385163228531102,0.559604122431358
0.046,1.8978693731282954,0.47522235604765917,0.6425921720786669,0.8234083605948194,0.8850669377206626,0.6906564884484765,0.6987041059766665,0.7082844090297181,0.6944127053168885,0.6535910755447187,0.6121062919278248,0.5633944508841091,0.45789014770889147,0.34182684563121934,0.2583659985120996,0.312836931604924,0.23232661672928856,0.5728708689091218
0.047,1.9340289084925506,0.4894008642715121,0.657296917324615,0.8338219426044722,0.8930582584656036,0.7043570994530268,0.7129714428666215,0.722562204880139,0.7086932776488415,0.6678660961705489,0.6263673905186935,0.577743111065688,0.47159855687620456,0.35361149568001005,0.2679509914118736,0.3238277634614607,0.24064825765010756,0.5855164869470499
0.048,1.9699987959440561,0.503086907859883,0.6712597811660141,0.8434886686542811,0.9003899042321799,0.7173008831194722,0.7264193394173015,0.7360019531960392,0.7221661224947948,0.6814086987636463,0.6399626935524187,0.5914892470546148,0.4848575611612136,0.36511707147692696,0.2773626850126233,0.3345857217117022,0.24881979861510084,0.5975786795394521
0.049,2.005780523565824,0.5162992862630703,0.6845235399047738,0.852472755551055,0.907126187786589,0.7295374417727625,0.739101742663566,0.7486595567972316,0.7348836118538478,0.6942629459514291,0.6529291045586283,0.6046626191087634,0.49768373791303777,0.3763501337126026,0.2866038070943915,0.3451156985381688,0.2568445238487962,0.6090925301856634
0.05,2.0413755639130438,0.5290563538783271,0.6971284842298976,0.8608319358793901,0.9133240941443044,0.7411127777606609,0.7510688825013392,0.7605870395709129,0.7468945542236587,0.7064700719369779,0.6653013457258732,0.617291506217372,0.5100932324949393,0.38731733832117,0.2956772472048753,0.35542266823652413,0.2647257279047057,0.6200906776756496
0.051,2.076785374215091,0.5413759494550004,0.7091125075979886,0.8686182069653833,0.9190342414710997,0.7520695468821308,0.7623674809039718,0.7718327652218647,0.7582443946010125,0.7180686329180386,0.6771120576433197,0.6294027384934076,0.5221017115899944,0.39802537483633893,0.3045860097428631,0.36551164212165566,0.2724666923335912,0.6306034862800082
0.052,2.1120113965743945,0.5532753484315234,0.7205112094285926,0.8758784838428794,0.9243016995377271,0.7624473021798338,0.7730409672494397,0.7824416625382586,0.7689754195656253,0.7290946618764853,0.6883919053109191,0.6410217418964671,0.5337243330858159,0.4084809181550273,0.3133331763598296,0.3753876331313899,0.280070667851661,0.6406592089203544
0.053,2.1470550581622088,0.5647712329467225,0.7313580069044188,0.8826551693904807,0.9291666891710768,0.7722827255540327,0.783129693160505,0.7924554502278249,0.7791269614884311,0.7395818232646989,0.6991696865596102,0.6521725910585998,0.5449757286539937,0.4186905909848895,0.3219218758392238,0.38505562814504724,0.2875408608383885,0.650284141871654
0.054,2.18191777141136,0.5758796754212515,0.7416842508587402,0.8889866529721786,0.9336651819347553,0.7816098458016139,0.792671142377611,0.8019128566046514,0.7887355978179783,0.749561564520349,0.7094724401557398,0.6628780670770003,0.5558699960061777,0.4286609348185195,0.3303552599911098,0.3945205664513759,0.29488042324622243,0.6595027702333243
0.055,2.2166009342060087,0.5866161325022509,0.7515193424989899,0.894907747312527,0.937829415873777,0.7904602424808452,0.8017001327232892,0.8108498310249668,0.7978353427893214,0.7590632623669176,0.7193255517003121,0.6731597179608388,0.566420698479367,0.4383983877212181,0.33863648439684524,0.4037873231263345,0.30209244520050993,0.6683379038812167
0.056,2.2511059300684932,0.5969954468638365,0.7608908486627028,0.9004500719518774,0.941688340406188,0.7988632355476121,0.810249008329002,0.8192997451401658,0.8064578299058052,0.7681143626030289,0.7287528560497891,0.6830379200406369,0.5766408701233698,0.44790926756840943,0.3467686930725,0.4128606963364524,0.3091799497206462,0.6768108039365675
0.057,2.2854341283432964,0.6070318549022509,0.7698246140086067,0.9056423904362232,0.9452680012084825,0.806846061073102,0.8183478210928803,0.8272935828747556,0.8146324842663453,0.776740512622276,0.7377767354372055,0.6925319391169492,0.5865430248679725,0.4571997596440406,0.35475500630453205,0.4217453977840325,0.3161458891127532,0.6849413000032453
0.058,2.3195868843781944,0.616738998791974,0.7783448690714277,0.9105109073764894,0.9485918741187868,0.8144340335878688,0.826024500902859,0.8348601186330784,0.8223866843241331,0.7849656862909811,0.7464182128022545,0.701659990478033,0.5961391686625916,0.4662759077288918,0.36259851105773333,0.43044604566846467,0.32299314267763,0.6927478985621489
0.059,2.3535655397026334,0.6261299417041217,0.78647433349845,0.9150795306411287,0.9516811555905594,0.8216506957402563,0.8333050145557406,0.8420260836560864,0.8297459130223809,0.7928123010842735,0.7546970400779489,0.7104392971815918,0.6054408137272653,0.47514360798022615,0.3703022534718241,0.4389671596628142,0.32972451545119696,0.7002478829939136
0.06,2.38737142220339,0.6352171852515737,0.7942343140726897,0.9193701032029772,0.9545550160055076,0.8285179560354707,0.8402135135742211,0.8488163207358969,0.8367338984997874,0.8003013275707295,0.7626317813527249,0.7188861461948359,0.6144589942462777,0.48380860504134204,0.3778692330558896,0.4473131575038475,0.33634273775255963,0.7074574057445454
0.061,2.4210058462975486,0.6440126884321709,0.8016447973370856,0.9234026085280378,0.9572308211462811,0.8350562154548352,0.8467724713045726,0.8552539276866735,0.8433727447231677,0.8074523914647034,0.7702398909478501,0.7270159421359066,0.6232042829864952,0.4922764899289407,0.38530239826402524,0.45548835287240375,0.34285046536060737,0.7143915731650305
0.062,2.454470113102867,0.6525278875042598,0.808724536785402,0.927195352853951,0.9597243262964309,0.8412844837570663,0.8530028097923551,0.8613603900917333,0.849683052509575,0.8142838685496839,0.7775377865336198,0.7348432584703166,0.6316868084407005,0.5005526993336286,0.39260464319505295,0.46349695430379056,0.34925028017637283,0.7210645235539553
0.063,2.4877655106055507,0.6607737163572791,0.8154911346931378,0.9307651272454477,0.9620498467444577,0.8472204862450945,0.8589240170006824,0.8671557039180199,0.8556840314619099,0.8208129728277689,0.7845409174639247,0.7423818860976608,0.639916272189093,0.5086425160389245,0.3997788052070239,0.47134306491809486,0.35554469125721466,0.7274894989178552
0.064,2.5208933138255034,0.6687606270414082,0.821961118736495,0.9341273519210016,0.9642204078943445,0.8528807617502828,0.8645542549687559,0.8726584886245274,0.8613936033727332,0.8270558382786363,0.7912638285444893,0.7496448793233854,0.6479019662450678,0.5165510702204872,0.40682766327581,0.47903068280057726,0.3617361361319049,0.7336789109418707
0.065,2.5538547849790794,0.6764986102002386,0.8281500135976884,0.937296205008999,0.9662478777056995,0.8582807525461206,0.8699104595176353,0.8778860914014192,0.8668284976598339,0.8330275946228995,0.7977202194709644,0.756644599253251,0.6556527902087337,0.5242833414326066,0.41375393695829654,0.4865637018946658,0.367826982324037,0.7396444016363968
0.066,2.586651173639399,0.6839972152135028,0.8340724077868557,0.94028473760434,0.9681430837855631,0.863434886859289,0.8750084321029371,0.8828546831692772,0.8720043393907819,0.8387424374844508,0.8039230001831204,0.763392754678278,0.6631772680966894,0.5318441611256459,0.42056028584599003,0.49394591329616067,0.37381952902588644,0.7453968990960697
0.067,2.6192837168942553,0.6912655699066559,0.8397420159293028,0.9431049767501257,0.9699159171172682,0.868356654599972,0.8798629243957069,0.8875793469488075,0.8769357304371004,0.8442136933379535,0.8098843423837336,0.7699004405385835,0.6704835647519811,0.5392382155677804,0.42724930941543116,0.5011810068583491,0.37971600887662393,0.7509466687771504
0.068,2.6517536395016617,0.6983123997232762,0.8451717367753762,0.9457680177577423,0.9715754241283452,0.8730586768871855,0.8844877161470736,0.8920741591845613,0.8816363242754166,0.849453879613752,0.8156157274676072,0.776178174067898,0.6775795017658953,0.5464700490683825,0.43382354719855887,0.5082725730347595,0.38551858980824283,0.7563033606692062
0.069,2.6840621540430822,0.7051460462870633,0.8503737071916616,0.9482841070970105,0.9731298885602189,0.8775527698999261,0.8888956868623117,0.8963522645748772,0.8861188949256316,0.8544747603151046,0.8211279910992879,0.7822359287285738,0.6844725728649733,0.5535440674199589,0.4402854792098685,0.5152241049001482,0.3912293769301779,0.7614760527076668
0.07,2.7162104610743807,0.7117744853043713,0.8553593523884732,0.950662716931662,0.9745869043999166,0.8818500035418314,0.893098881777657,0.900425944926409,0.8903954004866309,0.8592873974832371,0.8264313646686172,0.7880831660508925,0.691169958733557,0.5604645414914269,0.44663752657839373,0.5220390003015426,0.3968504144296975,0.7664732907458197
0.071,2.7481997492745256,0.7182053437770777,0.8601394326313211,0.9529126122405299,0.9759534409621147,0.8859607553662866,0.8971085726001119,0.9043066825168821,0.8944770416997218,0.8639021988253226,0.8315355138422934,0.7937288654915231,0.6976785412553388,0.5672356109184608,0.4528820523417548,0.5287205641003232,0.4023836874701061,0.771303125378324
0.072,2.7800311955921053,0.7244459165102641,0.8647240866743624,0.9550419113483006,0.9772359010635672,0.8898947601707369,0.9009353134375451,0.9080052184151339,0.8983743159397202,0.8683289617998253,0.8364495744177365,0.7991815524249005,0.7040049171675398,0.5738612878472233,0.4590213623670444,0.5352720104737938,0.407831124072749,0.7759731458835728
0.073,2.8117059653896637,0.7305031819104995,0.8691228721426287,0.9570581405888352,0.9784401731071668,0.8936611556334908,0.9045889923143253,0.91153160617383,0.9020970670041178,0.8725769144332486,0.8411821856732916,0.8044493243786544,0.7101554111291191,0.5803454606964202,0.46505770636955535,0.5416964652507733,0.4131945969720292,0.7804905115292287
0.074,2.8432252125859248,0.7363838170791905,0.8733448030777511,0.958968283736636,0.9795716777861617,0.8972685243335137,0.9080788786370109,0.9148952612779436,0.9056545310424097,0.8766547531225365,0.8457415213965025,0.8095398756205625,0.7161360882103167,0.5866918979096863,0.4709932790054635,0.5479969682607341,0.41847592543522616,0.7848619804639955
