Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05547607031904288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11062126944333998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16543854865213084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.21993082422924903,2.220446049250313e-16,1.3322676295501878e-15,1.7763568394002505e-15,1.9984014443252818e-15,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.1102230246251565e-16,6.38156805035791e-16
0.005,0.2741009779802956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.32795185774066804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3814862778746328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.43470701976562504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4876168322979552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5402184323300971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.592514505159729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.644507704980695,9.992007221626409e-16,2.220446049250313e-15,3.885780586188048e-15,4.773959005888173e-15,2.220446049250313e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.1102230246251565e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.9368743130107033e-15
0.013,0.6962006553320501,2.4424906541753444e-15,5.551115123125783e-15,8.215650382226158e-15,9.2148511043888e-15,4.551914400963142e-15,3.774758283725532e-15,3.552713678800501e-15,3.3306690738754696e-15,3.219646771412954e-15,2.7755575615628914e-15,2.6645352591003757e-15,1.887379141862766e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,1.2212453270876722e-15,4.071062936844909e-15
0.014,0.7475959495393475,2.220446049250313e-16,1.3322676295501878e-15,1.7763568394002505e-15,1.9984014443252818e-15,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.1102230246251565e-16,6.38156805035791e-16
0.015,0.7986961511483254,7.771561172376096e-16,2.1094237467877974e-15,3.774758283725532e-15,6.328271240363392e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.959092096166827e-15
