Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08239131026919243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.16429122107355867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.24570411555996036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.32663432490118577,1.887379141862766e-15,4.107825191113079e-15,2.9976021664879227e-15,2.220446049250313e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.3071291876312572e-15
0.005,0.4070861290640394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.48706375756385073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5665713902056807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.6456131578125,3.3306690738754696e-16,2.6645352591003757e-15,5.551115123125783e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.869972502798698e-16
0.009,0.7241931429406037,2.3314683517128287e-15,6.661338147750939e-15,3.552713678800501e-15,2.220446049250313e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,2.1094237467877974e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.8026594356258035e-15
0.01,0.8023153805825243,3.3306690738754696e-16,2.6645352591003757e-15,5.551115123125783e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.869972502798698e-16
0.011,0.879983858857696,8.881784197001252e-16,5.662137425588298e-15,2.6645352591003757e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,7.771561172376096e-16,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.5701850261951888e-15
0.012,0.9572025196911197,2.0761170560490427e-14,8.049116928532385e-14,3.9190872769268026e-14,1.709743457922741e-14,1.1879386363489175e-14,1.354472090042691e-14,1.5987211554602254e-14,1.7319479184152442e-14,1.609823385706477e-14,1.2545520178264269e-14,1.1213252548714081e-14,1.1546319456101628e-14,9.43689570931383e-15,5.995204332975845e-15,4.6629367034256575e-15,3.6637359812630166e-15,2.7851725875943306e-14
0.013,1.0339752594802696,0.020756337769540778,0.07913121318493399,0.03931941421978269,0.01668464180119844,0.011636235190713662,0.013252820356277395,0.016083276795408885,0.0173781728199236,0.016122837791893052,0.012616878491115813,0.011345533194072943,0.011645875325247523,0.009536376507155442,0.00610314337128226,0.004713840585703344,0.0035443237843530984,0.02760347929298336
0.014,1.1103059297504798,0.06786347266589243,0.2318954800951667,0.12592771226449873,0.05707978575758943,0.04044243413125215,0.045179938112002604,0.05383428697157122,0.057976794052541636,0.05419489142918388,0.04303732668000304,0.03898527627458903,0.03949915872362553,0.0321919325808635,0.020187779350905433,0.015723409274410405,0.011857974962675821,0.08709416252536147
0.015,1.1861983377990428,0.11508984404483957,0.3555163307006687,0.2083466617555001,0.10062688431382671,0.07248058340002472,0.07964575186879408,0.09330632466215205,0.10015223340395873,0.09424168805236133,0.07586798987972265,0.06919539081694881,0.06934061478727516,0.05631236846249421,0.034660480890742584,0.027199268926932252,0.02057001511575829,0.14325354597679602
0.016,1.2616562473282442,0.16203406980533708,0.45626479001708065,0.28537873144151404,0.14636998159187298,0.10721121273688505,0.11617728874998778,0.13400957962031346,0.14336616867639707,0.1356904925397946,0.11062437342248266,0.10153503440332545,0.10082084200375752,0.08167859817731549,0.04943784038421006,0.03905689783853361,0.02961445763532533,0.19644148875813358
