Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06767753599202393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13495142862823062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.20182527829534191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.26830264268774706,1.3322676295501878e-15,2.220446049250313e-15,3.1086244689504383e-15,3.1086244689504383e-15,2.4424906541753444e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,7.771561172376096e-16,7.771561172376096e-16,0.0,0.0,2.039504825203378e-15
0.005,0.33438703743842363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4000819367387034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4653907739471107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5303169421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5948637949367088,2.220446049250313e-16,4.440892098500626e-16,2.1094237467877974e-15,1.887379141862766e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,6.586646159163712e-16
0.01,0.6590346466019418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7228327730880929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7862614123552123,2.7755575615628914e-15,6.994405055138486e-15,1.0547118733938987e-14,8.104628079763643e-15,5.10702591327572e-15,4.3298697960381105e-15,4.218847493575595e-15,4.551914400963142e-15,4.440892098500626e-15,3.552713678800501e-15,3.1086244689504383e-15,2.1094237467877974e-15,1.3322676295501878e-15,1.887379141862766e-15,0.0,0.0,5.234206419035313e-15
