Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07487301475573281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14929947077534794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22328335123885035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2968285920948617,8.881784197001252e-16,2.6645352591003757e-15,3.552713678800501e-15,3.552713678800501e-15,1.887379141862766e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.1102230246251565e-15,2.220446049250313e-16,0.0,0.0,1.9302856426477083e-15
0.005,0.36993908275862075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4426186667976425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.514871142605289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.5867002640625001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.658109741187926,4.440892098500626e-16,2.1094237467877974e-15,2.886579864025407e-15,2.4424906541753444e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,1.0069402895618484e-15
0.01,0.7291032407766991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7996843870280737,4.440892098500626e-16,2.1094237467877974e-15,2.886579864025407e-15,2.4424906541753444e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,1.0069402895618484e-15
0.012,0.8698567621621622,2.886579864025407e-15,1.0769163338864018e-14,1.765254609153999e-14,1.63202784619898e-14,5.329070518200751e-15,4.551914400963142e-15,4.773959005888173e-15,5.551115123125783e-15,5.551115123125783e-15,4.551914400963142e-15,4.6629367034256575e-15,3.3306690738754696e-15,2.4424906541753444e-15,1.5543122344752192e-15,7.771561172376096e-16,8.881784197001252e-16,7.306427245767397e-15
0.013,0.9396239070259866,1.1435297153639112e-14,4.196643033083092e-14,7.09432512735475e-14,6.150635556423367e-14,2.1760371282653068e-14,1.7541523789077473e-14,1.865174681370263e-14,2.0872192862952943e-14,2.1094237467877974e-14,1.7763568394002505e-14,1.6653345369377348e-14,1.2434497875801753e-14,9.547918011776346e-15,6.106226635438361e-15,3.885780586188048e-15,3.9968028886505635e-15,2.8440525567919384e-14
0.014,1.0089893216890595,0.0034376428524743874,0.013134101370099294,0.022728926603779676,0.019311115107436994,0.006664250404839311,0.005236430383588231,0.00564934919833493,0.006353915772099983,0.006466918156246004,0.005424582933980293,0.0050105653561014485,0.0037496394616320927,0.0028532546285108262,0.0018875910147566621,0.0012415255940492198,0.0013058085197331648,0.008847068902135023
0.015,1.077956466028708,0.030282736559049006,0.1098248948141477,0.17714995903488584,0.15460436322506266,0.05776804162887483,0.04637241264175984,0.049650565590089624,0.0554583724713249,0.05627649577809202,0.04745704679189677,0.044113925008761545,0.03316210544583331,0.02535719368638667,0.01660932081063715,0.010903865832287085,0.011424341328308163,0.07347913584914437
0.016,1.1465287603053436,0.05761616948546555,0.19841726275886706,0.30167619788778566,0.2688943456837638,0.10813744326611363,0.08851661843924652,0.09415515850192524,0.10449777422996298,0.10577299385748529,0.08966171893536945,0.08383575919047381,0.06331647355181136,0.04864825230499903,0.03160623758833436,0.020722054273097146,0.02163746353697993,0.13259055076186052
0.017,1.2147095857278782,0.08517380149297804,0.2787858494315709,0.4032389594953879,0.36557244643588305,0.15730774872479847,0.131056579612001,0.13860719478061811,0.15292580124749866,0.15446632153337425,0.13161297230245417,0.12372463058303751,0.09389062477853793,0.07248423521115333,0.04678179125127968,0.030647971296762666,0.03190600931780552,0.18686353345469484
0.018,1.2825022850094876,0.11272286370412232,0.35116081193284077,0.4868823220189892,0.4475730075484736,0.20492268472849118,0.17345352586593876,0.18251958677443003,0.20027858137811927,0.20194039562966337,0.172940435561882,0.163374059955664,0.1245907298844019,0.09663980800361038,0.062046105857221034,0.040636215543667586,0.0421922251326996,0.23683293881250003
0.019,1.3499101629139074,0.14006479138142558,0.41600592234770195,0.5563579632992166,0.5173512345244824,0.2507127388334668,0.2152480262448616,0.22548351294623414,0.24617948702786718,0.247857374278035,0.21333097661671685,0.20242999461694522,0.155156095097291,0.12091091241542029,0.07731826707185985,0.05064509216712687,0.052460745750284477,0.2829289923270982
0.02,1.416936486792453,0.16703531022497298,0.4739137772791989,0.6145058405936892,0.576935895310142,0.2944849178487883,0.256063878952582,0.26717203449990157,0.2903395101545265,0.29195884451086873,0.2525311908943165,0.24059681259495003,0.18536304661246927,0.14511830351804378,0.09252757845798432,0.06063736880653503,0.06267952368922214,0.32550879669939575
0.021,1.4835844871119475,0.19350267150085465,0.5255289095425932,0.6635072946401893,0.6279967811831455,0.3361145233489454,0.295607332870208,0.30733795345916093,0.33255255374528336,0.33406235580392973,0.2903469934359837,0.277639256633863,0.21502645970795375,0.16910934078755901,0.10761396179199356,0.07058067985888483,0.07282044485289307,0.3648780623229237
0.022,1.5498573579737336,0.21936478908903478,0.5714970402347745,0.7050587588510742,0.6719080296590461,0.37553631297161694,0.33366185660322367,0.34580733035100797,0.37268688001208616,0.3740541412947329,0.32664004659888646,0.313380369442514,0.24399896381686814,0.1927580675134729,0.12252774229750862,0.08044762195415178,0.08285961735424552,0.40130556995172273
0.023,1.6157582576239478,0.24454576503417302,0.6124344960045087,0.7404939526773062,0.7098022672614783,0.41273483911314623,0.3700796985949991,0.3824702747631633,0.41067428543468965,0.41187944226202833,0.36132178205701526,0.34769639403901176,0.27216830635749956,0.21596389310474895,0.13722899314727144,0.09021559474168117,0.09277737102627903,0.43503246772225374
0.024,1.681290308955224,0.26899217125467534,0.6489117429716815,0.7708715838709401,0.7426152891944517,0.44773457717058296,0.4047717221961161,0.4172705064858241,0.4464984750074058,0.4475318605926776,0.3943460705622537,0.38050985161916173,0.2994535204311053,0.23864931165398384,0.15168659421046748,0.09986645493512758,0.10255803541451858,0.4662780742036899
0.025,1.7464566000000001,0.2926693704352864,0.681446192425181,0.7970393735425498,0.7711224226709913,0.48059054544007496,0.4376968112063946,0.4501948695783403,0.4801837753074891,0.48104287651596767,0.42570150098910187,0.41178189346306515,0.32580051376348496,0.26075708728404046,0.16587714272255782,0.10938605482162944,0.11218957292210574,0.49524344477500154
0.026,1.8112601844155845,0.31555807571136874,0.7105007724477592,0.8196814836256452,0.7959679779276685,0.5113799273252382,0.46885177908743225,0.48126359706423505,0.511784923281559,0.5124722844151068,0.4554039772886542,0.44150474819202257,0.35117756874761563,0.28224726176328074,0.17978382697732898,0.11876372817789127,0.12166313647100924,0.52211358966446
0.027,1.875704081961147,0.3376512693869338,0.7364858714954503,0.8393540982176939,0.8176890751380254,0.5401949598546394,0.49826234131505787,0.5105217699923754,0.5413783056130144,0.5418999437693506,0.48349006674092565,0.4696947867213136,0.3755710875075585,0.30309423864701646,0.19339534246714285,0.12799177184530153,0.13097260559348012,0.5470589318837227
0.028,1.93979127896679,0.35895153469622687,0.7597630851305182,0.856512416843678,0.8367349311816674,0.5671371477447866,0.5259754056126478,0.538032141273054,0.5690547521362708,0.569418971706604,0.5100113037243257,0.4963864749518807,0.39898177464027285,0.3232841015486093,0.20670489974772477,0.13706495536882424,0.14011413783315163,0.5702363693556618
0.029,2.0035247287948486,0.37946880624000456,0.7806497745411011,0.8715313361969694,0.8534824903538935,0.5923127260518468,0.55205272200531,0.5638693115387807,0.5949138119778963,0.5951303271870931,0.5350294911013536,0.5216273018586263,0.4214213418796482,0.3428122467630643,0.2197093488177022,0.14598007735972618,0.14908575747093922,0.5917901508322241
0.03,2.0669073522935784,0.39921851382973716,0.7994238346428435,0.8847214377584267,0.8682491120900724,0.6158292208956004,0.5765658055356991,0.5881151384273584,0.6190593463953246,0.6191386394125564,0.5586129417306438,0.5454736548073813,0.4429097455273294,0.3616813557484624,0.2324084272267577,0.15473557686486994,0.15788699230919345,0.6118526755763625
0.031,2.129942038243367,0.4182200777944153,0.8163283243819586,0.8963414472773691,0.8813028887539518,0.6377929300502052,0.5995919790418816,0.6108552115786838,0.6415962344885198,0.6415490922631238,0.580833551148642,0.5679875503703185,0.4634729235354226,0.3798996983288778,0.24480412785973593,0.16333120100582876,0.1665185615473309,0.6305452669165298
