Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.056542029960119644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1127468311133201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1686174114469772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22415674328063243,4.440892098500626e-16,1.6653345369377348e-15,2.1094237467877974e-15,2.1094237467877974e-15,6.661338147750939e-16,6.661338147750939e-16,1.887379141862766e-15,1.4432899320127035e-15,1.7763568394002505e-15,1.4432899320127035e-15,7.771561172376096e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,0.0,0.0,9.187980286793548e-16
0.005,0.27936776379310346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.33425337554027507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.38881644696376105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.443059812890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.49698627502434267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5505986024271845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6038995319941917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6568917689189189,1.2212453270876722e-15,3.774758283725532e-15,4.3298697960381105e-15,4.6629367034256575e-15,2.3314683517128287e-15,1.887379141862766e-15,4.107825191113079e-15,3.774758283725532e-15,3.9968028886505635e-15,3.1086244689504383e-15,1.6653345369377348e-15,1.4432899320127035e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,0.0,2.235740903340519e-15
0.013,0.7095779871511069,1.7763568394002505e-15,6.328271240363392e-15,8.215650382226158e-15,8.659739592076221e-15,3.552713678800501e-15,3.552713678800501e-15,7.327471962526033e-15,6.106226635438361e-15,6.994405055138486e-15,5.440092820663267e-15,3.552713678800501e-15,2.4424906541753444e-15,1.3322676295501878e-15,5.551115123125783e-16,8.881784197001252e-16,4.440892098500626e-16,4.013363476007611e-15
0.014,0.7619608298464492,0.0,1.3322676295501878e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.4058214076403453e-16
0.015,0.8140429098086124,4.440892098500626e-16,1.6653345369377348e-15,2.4424906541753444e-15,3.774758283725532e-15,1.6653345369377348e-15,1.4432899320127035e-15,2.6645352591003757e-15,2.220446049250313e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.2212453270876722e-15,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,1.4153166981164558e-15
0.016,0.8658268099236641,4.218847493575595e-15,1.2545520178264269e-14,1.6986412276764895e-14,1.942890293094024e-14,7.66053886991358e-15,7.771561172376096e-15,1.6653345369377348e-14,1.3433698597964394e-14,1.4765966227514582e-14,1.176836406102666e-14,7.216449660063518e-15,4.218847493575595e-15,2.9976021664879227e-15,1.3322676295501878e-15,1.4432899320127035e-15,8.881784197001252e-16,8.56353078180296e-15
