Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04788271283150549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0954798428827038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1427939374727453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18982751371541504,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.617608507796385e-17
0.005,0.23658305896551726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2830630312573674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.32926985973555345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.375205945078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4208736599123661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.466275349223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5114133307550823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5562898954054054,1.1102230246251565e-15,1.3322676295501878e-15,1.887379141862766e-15,3.552713678800501e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.2212453270876722e-15,5.551115123125783e-16,1.1102230246251565e-16,0.0,0.0,1.4086434366594592e-15
0.013,0.6009073076130895,2.55351295663786e-15,2.886579864025407e-15,3.885780586188048e-15,6.217248937900877e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.219646771412954e-15,3.774758283725532e-15,3.885780586188048e-15,3.219646771412954e-15,2.9976021664879227e-15,2.4424906541753444e-15,1.3322676295501878e-15,1.2212453270876722e-15,8.881784197001252e-16,3.3306690738754696e-16,2.9171304332035713e-15
0.014,0.6452678057389636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6893736024401913,4.440892098500626e-16,5.551115123125783e-16,1.5543122344752192e-15,2.220446049250313e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.1102230246251565e-15,2.220446049250313e-16,0.0,0.0,0.0,1.0288386646510147e-15
0.016,0.733226885038168,2.886579864025407e-15,3.6637359812630166e-15,5.440092820663267e-15,9.658940314238862e-15,5.440092820663267e-15,4.6629367034256575e-15,4.6629367034256575e-15,4.773959005888173e-15,5.329070518200751e-15,4.6629367034256575e-15,4.218847493575595e-15,3.219646771412954e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.1102230246251565e-15,6.661338147750939e-16,4.063639117868268e-15
0.017,0.7768298158801142,1.1102230246251565e-15,1.3322676295501878e-15,1.887379141862766e-15,3.552713678800501e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.1102230246251565e-15,4.440892098500626e-16,0.0,0.0,0.0,1.4104955744719637e-15
0.018,0.8201845326944972,1.9984014443252818e-15,2.7755575615628914e-15,3.774758283725532e-15,7.216449660063518e-15,3.774758283725532e-15,3.3306690738754696e-15,2.9976021664879227e-15,3.6637359812630166e-15,3.774758283725532e-15,3.219646771412954e-15,2.886579864025407e-15,2.3314683517128287e-15,1.2212453270876722e-15,9.992007221626409e-16,8.881784197001252e-16,3.3306690738754696e-16,2.8761532272617733e-15
0.019,0.8632931489403974,1.9984014443252818e-15,2.7755575615628914e-15,3.774758283725532e-15,7.216449660063518e-15,3.774758283725532e-15,3.3306690738754696e-15,2.9976021664879227e-15,3.6637359812630166e-15,3.774758283725532e-15,3.219646771412954e-15,2.886579864025407e-15,2.3314683517128287e-15,1.2212453270876722e-15,9.992007221626409e-16,8.881784197001252e-16,3.3306690738754696e-16,2.8761532272617733e-15
0.02,0.9061577541509435,1.0436096431476471e-14,1.4099832412739488e-14,2.142730437526552e-14,3.6637359812630166e-14,2.0872192862952943e-14,1.687538997430238e-14,1.532107773982716e-14,1.765254609153999e-14,1.9761969838327786e-14,1.8096635301390052e-14,1.6209256159527285e-14,1.1879386363489175e-14,6.328271240363392e-15,4.551914400963142e-15,4.107825191113079e-15,2.7755575615628914e-15,1.5104073881132172e-14
0.021,0.9487804142709314,8.326672684688674e-15,1.1657341758564144e-14,1.7541523789077473e-14,3.064215547965432e-14,1.6653345369377348e-14,1.3433698597964394e-14,1.2101430968414206e-14,1.3877787807814457e-14,1.5654144647214707e-14,1.4099832412739488e-14,1.2545520178264269e-14,9.2148511043888e-15,4.884981308350689e-15,3.774758283725532e-15,3.219646771412954e-15,2.3314683517128287e-15,1.2102290951731789e-14
0.022,0.9911631719887429,1.0236772645111358e-06,1.4175736601229616e-06,2.2273622533042214e-06,3.991232591871174e-06,2.1418856940291775e-06,1.6998894074582438e-06,1.541634313872997e-06,1.7623983009640298e-06,1.9986534495197716e-06,1.81541563815113e-06,1.616830288320159e-06,1.1788890509345507e-06,6.277334089199726e-07,4.4847742486364695e-07,3.9618853475698046e-07,2.87297841738976e-07,1.5408372702334224e-06
