Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.09599923549351945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.19142591093439368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.28628513339940537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.38058194940711465,1.9984014443252818e-15,4.3298697960381105e-15,4.218847493575595e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.2212453270876722e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.5467571774054184e-15
0.005,0.47432134581280794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.5675082506876229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.6601475341821744,5.551115123125783e-16,3.219646771412954e-15,3.219646771412954e-15,6.661338147750939e-16,2.220446049250313e-16,3.3306690738754696e-16,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.2767772275330459e-15
0.008,0.752244009375,5.551115123125783e-16,3.219646771412954e-15,3.219646771412954e-15,6.661338147750939e-16,2.220446049250313e-16,3.3306690738754696e-16,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.2767772275330459e-15
0.009,0.8438024331061343,3.1086244689504383e-15,1.099120794378905e-14,1.0769163338864018e-14,3.6637359812630166e-15,2.1094237467877974e-15,2.220446049250313e-15,2.886579864025407e-15,2.886579864025407e-15,2.9976021664879227e-15,2.4424906541753444e-15,2.220446049250313e-15,2.55351295663786e-15,1.887379141862766e-15,9.992007221626409e-16,6.661338147750939e-16,5.551115123125783e-16,5.141638136893831e-15
0.01,0.9348275067961166,3.4416913763379853e-15,1.3988810110276972e-14,1.4099832412739488e-14,3.885780586188048e-15,1.6653345369377348e-15,1.9984014443252818e-15,3.1086244689504383e-15,3.219646771412954e-15,3.3306690738754696e-15,2.6645352591003757e-15,2.4424906541753444e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.3322676295501878e-15,7.771561172376096e-16,5.551115123125783e-16,6.155703042627697e-15
0.011,1.025323877250726,0.014350956193282749,0.0539968637278051,0.053292190462465916,0.017361935796481487,0.008355064465027429,0.009474831306138909,0.01316876794334143,0.014112539651857325,0.01420231932168492,0.010690039948584529,0.009847345158642051,0.01048323594851075,0.007971808934898017,0.0058586222644101404,0.003767578909858238,0.0026360491064062463,0.024599463179711165
0.012,1.1152961374517374,0.06445340035214742,0.2189731038464129,0.21657268613300618,0.07819539816926113,0.038856236052078885,0.0434827863114724,0.05920360223430332,0.06330321604149247,0.0635365507079585,0.048518711041400486,0.04488770241223783,0.04752190900676645,0.036231884759964306,0.026387415507564738,0.017012741474716986,0.011961317415978723,0.10395028858884722
0.013,1.204748827333975,0.11298665443885703,0.3496229428123062,0.3463144746193797,0.13724034694791976,0.07035136898240546,0.07780090667326289,0.10391435074597621,0.11085771459265603,0.11100022376887753,0.08592250081430008,0.07981699626581706,0.0840757793417033,0.06428413312443726,0.04643766213336875,0.030016711066350066,0.021203886424958407,0.1727376693804628
0.014,1.2936864345489445,0.15999875574685618,0.4544786753910104,0.450686162049763,0.1942919319166141,0.10264283638137905,0.11232410504020596,0.14736988537084783,0.15686001346310674,0.15672734465368832,0.12287742394113432,0.11458500870928434,0.12014759057013114,0.09214773475307014,0.06608759898304706,0.04282961012073094,0.030393180026943023,0.23338043172047704
0.015,1.3821133952153108,0.20546105352282562,0.5395664360783471,0.5355275875601103,0.249105217332098,0.13548671799244205,0.14689458966384128,0.18956135577814603,0.20131307529183184,0.20076564909570593,0.15930215199520503,0.14908911307634842,0.1556803898578779,0.11979467500952601,0.0853794516673344,0.05547930766987241,0.03954328558794873,0.28754540960083275
