Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07280755722831506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14518087455268391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.21712382527254706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2886402367588933,1.6653345369377348e-15,3.4416913763379853e-15,2.7755575615628914e-15,3.219646771412954e-15,1.887379141862766e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.1102230246251565e-15,1.1102230246251565e-15,9.992007221626409e-16,9.992007221626409e-16,3.3306690738754696e-16,4.440892098500626e-16,2.220446049250313e-16,2.1571519766621855e-15
0.005,0.3597338911330049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4304085259332024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5006678347698336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.57051546796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6399550332035052,5.551115123125783e-16,2.55351295663786e-15,2.220446049250313e-15,2.3314683517128287e-15,6.661338147750939e-16,5.551115123125783e-16,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.2196660391747208e-15
0.01,0.7089900961165049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7776241809293319,5.551115123125783e-16,2.55351295663786e-15,2.220446049250313e-15,2.3314683517128287e-15,6.661338147750939e-16,5.551115123125783e-16,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.2196660391747208e-15
0.012,0.845860771042471,4.3298697960381105e-15,1.3655743202889425e-14,1.0769163338864018e-14,1.1213252548714081e-14,5.329070518200751e-15,4.884981308350689e-15,4.9960036108132044e-15,5.10702591327572e-15,4.9960036108132044e-15,3.774758283725532e-15,4.107825191113079e-15,3.1086244689504383e-15,2.886579864025407e-15,1.1102230246251565e-15,1.4432899320127035e-15,9.992007221626409e-16,7.274902404018201e-15
0.013,0.9137033096246391,1.4210854715202004e-14,4.418687638008123e-14,3.519406988061746e-14,3.8413716652030416e-14,1.7763568394002505e-14,1.554312234475219e-14,1.5987211554602254e-14,1.6209256159527285e-14,1.5765166949677223e-14,1.2545520178264269e-14,1.2434497875801753e-14,9.547918011776346e-15,8.992806499463768e-15,4.107825191113079e-15,5.218048215738236e-15,3.885780586188048e-15,2.3814658466071795e-14
0.014,0.9811552001919386,7.662959156107263e-11,2.5269553116658017e-10,2.0326884619947805e-10,2.2092971896370273e-10,9.646805576579709e-11,8.33604296701651e-11,8.726308564632745e-11,8.976552834383256e-11,8.683898045092064e-11,6.890898962552683e-11,6.87565560042458e-11,5.180245121749749e-11,4.9832138415695226e-11,2.399758169957522e-11,3.006739301980588e-11,2.1162738228497346e-11,1.3412658507155476e-10
0.015,1.0482198071770332,0.03539456516670769,0.10962080068358082,0.09010542005596911,0.09812287521001484,0.04470964941965094,0.03879523578991406,0.04031525781546974,0.04135842434245984,0.040039501333201555,0.03200879342857188,0.03201794244243317,0.024216584504279437,0.023243885320681,0.011144871897599828,0.013929463710770529,0.009839613605898578,0.06010145405009079
0.016,1.1149004564885496,0.08274353665597634,0.2367890481279199,0.1993266423124922,0.21694374874440914,0.1045793796761264,0.09138485296710075,0.09417302254601978,0.09626387164650263,0.0932538174181452,0.07524272429427148,0.07551410786199775,0.05744741400134934,0.05500656261580905,0.02625620398281847,0.03270009657211759,0.023196629926469203,0.13506034569127168
0.017,1.1812004360608943,0.12803450419956353,0.3412148718753796,0.2927119498941959,0.31779738593088735,0.16144038936628147,0.14214516175510217,0.145484145118009,0.14822701338269018,0.14365245909025193,0.11688320057873769,0.11766128576522017,0.09005495817878773,0.08606841757464034,0.040959777025132094,0.05083048112668387,0.03618896243830916,0.20153868719815726
0.018,1.2471229963946868,0.1713143406634431,0.4279964002455092,0.372888054614786,0.4034819728752266,0.21512427645997767,0.1908606158679662,0.19424166935961196,0.197320110746806,0.19129322397375315,0.15685514378948506,0.15832984405577222,0.12193012183142116,0.11636531069362333,0.0552805044643907,0.06836215573684534,0.04882886064461889,0.2608638508282222
0.019,1.3126713510879848,0.21261129049148042,0.5008035360712768,0.4420265052808723,0.4764964522146813,0.2655974252143739,0.23738915154661433,0.2404569743562609,0.2436260422694515,0.23625641949154197,0.19512718025916298,0.19743705598633887,0.1529871328219471,0.14584436676761436,0.06923642632605209,0.08532990731699586,0.06113015289114032,0.31409286876310943
0.02,1.3778486773584906,0.2519508152472164,0.5623708689563529,0.5019075371997485,0.5389492878217876,0.3129017384712438,0.28164540214622347,0.2841605586480186,0.2872365432876198,0.2786348283544978,0.231694156020805,0.23493265313467737,0.18315858446059463,0.1744629684593848,0.08284105589857138,0.1017629923156198,0.07310610962604636,0.3620743167940731
0.021,1.4426581165569143,0.28936368931190537,0.614787143113643,0.5539899143812665,0.5925836842218921,0.3571264249117805,0.3235911496386167,0.32540211941877295,0.32825208811950424,0.31853010332693976,0.26656976939988664,0.2707922882758955,0.2123937344174841,0.2021890733985504,0.09610514949406901,0.11768661455005891,0.08476903865885166,0.4054980871838504
0.022,1.5071027746716696,0.324889459237348,0.6596779872410449,0.5994721588352121,0.6388313418886662,0.3983917794752193,0.36322752858629503,0.3642490205921103,0.36678113174509563,0.35605063909013535,0.2997824784206926,0.30501330017993566,0.24065729121946022,0.22900125044237274,0.1090379157295508,0.13312312389856573,0.09613037795155233,0.44493272205737705
0.023,1.57118572282507,0.3585771793172723,0.6983274924417182,0.6393428725110558,0.6788672618837974,0.4368382917537478,0.40058770462891913,0.4007835827601639,0.4029385607402516,0.3913096389436418,0.33137249247413936,0.33761111807142985,0.26792799735069317,0.25488817195496916,0.12164779311410179,0.14809287614153244,0.10720088864316546,0.4808528732055333
0.024,1.6349099977611938,0.39048462972511233,0.7317623503035826,0.6744211545997119,0.71365769698191,0.47261862536546895,0.4357299598068184,0.4350998009324577,0.43684367830488213,0.42442317201664037,0.36138918621885663,0.368615902790135,0.2941969541702013,0.2798476693297127,0.13394291926198676,0.16261480983941323,0.11799082541491335,0.5136594760572576
0.025,1.6982786023255814,0.42067678378102924,0.7608118755955304,0.7053888144826838,0.7439998586762855,0.5058914946654883,0.4687313844008577,0.4672999764488358,0.4686180654144436,0.45550829961024175,0.38988877973631664,0.39806940737855145,0.31946580679347547,0.3038855319683835,0.14593138974661157,0.17670681404994715,0.12851005607245025,0.5436946829325704
0.026,1.76129450593692,0.44922400166031573,0.7861518680177851,0.7328160159813446,0.7705540619523438,0.5368169875325628,0.49968235055067245,0.49749158114150405,0.4983835638173638,0.48468138216406376,0.41693227859049964,0.4260221268356563,0.34374492399901646,0.3270142096059462,0.15762137943572208,0.1903859515287123,0.13876813388523912,0.5712530536716991
0.027,1.8239606450508785,0.4762002337915666,0.8083372954983556,0.7571817305247623,0.7938695141281564,0.5655530625383274,0.5286818500907708,0.5257845268436928,0.526260522955774,0.5120566420004203,0.4425836936541505,0.45253079669492235,0.3670516771801221,0.3492515339412512,0.1690211782358394,0.20366858711117009,0.14877433467890078,0.5965900680415293
