Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.057138115513459625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11393544703777336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17039503427155597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22651988086956523,3.3306690738754696e-16,1.1102230246251565e-16,3.3306690738754696e-16,1.6653345369377348e-15,1.7763568394002505e-15,1.4432899320127035e-15,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.3844496909063e-16
0.005,0.28231295497536946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3377771897445973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3929154838589618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.44773070203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5022256755014605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5564032025242719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6102660488480155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6638169481853281,1.5543122344752192e-15,1.887379141862766e-15,1.9984014443252818e-15,3.9968028886505635e-15,4.551914400963142e-15,4.3298697960381105e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.2212453270876722e-15,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,2.3780540907826326e-15
0.013,0.7170586026756497,3.552713678800501e-15,3.6637359812630166e-15,4.107825191113079e-15,6.8833827526759706e-15,8.992806499463768e-15,9.2148511043888e-15,6.106226635438361e-15,4.218847493575595e-15,3.6637359812630166e-15,2.886579864025407e-15,3.4416913763379853e-15,2.55351295663786e-15,1.1102230246251565e-15,6.661338147750939e-16,6.661338147750939e-16,3.3306690738754696e-16,4.9442300050583925e-15
0.014,0.7699936833397313,1.5543122344752192e-15,1.887379141862766e-15,1.9984014443252818e-15,3.885780586188048e-15,4.551914400963142e-15,4.3298697960381105e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.2212453270876722e-15,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,2.3646281433747456e-15
0.015,0.8226248305263156,1.5543122344752192e-15,1.887379141862766e-15,1.9984014443252818e-15,3.9968028886505635e-15,4.551914400963142e-15,4.3298697960381105e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.2212453270876722e-15,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,2.3780540907826326e-15
0.016,0.8749546543511451,8.215650382226158e-15,9.325873406851315e-15,1.021405182655144e-14,1.9095836023552692e-14,2.2648549702353193e-14,2.2093438190040615e-14,1.4432899320127035e-14,9.547918011776346e-15,8.326672684688674e-15,7.438494264988549e-15,7.993605777301127e-15,5.662137425588298e-15,2.7755575615628914e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.2016642337776317e-14
0.017,0.9269857351284491,7.549516567451064e-15,7.882583474838611e-15,8.659739592076221e-15,1.709743457922741e-14,2.1649348980190553e-14,2.120525977034049e-14,1.3100631690576847e-14,8.770761894538737e-15,7.438494264988549e-15,6.772360450213455e-15,7.438494264988549e-15,5.10702591327572e-15,2.4424906541753444e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.0987929224857038e-14
0.018,0.9787206237950663,8.73734418149752e-12,9.123146682554761e-12,1.033761964919222e-11,2.0652923815589475e-11,2.5696778038764023e-11,2.5071500431295135e-11,1.5444534540165478e-11,1.039013319825699e-11,9.036438264331537e-12,7.954414904531859e-12,8.729350575720218e-12,6.0925708922354715e-12,2.947309063472403e-12,2.123301534595612e-12,1.722844089613318e-12,1.4802603587327212e-12,1.3014270701770115e-11
0.019,1.0301618423273415,0.02679567886026024,0.02822905028826428,0.031901844483802844,0.06166729435064533,0.07573837243722081,0.07415158339892203,0.046703058534437236,0.031780915270446464,0.02767437577611509,0.024331399639704654,0.02663684290508217,0.018690458589360248,0.009114787221620624,0.00659156745393541,0.0053531817471638155,0.004587686682836378,0.039278194186812436
0.02,1.0813118841509435,0.07098496622418327,0.07577552420914013,0.08523179016225124,0.15642996272045095,0.18838078259258706,0.18537887094491778,0.12090064344743512,0.08381068932489977,0.07314272662332533,0.06420787986864274,0.07002024201249613,0.049562846595897825,0.024490839651852836,0.017820127888010684,0.014494504343968595,0.012375583438828053,0.10145842789476306
0.021,1.1321732145437442,0.11328380889423895,0.12225773098467518,0.13686005261537137,0.23970999262309933,0.28379307622682826,0.2804568128877817,0.18876388398559385,0.1331472333853847,0.11647364127237836,0.10214341305295294,0.11099500322880607,0.07922242615301611,0.039638836743121075,0.02900921354494035,0.02363154285998914,0.020110708755094908,0.15824735836150114
0.022,1.1827482710318948,0.15366101259456744,0.1673241378075444,0.1864219438250102,0.3130441509292389,0.3651473343726078,0.36212233524176085,0.25078018006404046,0.17979391022821334,0.15766847869337197,0.13819715919989028,0.14968297785449736,0.1076855518764005,0.05452327440747795,0.04011968026877588,0.03273172288476911,0.027774651255184413,0.21021741135724145
