Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07878084107676969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15709181630218688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23493711674925669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.31232088379446643,4.440892098500626e-16,2.886579864025407e-15,2.7755575615628914e-15,2.3314683517128287e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1974254295690566e-15
0.005,0.3892472098522168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.46572013909626725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5417436681684623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.617321746875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6924582788704965,4.440892098500626e-16,2.886579864025407e-15,2.7755575615628914e-15,2.3314683517128287e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1974254295690566e-15
0.01,0.7671571223300971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8414220906098742,4.440892098500626e-16,2.886579864025407e-15,2.7755575615628914e-15,2.3314683517128287e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1974254295690566e-15
0.012,0.9152569528957529,7.771561172376096e-15,3.574918139293004e-14,2.930988785010413e-14,2.2870594307278225e-14,8.659739592076221e-15,6.661338147750939e-15,7.216449660063518e-15,8.43769498715119e-15,8.326672684688674e-15,7.216449660063518e-15,6.328271240363392e-15,5.10702591327572e-15,3.3306690738754696e-15,2.6645352591003757e-15,1.887379141862766e-15,8.881784197001252e-16,1.4745267908094155e-14
0.013,0.9886654348411935,6.531256857567058e-08,3.1447477810697677e-07,2.530685389023901e-07,1.8807306767509857e-07,6.90372369271941e-08,5.41737963377642e-08,6.078232883677259e-08,7.188245343403565e-08,7.062027929105597e-08,5.990954698997797e-08,4.975757883496357e-08,4.278759158093948e-08,2.9019824321352417e-08,2.3573369367646535e-08,1.807129479391989e-08,9.293078639949215e-09,1.2549184881296232e-07
0.014,1.061651219193858,0.031231202793974067,0.13804374693891197,0.11505139634608019,0.08948053269766043,0.03408011374887443,0.02652730985937135,0.02928475021195509,0.03450366299815655,0.0339975974511022,0.029128347999277326,0.02430082508276088,0.02077056407897626,0.014080081113042042,0.011371838575371829,0.008747324227827091,0.004520961934616485,0.0580283435434188
0.015,1.1342179464114832,0.06695444198643896,0.27008895196177185,0.23212024501480522,0.18835114510412532,0.07510691702282002,0.05821934069050283,0.06324176396267445,0.0741500905068615,0.07323275241425531,0.06336827846683601,0.05316400785427,0.04521660328328203,0.0306569094321143,0.02460856213022644,0.018987520095080868,0.009865121080894657,0.11972062588398284
0.016,1.2063692152671757,0.10141192673367927,0.37663554129998866,0.33116980618859215,0.27778798955579953,0.11602886271148327,0.08992148656109611,0.09636456960443862,0.11240996016449223,0.11118417445973428,0.09701999505919046,0.08186778148974361,0.06940536072045878,0.04709487509785104,0.03759795488839757,0.029078792689037014,0.015179047373875765,0.1748311631986384
0.017,1.2781085834443389,0.1346808423742033,0.4638746035110066,0.4150980620911504,0.35748743883061407,0.15628417845225606,0.12140926304468624,0.12862101221381894,0.14926147740102258,0.14777036722733627,0.1298880088640635,0.1102378791264167,0.09327068947427553,0.06337083810883726,0.05034839179821715,0.0390138313018511,0.020452230646758496,0.22432202786190486
0.018,1.3494395681214422,0.16682596517010262,0.5361669675375009,0.4864784137912399,0.42796333579219425,0.1955324830334325,0.1525247957678041,0.15999996401112448,0.1847218127608291,0.1829771170625577,0.16186952012756584,0.13816637726270486,0.11677352313620826,0.0794733721747265,0.06287364679955298,0.0487953806604734,0.025681397192839905,0.2690240297291613
0.019,1.4203656465468306,0.1978972001939614,0.5966719404095993,0.5474644884522504,0.490057787142241,0.2335661509636855,0.18314950191269352,0.19049685806101002,0.21882194069364413,0.21682013271467104,0.19291081955580236,0.16558112652105061,0.1398870197742197,0.09539495171157708,0.0751872105406276,0.05842944243645731,0.03086624962473994,0.30963018282132276
0.02,1.4908902566037736,0.22793169123366386,0.6477361246459977,0.5998185027409813,0.5446985759153065,0.27025919065105797,0.21318980592623127,0.22010845370495735,0.2515962463362934,0.24932765906964627,0.22298475156845954,0.19243015560068188,0.16258981930660887,0.11112868496579664,0.08730031897599233,0.0679223408213987,0.03600748042578994,0.34671051302298217
0.021,1.5610167973659455,0.256957047115439,0.6911402141456209,0.6449722309399288,0.5927860933212958,0.3055378606373743,0.24256980269591377,0.24883156237933812,0.28307878832040956,0.2805327135229705,0.2520791860268712,0.21867384326499406,0.18486324439882784,0.1266671793842269,0.09922155226248386,0.07727957826562193,0.04110588834215978,0.38073222744796387
0.022,1.6307486296435272,0.284994436706582,0.7282603771881135,0.6840889675268294,0.6351456789315533,0.339363466667403,0.27122747413600745,0.27666332679583094,0.31330242337400027,0.31046985995202847,0.2801911418390376,0.24428103516595934,0.20669035149425663,0.14200236765371554,0.11095706030828478,0.08650550648561428,0.04616202568102157,0.4120790921818724
0.023,1.7000890765201124,0.3120611597250269,0.7601768805704819,0.7181170426928548,0.6725121070282201,0.37172194313845897,0.29911265265742026,0.30360197618110374,0.34229904656589916,0.3391740587840254,0.30732378483426803,0.26922712777279234,0.2280557990553772,0.15712573190489676,0.12251100185298691,0.09560335565510325,0.05117609815962332,0.44106805654914577
0.024,1.769041423880597,0.33817262429268,0.787749160104277,0.747833342997446,0.7055293058870767,0.4026172374902989,0.3261857913365588,0.3296475916421959,0.37010015768195526,0.3666804066127949,0.3334848658232733,0.2934931014290325,0.24894602698977852,0.17202865703414438,0.13388601800106859,0.10457540599088544,0.05614798032737611,0.46796282498634956
0.025,1.8376089209302324,0.3633437798764799,0.8116689407956627,0.7738778398643255,0.734756798400815,0.4320668588022264,0.3524170645675937,0.3548026992334753,0.3967374135044701,0.39302420055687304,0.3586858594592035,0.31706498156343044,0.26934950440161065,0.18670278707244603,0.1450836658073723,0.1134231999251043,0.06107727847145339,0.4929846720490112
0.026,1.9057947807050093,0.38759009148607115,0.8324986190459012,0.7967807322198716,0.7606786347545339,0.4600986902894124,0.37778557078691666,0.3790726403382396,0.42224303791607987,0.4182410687696432,0.3829414263675933,0.3399334668835001,0.28925693608016434,0.20114032953117889,0.15610478508969816,0.12214774804328998,0.06596340724020688,0.5163209570875505
0.027,1.9736021805735429,0.41092814652429266,0.8506995141856943,0.8169837480280319,0.7837127683887142,0.48674857107605174,0.4022785403279313,0.4024657290935987,0.44665006081839176,0.4423670599157643,0.40626901107704916,0.3620936003539489,0.30866138615262184,0.2153342883955841,0.16694979339092986,0.13074970899969995,0.07080566372281194,0.5381317904685358
0.028,2.0410342627306273,0.43337597883620993,0.8666530080342838,0.834856899873066,0.8042199351578007,0.51205837533095,0.4258905194450501,0.42499323154118285,0.4699924008054319,0.46543865828929587,0.4286884882071732,0.383544430803025,0.32755831162166194,0.22927862432334334,0.17761891372339045,0.13922953701745688,0.0756032918061792,0.5585552433883002
0.029,2.1080941346826125,0.4549531831854089,0.8806765964287445,0.8507117221221541,0.8225116551280414,0.5360744384658627,0.4486225344813256,0.44666920863736204,0.49230482325024394,0.48749272560871215,0.4502218211758683,0.404288649999374,0.34594551490534875,0.24296834914450782,0.18811234366314022,0.14758759712347636,0.08035553436347587,0.5777114224170085
