Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06210866440677966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12384689940357854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18521800911793854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2462252584980237,4.440892098500626e-16,1.4432899320127035e-15,2.220446049250313e-15,2.4424906541753444e-15,1.3322676295501878e-15,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,9.361254911929927e-16
0.005,0.3068718738916256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3671610436149313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4270959185112635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.48667961249999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5459152031158714,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.6653345369377348e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.7180767170619456e-16
0.01,0.6048057320388349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6633542056147144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7215635953667954,1.6653345369377348e-15,3.6637359812630166e-15,5.440092820663267e-15,7.438494264988549e-15,3.774758283725532e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.220446049250313e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.5543122344752192e-15,8.881784197001252e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.0459410796499518e-15
0.013,0.7794368384985563,4.218847493575595e-15,8.548717289613705e-15,1.454392162258955e-14,1.7430501486614958e-14,8.770761894538737e-15,6.661338147750939e-15,6.328271240363392e-15,5.773159728050814e-15,5.995204332975845e-15,5.440092820663267e-15,4.6629367034256575e-15,3.4416913763379853e-15,2.3314683517128287e-15,1.2212453270876722e-15,1.2212453270876722e-15,8.881784197001252e-16,7.534826800763826e-15
0.014,0.8369768383877159,1.6653345369377348e-15,3.885780586188048e-15,6.8833827526759706e-15,7.771561172376096e-15,3.885780586188048e-15,2.886579864025407e-15,2.55351295663786e-15,2.220446049250313e-15,2.3314683517128287e-15,2.220446049250313e-15,1.7763568394002505e-15,1.6653345369377348e-15,8.881784197001252e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,3.263429095224766e-15
