Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05782589431704886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11530690258449307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17244610109018832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2292465296442688,1.1102230246251565e-16,4.440892098500626e-16,1.6653345369377348e-15,1.7763568394002505e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,4.736085905144349e-16
0.005,0.28571119211822665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3418430569744598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3976450577864839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.45312009375000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5082710301850049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5631006990291263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.617611899322362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6718073976833977,1.4432899320127035e-15,2.1094237467877974e-15,4.107825191113079e-15,4.6629367034256575e-15,2.3314683517128287e-15,2.220446049250313e-15,1.9984014443252818e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.3322676295501878e-15,7.771561172376096e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.1566598149664354e-15
0.013,0.7256899287776709,3.3306690738754696e-15,5.662137425588298e-15,8.992806499463768e-15,1.1102230246251565e-14,5.88418203051333e-15,4.551914400963142e-15,4.3298697960381105e-15,4.3298697960381105e-15,4.107825191113079e-15,3.885780586188048e-15,3.4416913763379853e-15,2.6645352591003757e-15,1.4432899320127035e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,4.904983685825979e-15
0.014,0.7792621957773513,1.4432899320127035e-15,2.1094237467877974e-15,4.107825191113079e-15,4.6629367034256575e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,6.661338147750939e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.094113891364829e-15
0.015,0.8325268708133972,1.4432899320127035e-15,2.1094237467877974e-15,4.107825191113079e-15,4.6629367034256575e-15,2.3314683517128287e-15,2.220446049250313e-15,1.9984014443252818e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.3322676295501878e-15,7.771561172376096e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.143523336749414e-15
0.016,0.8854865954198474,7.549516567451064e-15,1.2878587085651816e-14,2.1760371282653068e-14,2.6756374893466273e-14,1.432187701766452e-14,1.1879386363489175e-14,1.0880185641326534e-14,1.1102230246251565e-14,1.1102230246251565e-14,9.547918011776346e-15,8.215650382226158e-15,6.439293542825908e-15,4.107825191113079e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.2038192517358186e-14
0.017,0.9381439809705044,6.772360450213455e-15,1.2545520178264269e-14,2.142730437526552e-14,2.609024107869118e-14,1.3322676295501878e-14,1.099120794378905e-14,1.0325074129013956e-14,1.0547118733938987e-14,1.0547118733938987e-14,8.992806499463768e-15,7.66053886991358e-15,6.217248937900877e-15,3.885780586188048e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.1493944859613434e-14
0.018,0.9905016091081594,4.889329038304524e-07,8.785762066754188e-07,1.5645890230064907e-06,1.9412348021274894e-06,9.775499703046364e-07,7.698439827841241e-07,7.335961377252787e-07,7.591615778235195e-07,7.627404177146246e-07,6.390021904945087e-07,5.596977942223802e-07,4.339646401119168e-07,2.7221702136870363e-07,1.5161532296303903e-07,1.2592101328312566e-07,1.0701332397999863e-07,8.314553167447299e-07
0.019,1.042562032166509,0.030850910252688712,0.0542958995168088,0.09240646853093426,0.11202097797712451,0.05951489609118299,0.0478722753779246,0.04575985809961913,0.04716074155742067,0.047208258662016944,0.03961772964738608,0.034916100745211676,0.027256774382839244,0.017210619652572312,0.009595759143567695,0.007938663786582034,0.006719396869682481,0.05045587570952454
0.02,1.0943277735849057,0.06916613410556183,0.11873643704453585,0.19230429429722085,0.22779294092918423,0.12826798298144015,0.10552748544440105,0.10119322939331654,0.10384736382589144,0.10357097181994557,0.0871627604577111,0.07734772294228953,0.06085727924273643,0.03873416387386841,0.021633309449732185,0.01782823363616437,0.01502627070774909,0.10844249711073967
0.021,1.1458013283160866,0.10748916534994335,0.18015139611482744,0.2792983057108155,0.32467494745567493,0.1923920983238937,0.1613851801110514,0.15517809805054428,0.1586814685075263,0.15780083315781668,0.1332493361424184,0.11897963031907022,0.094311706080356,0.06050028409109265,0.03386387721299122,0.027822039834335066,0.023366089787927313,0.1623906359210169
0.022,1.196985163227017,0.1452858244620261,0.23798403588542372,0.3550360508447128,0.40633765754034934,0.2518325970263091,0.21482039251994833,0.20704992006410539,0.21109334857667084,0.20944513801410625,0.17752157944979463,0.15940420266634636,0.12724754492643675,0.08226105529386973,0.04616452994808018,0.03783689269128332,0.031682293716437826,0.2124155012338338
