Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06363964606181456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.126899731610338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18978364222001984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2522947233201581,3.3306690738754696e-16,1.6653345369377348e-15,2.220446049250313e-15,2.220446049250313e-15,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,8.402847457285015e-16
0.005,0.31443628078817737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3762115815324166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.43762385406464255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.49867628906250006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5593720399221032,1.1102230246251565e-16,4.440892098500626e-16,1.887379141862766e-15,2.1094237467877974e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.859866401276154e-16
0.01,0.6197142233009709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
