Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05200476664007976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1036993656858847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15508656374628343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20616909462450592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.25694965980295564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3074309289194499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.35761554023506364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.40750610109374996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4571051883739045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5064153489320388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5554391000387221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6041789298069498,7.771561172376096e-16,1.2212453270876722e-15,1.9984014443252818e-15,3.6637359812630166e-15,2.3314683517128287e-15,2.220446049250313e-15,2.1094237467877974e-15,1.887379141862766e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.1102230246251565e-15,6.661338147750939e-16,2.220446049250313e-16,6.661338147750939e-16,5.551115123125783e-16,1.4757768283604418e-15
0.013,0.6526372976130894,1.6653345369377348e-15,2.55351295663786e-15,4.107825191113079e-15,8.104628079763643e-15,5.88418203051333e-15,6.106226635438361e-15,4.107825191113079e-15,3.9968028886505635e-15,3.885780586188048e-15,2.9976021664879227e-15,3.1086244689504383e-15,2.220446049250313e-15,1.3322676295501878e-15,9.992007221626409e-16,1.4432899320127035e-15,8.881784197001252e-16,3.3566663510844972e-15
0.014,0.7008166345105565,0.0,1.1102230246251565e-16,1.3322676295501878e-15,1.4432899320127035e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.2134596312765543e-16
0.015,0.7487193436363635,2.220446049250313e-16,3.3306690738754696e-16,1.6653345369377348e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.2212453270876722e-15,6.661338147750939e-16,7.771561172376096e-16,5.551115123125783e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,9.27484627089227e-16
0.016,0.796347800610687,2.7755575615628914e-15,3.774758283725532e-15,7.66053886991358e-15,1.2545520178264269e-14,1.0103029524088925e-14,9.769962616701378e-15,7.105427357601002e-15,7.105427357601002e-15,6.439293542825908e-15,5.440092820663267e-15,5.218048215738236e-15,3.552713678800501e-15,2.4424906541753444e-15,1.5543122344752192e-15,2.3314683517128287e-15,1.5543122344752192e-15,5.639015599426565e-15
0.017,0.8437043539295909,1.5543122344752192e-15,1.887379141862766e-15,3.9968028886505635e-15,7.882583474838611e-15,5.88418203051333e-15,5.88418203051333e-15,4.107825191113079e-15,3.9968028886505635e-15,3.6637359812630166e-15,3.1086244689504383e-15,3.1086244689504383e-15,1.7763568394002505e-15,1.3322676295501878e-15,8.881784197001252e-16,1.3322676295501878e-15,8.881784197001252e-16,3.2392150605794537e-15
0.018,0.8907913253510436,3.219646771412954e-15,3.9968028886505635e-15,9.325873406851315e-15,1.5654144647214707e-14,1.1435297153639112e-14,1.0325074129013956e-14,7.771561172376096e-15,7.549516567451064e-15,7.105427357601002e-15,5.995204332975845e-15,5.551115123125783e-15,3.6637359812630166e-15,2.6645352591003757e-15,1.887379141862766e-15,2.55351295663786e-15,1.6653345369377348e-15,6.297964489937814e-15
0.019,0.9376110102743613,3.552713678800501e-15,5.329070518200751e-15,1.1546319456101628e-14,1.942890293094024e-14,1.3877787807814457e-14,1.3211653993039363e-14,9.43689570931383e-15,9.325873406851315e-15,8.548717289613705e-15,7.549516567451064e-15,7.105427357601002e-15,4.551914400963142e-15,2.886579864025407e-15,2.1094237467877974e-15,3.4416913763379853e-15,1.887379141862766e-15,7.761031422266005e-15
0.02,0.9841656781132074,9.878172724242518e-10,1.489622092343268e-09,3.3205453942031227e-09,5.693840399167982e-09,4.158833943890272e-09,3.838736772898699e-09,2.7917920197850776e-09,2.710567326147384e-09,2.526054254659016e-09,2.172780066977964e-09,1.9949781826511526e-09,1.3192756886937218e-09,8.522547112477241e-10,6.134599495055681e-10,8.587416333583064e-10,4.919115115242789e-10,2.2489741011431516e-09
0.021,1.0304575726622764,0.016264721102929758,0.024496614044303477,0.0528349739675088,0.08725237306901079,0.06573885637089916,0.061288823618138144,0.0451484543684737,0.0437158842141836,0.0407845525600371,0.03511702914195658,0.03242215421194283,0.02161638851560077,0.014033161209807354,0.010125083061507723,0.014137684835031972,0.00813466095615556,0.03602458888743366
0.022,1.0764889124577859,0.04109862586448143,0.06175839306326747,0.1272634616442434,0.2000413683546628,0.15663118189689273,0.14785584015389763,0.11095367940349765,0.10713167036980153,0.10012249118844341,0.0864073918076892,0.08034035439180542,0.05421920804270264,0.03547181863721227,0.02568957060826982,0.035744810725335086,0.02070921544842952,0.0875842443242196
0.023,1.122261891131899,0.06581699164988986,0.09862450935986,0.19503565514241095,0.2940001317010602,0.2373792908260326,0.22631209014230858,0.1727928483880683,0.16655802417899146,0.1559421899420771,0.13496930336471302,0.12622649850876355,0.08619846435651501,0.0568382223666174,0.0413225292856334,0.05731134849943531,0.033436564363265475,0.13539117019513522
0.024,1.1677786777611938,0.0902191958052293,0.13473865844412858,0.2566511616137067,0.37322453366351105,0.30897401208293884,0.2969395124754697,0.2303963540521068,0.22187538709713017,0.208115045534761,0.18071188036062757,0.16984312086956455,0.11731777442585689,0.07796736784907654,0.05690427242996232,0.07868269461403199,0.04622913690976205,0.17963187578009665
0.025,1.2130414172093023,0.11418279832793354,0.16987290085949647,0.3126502780786663,0.4407089400643618,0.37246959453927886,0.3603178449859644,0.28377887032684734,0.27317281793698234,0.2567021973119019,0.22367698228778443,0.21112235299431592,0.14745129978908456,0.09875770783707749,0.0723575382710474,0.09976001220852038,0.0590284375286958,0.22056104913132052
0.026,1.2580522304638218,0.1376328429668563,0.20388347125529727,0.36356484019541546,0.4986935644730832,0.42886360931427825,0.4171273902980144,0.3331027062747258,0.3206436411297745,0.3018606884840703,0.26397362765236587,0.2500893996867609,0.17653837556218333,0.11914651567219592,0.08763145232035463,0.12047910333442469,0.07179387820958139,0.25845115834802485
0.027,1.3028132149676224,0.16052421105136805,0.23668379280173957,0.4098957045741527,0.548889205708068,0.4790537382542289,0.4680537348324886,0.37860247607922815,0.3645288384374057,0.3437925881616747,0.30174279861672637,0.28682000546944175,0.2045576631577074,0.13909564099464367,0.10269217671342246,0.14079816878981466,0.0844963814101578,0.2935687630829239
0.028,1.3473264449446494,0.18283110386987622,0.26822717907427174,0.45210338216370505,0.5926259355425967,0.5238284633504262,0.5137438192663591,0.42054303869847454,0.4050859419807914,0.3827169715811446,0.33713816634313787,0.32141622188435703,0.23151192928633846,0.15858295398911648,0.1175172342219667,0.16069040112843835,0.09711455879522579,0.3261639349174933
0.029,1.3915939717203312,0.20454055323770126,0.29849526142291083,0.49060540561196997,0.6309539717402202,0.5638720978182241,0.5547879720647033,0.45919594003833064,0.44257193831323105,0.41885442564524866,0.37031543164494185,0.3539923342125746,0.2574188025880856,0.17759701859042043,0.13209193040817346,0.1801393174869892,0.10963233606611722,0.35646619703843596
0.03,1.4356178240366972,0.22564828948973492,0.32748996642649764,0.5257771579672291,0.6647137987573957,0.5997752187535659,0.5917149905961026,0.4948263837072979,0.4772340640473741,0.45241860183813243,0.4014264680202637,0.3846666001884339,0.28230500902794875,0.19613366815440014,0.146407021430225,0.19913571136009045,0.12203742258430139,0.3846837064071434
0.031,1.4794000083623056,0.24615603538198028,0.3552277938125785,0.5579544134874371,0.6945860146466625,0.6320464499961758,0.6249936055567378,0.5276862999810008,0.5093051281835916,0.4836118157888948,0.43061620659051636,0.4135564026212415,0.30620269713498094,0.21419374198209795,0.16045714887470774,0.21767559859411822,0.13432029336249873,0.41100401051835733
0.032,1.5229425091970805,0.2660696888004056,0.38173564436525365,0.5874366317812199,0.7211274868944969,0.6611238270298452,0.655036859838616,0.5580109848787815,0.5390014566639205,0.5126229996238021,0.4580211129861126,0.4407754509370667,0.3291470550050982,0.23178155298627168,0.17423976270971064,0.23575879551063772,0.1464734926006479,0.4355955161685688
0.033,1.5662472893721566,0.28539807473060286,0.4070477277756015,0.6144904773611185,0.744798053492343,0.6873850485512207,0.6822075979341953,0.586017833439945,0.5665223548340179,0.539627026177197,0.48376859608971967,0.46643223230050024,0.35117474600425513,0.24890382902218589,0.18775436407267887,0.2533879115240226,0.15849114528625696,0.45860922190834963
0.034,1.6093162903448277,0.30415207086476803,0.43120324439346525,0.6393532791071468,0.7659805602822944,0.7111564188244652,0.706824142852202,0.6119062897617897,0.5920504353271717,0.5647848252734189,0.5079769607961275,0.4906292324865389,0.37232287471056136,0.26556896880365743,0.20100196307493257,0.27056762104446774,0.17036860714387814,0.4801804836850076
0.035,1.6521514324886881,0.32234398395261277,0.4542446344937978,0.6622362828809134,0.7849961143671359,0.732720509228763,0.7291657079724524,0.6358584852986542,0.61575242082832,0.5882439442545739,0.530755672720965,0.5134626323846125,0.39262830267047033,0.2817865113653365,0.2139846844419262,0.28730412812904915,0.18210220882182715,0.5004306994894865
0.036,1.6947546153790611,0.33998709786877956,0.4762162514557665,0.6833276302741023,0.8021158455794212,0.7523226590907779,0.7494773428836105,0.6580402447077361,0.6377801864395809,0.6101393422313397,0.5522057942136944,0.5350222967579548,0.41212719853266444,0.29756675328705007,0.226705476815952,0.3036047669988129,0.19368906565085386,0.5194688613543396
0.037,1.7371277180738074,0.3570953414898843,0.497163356179105,0.7027950419035451,0.8175700806134304,0.7701764643551539,0.7679743455110541,0.6786022644276021,0.6582719000671615,0.6305942903887597,0.5724205058613551,0.5553919394220989,0.4308547472054357,0.3129204698919462,0.2391678960074024,0.3194777001318705,0.20512693389576975,0.5373929565378187
0.038,1.779272599389587,0.3736830416219421,0.5171313575992025,0.720788208887365,0.8315555739615836,0.7864684019953997,0.7848461415116318,0.6976813464999019,0.6773531765749368,0.6497213014435266,0.5914856611476416,0.5746493910106418,0.44884496796890305,0.32785871069082717,0.25137594179840794,0.3349316876033537,0.21641410052590027,0.5542912173071182
0.039,1.8211910981736794,0.3897647372842039,0.5361652432377371,0.7374409094118268,0.844241261423182,0.8013617251022479,0.800259665232098,0.7154016180955065,0.6951381968508099,0.6676230427979213,0.609480342662828,0.592866922057083,0.46613060775305304,0.3423926485327482,0.26333393404465266,0.34997590922003685,0.22754929751076658,0.5702432275289637
0.04,1.8628850335714284,0.405355038929467,0.5543091572902206,0.7528728735383958,0.855772877715302,0.8149997464813705,0.8143622906121313,0.7318756971033857,0.7117307648932343,0.6843932075473482,0.6264774012281913,0.6101115911494457,0.4827430864679977,0.3565334680457499,0.2750464179532113,0.36461982629541434,0.23853163429896385,0.5853208982224118
0.041,1.9043562052894034,0.42046852104461685,0.5716060936228409,0.7671914215546364,0.86627669183207,0.8275086111952761,0.8272843642168036,0.7472057827931498,0.7272252896356319,0.7001173297484937,0.6425439674585239,0.6264455989511138,0.4987124783895871,0.37029228310673346,0.2865180912456121,0.3788730735429855,0.2493605439391613,0.5995893255272303
0.042,1.9456063938543517,0.43511963987889724,0.5880976783788889,0.7804929010199863,0.8758625507413522,0.8389996424733185,0.8391413911023206,0.761484662138272,0.7417076865939818,0.714873537973159,0.6577419304258477,0.6419266360932674,0.5140675184190149,0.38368007594504805,0.2977537478879194,0.39274537409886345,0.26003573954734815,0.6131075444322226
0.043,1.9866373608680248,0.4493226703241222,0.6038240224267983,0.7928639462689513,0.8846263761688956,0.8495713313912989,0.8500359202300534,0.7747966294759678,0.7552561994749296,0.7287332458506266,0.6721283813074742,0.6566082176804952,0.5288356253366566,0.3967076524892815,0.30875823446437645,0.40624647247941026,0.27055717869900653,0.6259291907918441
0.044,2.0274508492579506,0.463091657561825,0.6188236281163749,0.8043825821506663,0.8926522254947964,0.8593110287749772,0.8600591711739212,0.7872183214118698,0.7679421448304136,0.7417617811035926,0.6857560218919678,0.67054000026685,0.5430429364613292,0.40938560998838014,0.319536416270777,0.4193860815692305,0.28092503394830604,0.6381030830307822
0.045,2.068048583524229,0.47644038021811175,0.6331333380880351,0.8151191915816437,0.9000140026978118,0.8682963877650547,0.8692924387320277,0.7988194712894706,0.7798305844593979,0.754018956186006,0.6986735390146326,0.6837680792041636,0.5567143497325511,0.42172431395820165,0.3300931509287831,0.4321738406734519,0.29113966812649983,0.6496737337126742
0.046,2.1084322699824254,0.4893823225735253,0.6467883164407828,0.8251373642834462,0.9067768864258909,0.8765965971625286,0.8778083071710531,0.8096635888008475,0.7909809310308625,0.7655595844705451,0.7109259466809652,0.6963352655958241,0.5698735703703646,0.43373388224441023,0.3404332678540972,0.4446192823594335,0.30120161340050267,0.6606817999476333
0.047,2.148603597002629,0.5019306539599335,0.6598220545795487,0.8344946419861301,0.9129985279630114,0.884273438802605,0.8856717013917257,0.8198085708453985,0.8014474926522327,0.776433946290155,0.722554897994177,0.7082813429434317,0.5825431600786362,0.44542417453454497,0.3505615523051596,0.45673180632761645,0.3111115533154001,0.6711644804924035
0.048,2.188564235244755,0.5140982139051959,0.6722663956564849,0.8432431734591984,0.9187300609094224,0.8913821965468433,0.8929407983718008,0.8293072498249743,0.8112799620389715,0.7866882091946776,0.7335989691502667,0.719643304107572,0.5947445873407969,0.4568047860525456,0.3604827330332525,0.468520658938014,0.32087030722557297,0.6811558663821254
0.049,2.228315837890148,0.52589750190421,0.68415157278706,0.8514302910068088,0.9240169559386657,0.8979724398283445,0.8996678188191456,0.8382078853768374,0.820523855686585,0.7963648066590379,0.744093917779225,0.730455569522749,0.6064982777784264,0.46788504446740775,0.370201472776456,0.4799949173122626,0.33047881665502865,0.6906872510308782
0.05,2.2678600408695653,0.5373406709332342,0.6955062572308299,0.85909901853504,0.9288997474197912,0.9040887008554916,0.9058997160184381,0.8465546052067014,0.8292209080910435,0.8055027792509689,0.7540729178451681,0.7407501877814955,0.6178236638492309,0.4786740092716443,0.3797223610080823,0.49116347715568087,0.33993813323050104,0.6997874049464103
0.051,2.3071984630875972,0.5484395240049532,0.7063576135324843,0.8662885199566889,0.9334146535425475,0.9097710614268448,0.9116787763327499,0.8543878002672631,0.8374094256618255,0.8141380819836721,0.7635667732051324,0.7505570197819955,0.6287392333840993,0.4891804730545214,0.3890499084786294,0.502035043616881,0.3492494079093116,0.7084828195147729
0.052,2.3463327066435986,0.5592055131999942,0.7167313592630571,0.873034495528412,0.9375941075212559,0.9150556627101742,0.9170431436740523,0.8617444790804974,0.8451246045575712,0.822303861274045,0.7726041117880795,0.7599039076502435,0.6392625766259552,0.4994129642238184,0.39818854318901087,0.5126181246369836,0.35841388128408735,0.7167979237128959
0.053,2.3852643570491803,0.5696497407176391,0.7266518275166649,0.879369532698705,0.9414672142291339,0.9199751491912509,0.9220272784338789,0.8686585855538431,0.8523988162684045,0.8300307046200974,0.7812115622066079,0.7688168296241997,0.6494104315523301,0.5093797508283655,0.4071426075090805,0.522921026345673,0.3674328747927449,0.7247552770908896
0.054,2.423994983442341,0.5797829615721564,0.7361420307306648,0.8853234171656454,0.945060144040824,0.9245590562205488,0.9266623598205012,0.875161284208858,0.8592618643835267,0.837346865814068,0.7894139144631177,0.7773200420389724,0.6591987273507209,0.5190888452094332,0.4159163562147701,0.5329518501442583,0.3763077826979646,0.7323757419208508
0.055,2.462526138798283,0.5896155876273189,0.7452237247269651,0.8909234090836207,0.9483964735941786,0.9288341491113192,0.9309766392405605,0.8812812163357916,0.8657412156240862,0.8442784682274623,0.7972342662653438,0.7854362094891032,0.6686426259792444,0.5285480092676247,0.42451395526337343,0.5427184911815541,0.38504006472818375,0.7396786370256934
0.056,2.5008593601369866,0.5991576927144062,0.7539174721357483,0.8961944887028988,0.9514974815141297,0.9328247205160904,0.9349957512550449,0.8870447302137499,0.8718622078925093,0.8508496884443963,0.8046941563266556,0.7931865241736443,0.6777565617911305,0.5377647601774604,0.43293948116281644,0.5522286379808257,0.3936312392938024,0.7466818754716157
0.057,2.5389961687275835,0.6084190186215217,0.7622427045729768,0.901159575160874,0.9543824057881093,0.9365528517861497,0.9387429877007059,0.8924760881954058,0.8776482377909695,0.8570829222816294,0.8118136858961258,0.8005908153565385,0.686554279234644,0.5467463764173658,0.4411969208192714,0.561489773018083,0.4020828772091779,0.7534020880237291
0.058,2.576938070289608,0.6174089817766053,0.7702177831102255,0.9058397216567585,0.9570686683793067,0.9400386431639415,0.9422395397719994,0.8975976531473504,0.8831209297926906,0.8629989350176124,0.8186116296429444,0.8076676498019754,0.695048868663477,0.555499904010618,0.4492901717700801,0.5705091740859618,0.4103965958642446,0.7598547340196562
0.059,2.6146865551911636,0.6261366804748794,0.7778600567079397,0.9102542898215277,0.9595720717607076,0.9433004169421513,0.9455047121829674,0.9024300564607353,0.8883002890086761,0.8686169974579516,0.8251055369094499,0.814434423973809,0.703252800308944,0.5640321628947179,0.45722304272683423,0.5792939163049788,0.41857405379993096,0.7660542011048848
0.06,2.652243098644068,0.6346109025248893,0.7851859183879147,0.9144211057326294,0.9619069713099588,0.9463548971215942,0.9485561129542188,0.9069923495998004,0.8932048392772057,0.8739550092896664,0.8313118242466566,0.8209074487210043,0.7111779564762661,0.5723497533539448,0.4649992543677356,0.5878508746664421,0.42661694564969344,0.7720138950915257
0.061,2.6896091608960266,0.6428401332068583,0.7922108590030913,0.9183565997102155,0.9640864268916502,0.9492173685932962,0.9514098218814272,0.9113021409358347,0.8978517481118272,0.8790296110200253,0.8372458600552165,0.8271020271081174,0.7188356620342851,0.5804590624635882,0.47262244032974066,0.5961867270097702,0.43452699741589107,0.777746321044748
0.062,2.7267861874198984,0.6508325634534183,0.7989495185269875,0.9220759317613857,0.9661223364450148,0.9519018184422803,0.9540805403251309,0.9153757194185997,0.9022569398733202,0.8838562856559529,0.8429220420726143,0.8330325259912634,0.7262367132719978,0.5883662705052359,0.4800961483601449,0.6043079573522085,0.44230596205472417,0.7832631565649342
0.063,2.7637756091000836,0.6585960981766267,0.8054157348348647,0.9255931043051694,0.9680255539718591,0.9544210616084047,0.9565817246059094,0.9192281664638425,0.9064351983800902,0.8884494511554683,0.8483538683734384,0.8387124418860153,0.7333914051972585,0.5960773573212246,0.4874238415945943,0.6122208595015587,0.44995561534744166,0.7885753181156109
0.064,2.8005788424161073,0.6661383646768966,0.8116225899868508,0.9289210636085465,0.9698059939661077,0.9567868528322919,0.9589257049847922,0.9228734572819236,0.9104002600376015,0.8928225445717987,0.8535540024830609,0.8441544616240944,0.7403095573533478,0.6035981085833169,0.494608899934453,0.6199315408930903,0.4574777520386383,0.7936930211447587
0.065,2.8371972896234308,0.6734667210794589,0.8175824540520839,0.9320717911882781,0.9714727240301798,0.9590099865530105,0.9611237919481194,0.9263245527366039,0.9141648984488872,0.8969880987122745,0.858534333145346,0.8493705182503755,0.7470005382283011,0.6109341219562644,0.5016546215012492,0.627445926600623,0.4648741822249205,0.7986258346581087
