Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04285955512462612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08546348666003976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12781407469772052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16991357229249013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.21176420586206898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2533681755795678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.29472765575905974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.335844795234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.37672171773125607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.41736052223300973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.457763283339787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.49793205162162163,7.771561172376096e-16,1.4432899320127035e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.1102230246251565e-15,1.2212453270876722e-15,7.771561172376096e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0153265952599436e-15
0.013,0.5378688539653513,1.5543122344752192e-15,2.55351295663786e-15,3.1086244689504383e-15,3.6637359812630166e-15,2.6645352591003757e-15,3.3306690738754696e-15,3.6637359812630166e-15,3.774758283725532e-15,3.219646771412954e-15,2.3314683517128287e-15,2.220446049250313e-15,1.5543122344752192e-15,9.992007221626409e-16,9.992007221626409e-16,8.881784197001252e-16,5.551115123125783e-16,2.1809581082333963e-15
0.014,0.5775756939155471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6170545520095693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6563073861068702,2.220446049250313e-15,2.886579864025407e-15,4.3298697960381105e-15,4.773959005888173e-15,3.219646771412954e-15,4.551914400963142e-15,4.551914400963142e-15,4.6629367034256575e-15,3.885780586188048e-15,3.1086244689504383e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.3322676295501878e-15,8.881784197001252e-16,2.8141333240135523e-15
0.017,0.6953361317126546,7.771561172376096e-16,1.4432899320127035e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.1102230246251565e-15,1.2212453270876722e-15,7.771561172376096e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0015762801706735e-15
0.018,0.7341427022960152,1.2212453270876722e-15,2.55351295663786e-15,2.886579864025407e-15,3.3306690738754696e-15,1.9984014443252818e-15,2.6645352591003757e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,7.771561172376096e-16,6.661338147750939e-16,5.551115123125783e-16,2.220446049250313e-16,1.8241367258324335e-15
0.019,0.772728989602649,1.1102230246251565e-15,1.9984014443252818e-15,2.7755575615628914e-15,3.3306690738754696e-15,1.887379141862766e-15,1.9984014443252818e-15,2.6645352591003757e-15,2.9976021664879227e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.5723671860459689e-15
0.02,0.8110968639622641,4.3298697960381105e-15,7.327471962526033e-15,1.0103029524088925e-14,1.176836406102666e-14,7.993605777301127e-15,9.547918011776346e-15,1.0436096431476471e-14,1.1102230246251565e-14,9.325873406851315e-15,7.327471962526033e-15,6.5503158452884236e-15,4.773959005888173e-15,3.4416913763379853e-15,2.4424906541753444e-15,2.3314683517128287e-15,2.220446049250313e-15,6.567356107085806e-15
0.021,0.8492481745907808,2.3314683517128287e-15,3.219646771412954e-15,4.773959005888173e-15,5.88418203051333e-15,3.4416913763379853e-15,4.6629367034256575e-15,4.6629367034256575e-15,4.9960036108132044e-15,4.218847493575595e-15,3.219646771412954e-15,2.886579864025407e-15,2.220446049250313e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.4432899320127035e-15,8.881784197001252e-16,3.015095819905089e-15
0.022,0.8871847498874296,6.5503158452884236e-15,1.099120794378905e-14,1.5987211554602254e-14,1.8207657603852567e-14,1.2101430968414206e-14,1.454392162258955e-14,1.5765166949677223e-14,1.6431300764452317e-14,1.4210854715202004e-14,1.0769163338864018e-14,9.658940314238862e-15,6.8833827526759706e-15,4.551914400963142e-15,4.107825191113079e-15,3.774758283725532e-15,2.886579864025407e-15,9.847682341007492e-15
0.023,0.9249083977268475,1.1102230246251565e-15,1.9984014443252818e-15,2.7755575615628914e-15,3.219646771412954e-15,1.887379141862766e-15,2.220446049250313e-15,2.886579864025407e-15,2.9976021664879227e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.5909190818736385e-15
0.024,0.9624209057462686,2.1649348980190553e-14,3.5083047578154947e-14,4.973799150320701e-14,5.950795411990839e-14,3.941291737419306e-14,4.674038933671909e-14,5.184741524999481e-14,5.4067861299245124e-14,4.6074255521943996e-14,3.4638958368304884e-14,3.097522238704187e-14,2.19824158875781e-14,1.454392162258955e-14,1.2101430968414206e-14,1.1657341758564144e-14,8.770761894538737e-15,3.165976728828521e-14
0.025,0.999724041627907,0.0008181469865081725,0.0013293574420455423,0.0019114301186109461,0.0022806837013418235,0.0014982166143587827,0.001794490047296371,0.001954237495647382,0.0020515737818270763,0.0017425779988163859,0.0013232147116863935,0.0011845569221551333,0.0008283788723257857,0.0005390002849646747,0.00045679110907015374,0.00043005954754749,0.0003325713194722857,0.0012027682505386804
0.026,1.0368195533766233,0.034092360488087725,0.05472434866122455,0.07708918824225597,0.09091042314057696,0.06116135179344573,0.07292047188383821,0.07917033920963956,0.08287993757389445,0.07084351712901826,0.05427752464312752,0.04878486413447913,0.03443375397166437,0.022589772826640986,0.01921031909577342,0.01808244753502919,0.013976620416021879,0.04911743864854801
0.027,1.0737091695929692,0.06693950413594396,0.1061538756686361,0.14669523209094404,0.17115031257419855,0.11771688311617345,0.1396744992515212,0.15118728896397338,0.15785518406548615,0.13577829079406878,0.10495531458893526,0.09470174273314269,0.06745939352776953,0.044620962469287595,0.03807555788254857,0.03583748921762664,0.02768989051457027,0.09459291392685118
0.028,1.1103945997416975,0.09833910978086535,0.15412938318518044,0.20930220556665247,0.2418646477167985,0.16971105889208693,0.2003966530576654,0.216284994238352,0.2252832315576222,0.19494156284462327,0.15197764959173732,0.13763359295754618,0.09890861485968094,0.0659466681293236,0.056458885288084626,0.053142199612872254,0.04104966573215252,0.1364841897819354
0.029,1.1468775344158233,0.1283559158307398,0.1989058560777015,0.26581795287563437,0.30453366909910895,0.21760542214557532,0.2557234223518573,0.27523062481500127,0.2860527511477532,0.2489485198289686,0.19567524620712706,0.1778211809810064,0.12887496438935775,0.0865941415434156,0.07437239072500779,0.07001194229802254,0.05407158957374414,0.175175044127493
0.03,1.1831596455963302,0.157056764772035,0.24072419966299097,0.31700324184519835,0.36034639640264576,0.26180751651788303,0.30622238732578455,0.3287040004354751,0.3409398889490206,0.2983427079804133,0.23634542596152674,0.2154850021544491,0.15744786694146728,0.10659134867134945,0.09182990509624234,0.08646241619572514,0.06677076695073048,0.21099968198815883
0.031,1.2192425869075938,0.18450807406031622,0.2798092220025137,0.36350072800464406,0.41027072332246006,0.30267725649612487,0.3523969449937623,0.37730437206474976,0.3906207905433178,0.343603307153312,0.27425484349018014,0.2508259237507482,0.18471164566014975,0.12596594773389813,0.10884596989237338,0.10250908363880895,0.0791615496634045,0.24424968573487874
0.032,1.2551279938686133,0.21077441183134893,0.3163691357510934,0.40585714584944454,0.4551035353824313,0.34053285918272025,0.39469241864904814,0.42155869226819165,0.4356841720594742,0.38515257418081505,0.3096425004320109,0.28402645713105446,0.21074519067148167,0.14474473331240878,0.12543523407429935,0.1181668685463021,0.09125745235675975,0.2751800926814471
0.033,1.2908174841401276,0.23591772460956806,0.35059588634213723,0.4445405648132563,0.4955073948765478,0.3756561598596013,0.4335024216086263,0.46193001305465076,0.47664297197181904,0.4233628484624222,0.3427227062606617,0.31525226954559726,0.23562197857791256,0.1629533506789803,0.14161210455347817,0.1334500089766375,0.10307113887650865,0.3040146123447971
0.034,1.3263126577676951,0.25999695518621024,0.38266591637699976,0.4799539828754401,0.5320379353445147,0.4082972820052877,0.469174939098142,0.49882538557758904,0.5139447364266743,0.4585628826955396,0.37368783533658523,0.3446537363859882,0.2594102771481481,0.18061616844258355,0.15739054969232658,0.1483719986322174,0.11461444607329685,0.33095006489760087
0.035,1.3616150974208148,0.2830678954050231,0.4127411426369971,0.5124461578508239,0.5651646732352654,0.43867869732080456,0.5020178961790327,0.5326030081448816,0.5479806827622661,0.49104344017456814,0.4027108233523954,0.3723674346795105,0.2821734416319468,0.19775624398895708,0.17278399616345652,0.16294557942270638,0.12589842661942963,0.3561601420952133
0.036,1.3967263686281588,0.3051831799130015,0.44097001648908196,0.5423203249511666,0.5952870565851605,0.46699873646372114,0.532304135199437,0.5635785556922623,0.57909351715728,0.5210621835810035,0.42994739287764683,0.3985175318566131,0.3039702494813673,0.21439534263802262,0.18780528299305976,0.17718276274150624,0.13693340041013502,0.37979859060380905
0.037,1.431648020009001,0.32639236315301934,0.4674885932277276,0.5698412761242995,0.6227470039292706,0.49343461750028517,0.5602758041591419,0.5920307146039936,0.6075841342963615,0.5488479160261498,0.45553801997132704,0.4232170522863403,0.3248552433443289,0.23055398691063367,0.2024666504706899,0.19109486612110982,0.14772900864701266,0.4020019080569641
0.038,1.4663815835008978,0.34674204374669526,0.4924215682858777,0.5952411552203694,0.6478388150939087,0.5181450567733523,0.5861481942306306,0.618205987448921,0.6337173401797203,0.5746042470996247,0.4796096635346755,0.4465690191228414,0.3448790656115792,0.24625152153845387,0.21677974997625404,0.20469255726926217,0.1582942673067006,0.422891630142448
0.039,1.5009285745837064,0.36627601386980524,0.5158832576459847,0.6187242362799876,0.6708170859206788,0.5412725209764232,0.610113079828022,0.6423228469251527,0.6577267342804278,0.598512757015156,0.5022772823082746,0.4686674766896911,0.36408877567154807,0.2615061854694214,0.2307556659299913,0.21798590070287882,0.16863761821715595,0.44257627511950715
0.04,1.5352904925000002,0.385035419625273,0.5379785114702385,0.6404708892620123,0.6919030876858737,0.5629451721822187,0.6323416184550008,0.6645753198696069,0.6798188745974136,0.6207357269273002,0.523645164387034,0.4895984022442055,0.3825281456634041,0.27633518558359993,0.24440494429935888,0.23098440415911237,0.17876697685575538,0.4611530014090406
0.041,1.5694688204719502,0.40305892373000296,0.5588035569986392,0.6606408911382506,0.7112899521690874,0.5832785505675446,0.6529868657214056,0.6851360774299593,0.7001768339999217,0.6414184963631053,0.5438080925435109,0.509440517340209,0.40023793323420076,0.29075476898861174,0.2577376241455951,0.24369706317133055,0.18868977650632823,0.47870902459461867
0.042,1.6034650259147425,0.4203828652193643,0.578446770939514,0.6793762056556354,0.7291469180753753,0.6023770331221714,0.672185956449961,0.7041591000605947,0.7189632411538542,0.6606915011139245,0.5628523664227538,0.5282660091733118,0.4172561313706896,0.304780292112248,0.2707632700069351,0.25613240294506234,0.19841300871563095,0.4953228323139902
