Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05077398406779662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10124514119284296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1514161725074331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20128974711462452,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.3154729831091253e-16
0.005,0.2508685025615764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3001550453045187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.34915195116552405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.39786176578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4462870050438169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4944301555339806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5422936749467571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5898799925096525,8.881784197001252e-16,1.4432899320127035e-15,2.3314683517128287e-15,4.3298697960381105e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,5.551115123125783e-16,0.0,0.0,0.0,1.360386178237133e-15
0.013,0.6371915093936478,1.7763568394002505e-15,3.1086244689504383e-15,5.995204332975845e-15,8.770761894538737e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.4416913763379853e-15,3.885780586188048e-15,3.774758283725532e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.220446049250313e-15,1.1102230246251565e-15,7.771561172376096e-16,8.881784197001252e-16,4.440892098500626e-16,2.944512292544753e-15
0.014,0.6842305991170826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.7309996079425837,5.551115123125783e-16,1.3322676295501878e-15,2.220446049250313e-15,4.218847493575595e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.2212453270876722e-15,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,0.0,1.1936073057472187e-15
0.016,0.7775008552671756,2.7755575615628914e-15,4.773959005888173e-15,9.43689570931383e-15,1.454392162258955e-14,5.440092820663267e-15,4.884981308350689e-15,4.9960036108132044e-15,5.551115123125783e-15,5.440092820663267e-15,4.773959005888173e-15,4.107825191113079e-15,3.1086244689504383e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.2212453270876722e-15,6.661338147750939e-16,4.38723581065527e-15
