Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04232668908275175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08440093270377735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12622498260654114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16780106383399213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.20913137512315272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.25021808929273087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.2910633536238982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.331669290234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3720379964459591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4121715451456311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4520719851403679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.4917413415057915,8.881784197001252e-16,1.2212453270876722e-15,1.4432899320127035e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,8.881784197001252e-16,1.1102230246251565e-15,9.992007221626409e-16,5.551115123125783e-16,0.0,0.0,0.0,1.1094490921105243e-15
0.013,0.5311816159287777,1.4432899320127035e-15,2.3314683517128287e-15,2.9976021664879227e-15,3.552713678800501e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.219646771412954e-15,3.1086244689504383e-15,2.7755575615628914e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.1102230246251565e-15,5.551115123125783e-16,7.771561172376096e-16,7.771561172376096e-16,2.0950083942242326e-15
0.014,0.5703947870441459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6093828107655502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6481476206106871,2.1094237467877974e-15,2.55351295663786e-15,3.219646771412954e-15,4.551914400963142e-15,3.552713678800501e-15,3.3306690738754696e-15,3.552713678800501e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.4432899320127035e-15,6.661338147750939e-16,9.992007221626409e-16,9.992007221626409e-16,2.4750476898775347e-15
