Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06334527816550349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1263127514910537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18890578989098117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.25112772332015815,2.220446049250313e-16,3.3306690738754696e-16,1.6653345369377348e-15,2.55351295663786e-15,1.3322676295501878e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.954508926360886e-16
0.005,0.312981842364532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3744713988212181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.43559960626836436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.496369640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.556784640701071,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.7763568394002505e-15,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.3361299554735303e-16
0.01,0.6168477087378641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6765619109390125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.735930277992278,1.4432899320127035e-15,2.1094237467877974e-15,4.551914400963142e-15,7.882583474838611e-15,3.885780586188048e-15,2.6645352591003757e-15,2.220446049250313e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.1102230246251565e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.408431626909989e-15
0.013,0.7949558055822907,3.9968028886505635e-15,5.662137425588298e-15,1.176836406102666e-14,2.0761170560490427e-14,9.43689570931383e-15,6.217248937900877e-15,5.662137425588298e-15,5.440092820663267e-15,5.88418203051333e-15,4.884981308350689e-15,3.552713678800501e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.2212453270876722e-15,1.1102230246251565e-15,9.992007221626409e-16,6.2989015351686265e-15
0.014,0.8536414548944338,1.1102230246251565e-15,1.9984014443252818e-15,4.773959005888173e-15,9.658940314238862e-15,4.218847493575595e-15,2.55351295663786e-15,2.1094237467877974e-15,1.9984014443252818e-15,2.1094237467877974e-15,1.5543122344752192e-15,1.4432899320127035e-15,9.992007221626409e-16,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.5178943124694794e-15
0.015,0.9119901531100477,2.6645352591003757e-15,4.107825191113079e-15,9.325873406851315e-15,1.6764367671839864e-14,6.994405055138486e-15,4.107825191113079e-15,3.6637359812630166e-15,3.774758283725532e-15,3.885780586188048e-15,3.219646771412954e-15,2.55351295663786e-15,1.887379141862766e-15,9.992007221626409e-16,7.771561172376096e-16,6.661338147750939e-16,5.551115123125783e-16,4.578347813197119e-15
0.016,0.9700047938931298,2.275957200481571e-14,3.26405569239796e-14,7.771561172376096e-14,1.5021317523178368e-13,6.328271240363392e-14,3.68594044175552e-14,3.141931159689193e-14,3.241851231905457e-14,3.375077994860476e-14,2.90878432451791e-14,2.1316282072803006e-14,1.4654943925052066e-14,9.769962616701378e-15,6.8833827526759706e-15,6.994405055138486e-15,6.661338147750939e-15,3.998233707806978e-14
0.017,1.0276882378686965,0.011464270793983822,0.0164501704273885,0.03907392100371143,0.07417240203435949,0.03182727592952683,0.01865617345934023,0.01590555973133334,0.016371539361661913,0.017080902617409466,0.014714956527696277,0.010784460791374184,0.0074018083409493896,0.0048471843298473205,0.003559277471975264,0.0034691301381442052,0.0034502673444104515,0.02006299442757946
0.018,1.085043313092979,0.0371037258481145,0.05271696684520144,0.11831326791039265,0.2092218863939913,0.09691911564876832,0.059028408549285705,0.050893942351262766,0.052037917191923966,0.05384835248565234,0.046167192397285506,0.034162777542534495,0.023676292786089292,0.015614084779609239,0.011502636210907746,0.011099879691715553,0.010958331219907524,0.0612535630321057
0.019,1.1420728155156101,0.06481072286928402,0.09111847077338753,0.19373569171784666,0.32210126934012184,0.15996527864079257,0.10094275017768983,0.08791702491933673,0.0893848412157543,0.09183336178235468,0.07846058186057325,0.05858971824983783,0.04098489011624362,0.027212994971689386,0.020102597344248463,0.019230795335498985,0.01885683922169401,0.1015820486636967
0.02,1.1987795094339624,0.09410762415655849,0.1308722709445198,0.26442614946338017,0.416697332727067,0.2203855522583551,0.1436843470769198,0.12629011559474612,0.1277847400390134,0.13047318522055074,0.11121812399063224,0.08376826246930302,0.05912084181292143,0.03951314923603433,0.029258911405591226,0.027780372395723396,0.027071409539647817,0.1408529602134254
0.021,1.2551661279397932,0.12450164139116326,0.17123735000962015,0.32987335059222334,0.49620092692772144,0.2777265284136219,0.18657044396814093,0.1653432709527528,0.16662962623706867,0.16923231894268276,0.1440738157757253,0.10940132340549669,0.0778683376393976,0.05237342246693977,0.038865337518472876,0.03666343417652662,0.035526964263460914,0.17886626315081616
0.022,1.3112353733583488,0.1555248799582315,0.2115632340565412,0.3899028042361552,0.5632347388777037,0.3316832637932623,0.22900041894323786,0.20447137496847512,0.2053749869553234,0.20763904130816124,0.1766990812056951,0.13521372263221076,0.09701978052082527,0.06565424705720335,0.04881806557610746,0.04579770235892966,0.044153006857458266,0.21544959835451621
0.023,1.3669899176800748,0.18676062063944265,0.25131418037125397,0.4445890984283509,0.6199524492166328,0.38209526654447057,0.270482420054025,0.24316295208368122,0.24356412691979645,0.2453042541674615,0.20881737483366014,0.1609654527567087,0.11638723588724653,0.07922595255647691,0.059021372739255895,0.05510804122803492,0.05288671455623961,0.25047398573554513
0.024,1.4224324029850746,0.21785655299685502,0.2900738232732394,0.49417226048788643,0.6681199385746894,0.4289264988169531,0.3106401502553928,0.2810104374104735,0.2808359708286341,0.2819259798841398,0.24020893446438008,0.18645733656754215,0.13580842976804353,0.09297357876098256,0.06939072707582783,0.0645286552472788,0.0616742711785242,0.2838577136953263
0.025,1.4775654418604651,0.24852787599355253,0.3275370734383104,0.5389895493817245,0.7091834465729571,0.4722384415353177,0.34920599174957234,0.31770718526618713,0.3169212976074073,0.3172842107320417,0.27070869505623574,0.21153114722585475,0.15514851605222968,0.10679883574110416,0.07985390980789286,0.07400375247421842,0.07047097559579352,0.3155629960701266
0.026,1.5323916178107606,0.27855373049191035,0.3634952958561126,0.5794251825227501,0.7443270191293769,0.5121627053150193,0.38600660612380566,0.3530366648070842,0.35163232025015545,0.3512304870465057,0.30020027639040003,0.23606632319820597,0.17429903556607385,0.12062008009374559,0.09035080337282231,0.08348720781315722,0.07924061282688943,0.3455890414480156
0.027,1.5869134856614244,0.3077699847551201,0.3978191583287959,0.6158760647147126,0.7745206245839116,0.5488768583504346,0.42094573516616074,0.38685819427516366,0.3848494476244573,0.3836754948295905,0.32860829636575417,0.2599750056917468,0.19317530204632272,0.13437110146683806,0.10083240509808034,0.09294166874397336,0.08795445931078671,0.3739640117931872
0.028,1.6411335719557196,0.3360605764078354,0.430441883154817,0.6487300573846304,0.8005600563876232,0.5825849516093256,0.4539872317463951,0.4190921327764009,0.41650775905298343,0.4145767804087711,0.3558904882397601,0.2831965869563018,0.21171311752793798,0.14799932372753977,0.11125947907419798,0.10233742003380775,0.09659017093759426,0.4007373173965186
0.029,1.6950543753449863,0.36334880808837,0.46134432910745005,0.6783533094158984,0.823099698723486,0.6135028539986277,0.48513993219788465,0.4497061945730543,0.44658461012650574,0.44392770717728747,0.3820304494554746,0.30569247768640706,0.22986539406592044,0.16146382426445827,0.12160111509071414,0.11165120802085093,0.10513070096004007,0.42597294566711436
0.03,1.7486783669724772,0.3895893634233988,0.4905424544595889,0.7050837600253461,0.8426792113146687,0.6418478214552269,0.5144450041859185,0.4787036491938702,0.47508900076196636,0.4717481124703362,0.40703139221988405,0.32744144924401075,0.24759900429370163,0.17473341064175107,0.13183335026148857,0.12086513676466504,0.11356332278810521,0.44974404875699014
0.031,1.8020079908508693,0.41476138172665356,0.5180771963427735,0.7292286402896939,0.85974513107686,0.667831480475368,0.5419658232722662,0.5061136071963133,0.5020528505295887,0.4980767235878272,0.43091098471339495,0.3484356796601946,0.2648920100719556,0.18778487758520235,0.14193793067181393,0.1299656888548385,0.1218787867948129,0.4721287550723419
0.032,1.855045664233577,0.43886266985054045,0.5440065402978347,0.7510644374525284,0.8746682910097188,0.6916554077274766,0.5677801368520337,0.5319832833705048,0.5275240642451882,0.522965185461291,0.45369722027336656,0.3686775026034318,0.28173131251944183,0.2006014931971859,0.15190124138539984,0.13894288733920757,0.1300706139091775,0.49320704995912945
0.033,1.907793777979982,0.46190498901563026,0.5683994507115948,0.7708382839283601,0.8877578381399219,0.7135085979792266,0.591974159142762,0.5563719887084546,0.5515611541288403,0.5464734675013889,0.4754251840940521,0.38817679388033455,0.29811070849315235,0.2131717203193102,0.16171340525421274,0.1477895951517897,0.138134515360811,0.5130585331756133
0.034,1.9602546969147008,0.48391029005362274,0.5913313181644828,0.7887700942331032,0.8992725095027562,0.7335662551479868,0.6146382258945741,0.5793465605649801,0.57422915279658,0.568666400970198,0.4961345678073119,0.4069489049483339,0.314029310927221,0.22548815662285793,0.17136753684647243,0.15650093871129622,0.14606792238007327,0.5317608657400867
0.035,2.012430760180996,0.5049077506815048,0.6128806085621896,0.8050550233525674,0.9094297096427951,0.7519894776908991,0.6358636709616923,0.6009779504125252,0.5955965633567466,0.5896111163937701,0.5158677884066195,0.4250130496594269,0.32949028078065123,0.2375466673098937,0.18085913199229475,0.16507383877542992,0.15386960847921483,0.549388742441235
0.036,2.0643242815884477,0.524931472339166,0.6331264448745137,0.8198659877690382,0.9184128309597719,0.7689255246658658,0.6557406387549103,0.6213387218674674,0.6157331242713642,0.6093751826951557,0.534668585247082,0.4423910579128407,0.34449981840378274,0.24934568179933148,0.19018557228468713,0.17350663138659494,0.16153938797282652,0.5660132555389188
0.037,2.1159375499549955,0.5440187090745168,0.6521469011744869,0.8333560998252868,0.9263771714773984,0.7845084394253216,0.6743566009613388,0.6405012521972928,0.6347082036816147,0.6280252848578176,0.5525809894626097,0.45910642162714743,0.35906636685517,0.26088562700846984,0.19934572508472537,0.1817987631264565,0.1690778763719598,0.5817015434436479
0.038,2.167272829443447,0.562208519732134,0.6700178336742668,0.8456609358681952,0.933454732940605,0.7988598761949729,0.6917953953475546,0.6585364701172527,0.652589673645854,0.6456263096753891,0.5696485801320993,0.47518357098884123,0.37319998619084227,0.27216847277469824,0.20833962182407506,0.18995054692941304,0.1764863005138847,0.5965166427160715
0.039,2.2183323598925697,0.5795407534989852,0.6868121119626442,0.8569006019809032,0.939758124022395,0.812090024711658,0.7081366462409626,0.6755129977345518,0.6694431461898276,0.6622407373662178,0.5859139591775346,0.490647330617364,0.38691186446571213,0.28319736844795973,0.21716819993519354,0.19796296686045978,0.1837663484226033,0.6105174818388813
0.04,2.2691183571428573,0.596055295904464,0.7025991451968082,0.8671815872611713,0.9453837468697494,0.8242985637739859,0.7234554600945264,0.6914965938605859,0.6853314793302617,0.6779282600702137,0.6014183917664873,0.5055225154296278,0.4002139373895529,0.29397635312473125,0.2258330961908972,0.20583752228151442,0.19092005078419838,0.6237589710933154
0.041,2.3196330133570795,0.6117915170052948,0.7174446231340037,0.8765984097100105,0.9504144082375421,0.835575599597227,0.7378223161450732,0.7065498196861416,0.7003144824588002,0.6927455668360363,0.6162015709901993,0.5198336344404414,0.4131185939723774,0.30451012511048303,0.2343364814299126,0.21357610360360568,0.19794968752132802,0.6362921551076388
