Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06211425792622134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12385805308151095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18523468989098116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.24624743359683796,4.440892098500626e-16,1.7763568394002505e-15,2.3314683517128287e-15,2.1094237467877974e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,9.674125941906425e-16
0.005,0.30689951083743844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3671941102161101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.42713438285994126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.48672344296875003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5459643683544303,4.440892098500626e-16,1.7763568394002505e-15,2.3314683517128287e-15,2.1094237467877974e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,9.674125941906425e-16
0.01,0.6048602009708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6634139474346563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7216285795366796,2.1094237467877974e-15,4.6629367034256575e-15,7.105427357601002e-15,6.994405055138486e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.887379141862766e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.2318087535158385e-15
0.013,0.7795070347449471,3.9968028886505635e-15,9.2148511043888e-15,1.2323475573339238e-14,1.1657341758564144e-14,4.107825191113079e-15,3.1086244689504383e-15,3.6637359812630166e-15,4.218847493575595e-15,3.885780586188048e-15,2.886579864025407e-15,2.4424906541753444e-15,1.9984014443252818e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,1.2212453270876722e-15,5.876046328153581e-15
0.014,0.8370522166986565,2.1094237467877974e-15,4.6629367034256575e-15,7.105427357601002e-15,6.994405055138486e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.887379141862766e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.3322676295501878e-15,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.2318087535158385e-15
0.015,0.8942669956937799,2.4424906541753444e-15,6.5503158452884236e-15,9.43689570931383e-15,9.103828801926284e-15,2.55351295663786e-15,1.887379141862766e-15,2.3314683517128287e-15,2.7755575615628914e-15,2.886579864025407e-15,2.3314683517128287e-15,1.5543122344752192e-15,8.881784197001252e-16,5.551115123125783e-16,6.661338147750939e-16,4.440892098500626e-16,6.661338147750939e-16,4.187152839840057e-15
0.016,0.9511542091603054,1.7319479184152442e-14,4.374278717023117e-14,6.505906924303417e-14,6.0285110237146e-14,1.942890293094024e-14,1.3655743202889425e-14,1.5654144647214707e-14,1.9872992140790302e-14,1.887379141862766e-14,1.3766765505351941e-14,1.1102230246251565e-14,8.43769498715119e-15,5.329070518200751e-15,5.218048215738236e-15,4.218847493575595e-15,6.106226635438361e-15,2.875237109809652e-14
0.017,1.0077166621313036,0.004833356590071891,0.012390533725825548,0.018454881546888013,0.017175112905538747,0.005414879268001549,0.0038215232843742397,0.004417090787278921,0.005530654648239208,0.005442443181333245,0.003889274640092477,0.003162780743399707,0.002348690407436793,0.0015019050561414504,0.0014120594564583921,0.00124629754084582,0.001667455286324726,0.008132533975465324
0.018,1.0639571277039848,0.040134169447469725,0.09890821808620709,0.1407366607157733,0.131698084698735,0.04420816482334777,0.03179457834646593,0.036517360935667376,0.045275366054648214,0.044332487163151746,0.031829698584359245,0.026049476327697718,0.019521764451892687,0.012549371442876489,0.011770866645974487,0.01035569110869805,0.013781513804885792,0.0643109573539171
0.019,1.1198783474929044,0.07519571579401696,0.17824718482068702,0.2439696325746521,0.229513524024053,0.08166463046297145,0.05973783221476103,0.0681806811552148,0.08376102979884159,0.08167305702359395,0.05893047678746566,0.04851998407350999,0.03666565956187262,0.02368672964334584,0.02217028869210569,0.019452107853878853,0.025761505739230084,0.11532936631654332
0.02,1.1754830320754717,0.10978358006216749,0.2505426417737864,0.33172843887284464,0.31363816690197965,0.11781739632418631,0.08751496170653328,0.09926936420036125,0.12091456804760825,0.11748270016918017,0.0852048020376861,0.07055383753044198,0.05372594967640176,0.03487019364528221,0.03257579711155334,0.028516902196321192,0.03759804912363651,0.1618676704070358
0.021,1.2307738614299155,0.14372204117437637,0.31615409905100467,0.4068210904362166,0.3864348149376403,0.15269473523662835,0.11501483713951921,0.1296845451808556,0.15670115676434815,0.15179752624183707,0.11067099029563798,0.09213817337649799,0.07066033370739078,0.04606522935384427,0.04296098058228892,0.03753630438852551,0.049285539158201885,0.20449582678644856
0.022,1.2857534853658537,0.17687957924273745,0.3755545921912584,0.4714637308607884,0.4497734580044763,0.18632062565315022,0.14214572745960785,0.15935519433300427,0.19111109810581428,0.18466260872627993,0.1353490308184755,0.11326444701376004,0.08743494331324497,0.057243869608641806,0.05330498853079957,0.04649962313780909,0.06082028719821486,0.2436914602385369
0.023,1.3404245239476147,0.20915906400358375,0.4292623435723629,0.5274191299428144,0.5051517253577495,0.21871687009626373,0.1688319564495837,0.18823122722437935,0.22415205419639728,0.21612781719967844,0.1592594932280157,0.13392713363944198,0.10402231002197637,0.0683831282554922,0.06359106397267678,0.05539833503665337,0.0721997697404071,0.27985662720211507
0.024,1.3947895679104478,0.2404902949766271,0.47779900236093265,0.5761008842500095,0.5537820233663279,0.24990462068540786,0.19501133101131174,0.21627846680983087,0.25584362086739165,0.2462451698806969,0.1824229223625694,0.15412290235799897,0.1203999024571707,0.07946383461949247,0.0738054926677939,0.06422545935894841,0.08342216530331947,0.3133313728891355
0.025,1.4488511790697673,0.27082440774551186,0.5216656938987926,0.6186517944761043,0.5966554536139959,0.27990545527152155,0.22063319079545374,0.24347501848795294,0.28621360720425204,0.27506723047619763,0.20485956101157743,0.1738501246612041,0.13654910897358308,0.09046980770804225,0.08393687653819337,0.07297514788750992,0.09448609316535206,0.3444047830559428
0.026,1.5026118907235622,0.3001296514297006,0.5613304573568004,0.6560030140491987,0.6345893423349147,0.30874209296521604,0.24565689974495608,0.2698086494254417,0.31529548669869767,0.3026461736892888,0.226589265384609,0.19310859332036512,0.1524545353059591,0.10138727860863772,0.0939756386048265,0.08164242322120951,0.10539048089746972,0.3733239954634497
0.027,1.5560742080481034,0.3283881404929474,0.5972227118336028,0.6889189360939578,0.6682630515106087,0.33643881840799617,0.27005063244411076,0.29527485680835674,0.3431266286044563,0.32903325817740914,0.24763151884672108,0.2118993611689216,0.16810351217677533,0.11220448422456031,0.10391368496979281,0.09022301390510046,0.1161345077121474,0.4003015326034089
0.028,1.609240608487085,0.355593293759766,0.6297319141157576,0.7180314941499168,0.6982453003456495,0.3630216755440606,0.2937903516719589,0.31987540224057587,0.36974704214677756,0.354278537805081,0.26800548482026176,0.23022464048065794,0.18348573729168183,0.12291137512297046,0.11374416974047785,0.09871324986118801,0.12671758838389702,0.42552125646683214
0.029,1.6621135421343147,0.3817477638771082,0.6592086116695177,0.7438665743502161,0.7250152560552234,0.38851848532779976,0.3168589109236276,0.3436171626078198,0.39519845828113187,0.37843070701245707,0.28773006533428236,0.24808772728623263,0.19859300090744714,0.13349939760298568,0.12346132578213209,0.10710999373827035,0.13713937574138713,0.4491431990174833
0.03,1.7146954321100918,0.40686172631006834,0.6859667761259887,0.7668645152989939,0.7489789941235542,0.4129587352574251,0.3392452429407634,0.36651119996793036,0.4195236369471381,0.4015370188787277,0.306823948509375,0.2654929311380617,0.21341896249559988,0.14396132337839762,0.13306033683401952,0.11541059261112496,0.14739976884559114,0.4713074808793199
