Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.075554251555334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15065788133200797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22531490875123886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2995293055731226,1.6653345369377348e-15,2.7755575615628914e-15,3.552713678800501e-15,2.9976021664879227e-15,1.887379141862766e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.1102230246251565e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,2.077767870809759e-15
0.005,0.37330499660098526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.446645860373281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.519555729843291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.592038393046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.66409759375852,5.551115123125783e-16,1.887379141862766e-15,3.1086244689504383e-15,2.1094237467877974e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.182615775925588e-15
0.01,0.7357370321359223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
